element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
326,159533,Adama,Traoré Diarra,2561897,1,False,24,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.8,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.43,55,0,31362,0,0
326,159533,Adama,Traoré Diarra,2561911,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-5031,29589,874,5905
326,159533,Adama,Traoré Diarra,2561917,1,False,6,0,0,0,0,0,0,0,0,0,0,0,5,4.2,14.7,6.0,2.5,0,1,0,1,0,0.00,0.07,0.07,0.04,54,-4819,25759,782,5601
326,159533,Adama,Traoré Diarra,2561931,1,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,6.0,0.4,0,1,0,1,0,0.04,0.01,0.05,0.05,54,-2717,24093,1002,3719
326,159533,Adama,Traoré Diarra,2561939,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-1983,22573,662,2645
326,159533,Adama,Traoré Diarra,2561945,2,False,79,0,0,0,3,0,0,0,0,0,0,0,8,7.6,33.3,4.0,4.5,0,3,0,3,0,0.00,0.41,0.41,1.11,53,-1658,21210,787,2445
326,159533,Adama,Traoré Diarra,2561955,1,False,4,0,0,0,1,0,0,0,0,0,0,0,4,2.2,0.9,2.0,0.5,0,1,0,1,0,0.00,0.01,0.01,0.52,53,-779,20764,647,1426
326,159533,Adama,Traoré Diarra,2561968,1,False,8,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.8,7.0,1.0,0,1,0,1,0,0.04,0.01,0.05,0.57,52,-1224,19836,549,1773
326,159533,Adama,Traoré Diarra,2561983,2,False,75,0,0,0,1,0,0,0,0,0,0,0,13,1.4,4.2,6.0,1.2,1,3,1,5,1,0.06,0.02,0.08,1.32,52,-331,19708,578,909
326,159533,Adama,Traoré Diarra,2561988,1,False,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.8,5.0,0.6,0,0,0,0,0,0.02,0.01,0.03,0.07,52,309,20321,1418,1109
326,159533,Adama,Traoré Diarra,2561999,1,False,15,0,0,0,1,0,0,0,0,0,0,0,5,2.4,0.8,19.0,2.2,0,1,0,1,0,0.03,0.01,0.04,0.43,52,-872,19476,407,1279
326,159533,Adama,Traoré Diarra,2562009,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,52,-467,19236,416,883
326,159533,Adama,Traoré Diarra,2562023,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,52,-615,18699,196,811
326,159533,Adama,Traoré Diarra,2562029,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,52,-300,18491,159,459
326,159533,Adama,Traoré Diarra,2562039,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.8,0.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-316,18267,267,583
326,159533,Adama,Traoré Diarra,2562047,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-427,17942,424,851
326,159533,Adama,Traoré Diarra,2562059,1,False,6,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.5,0.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.00,51,85,18168,643,558
326,159533,Adama,Traoré Diarra,2562074,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,28,18325,555,527
326,159533,Adama,Traoré Diarra,2562079,1,False,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,2.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-196,18140,261,457
326,159533,Adama,Traoré Diarra,2562089,1,False,5,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.3,0.0,0.0,0,1,0,1,0,0.00,0.00,0.00,0.35,51,-136,18071,171,307
326,159533,Adama,Traoré Diarra,2562101,1,False,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-205,17914,128,333
326,159533,Adama,Traoré Diarra,2562108,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-167,17856,238,405
326,159533,Adama,Traoré Diarra,2562121,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-3,17910,258,261
326,159533,Adama,Traoré Diarra,2562127,0,False,9,0,0,0,1,0,0,0,1,0,0,0,-1,0.2,0.3,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.80,51,595,18606,1020,425
326,159533,Adama,Traoré Diarra,2562138,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,970,19745,1447,477
326,159533,Adama,Traoré Diarra,2562154,1,False,1,0,0,0,1,0,0,0,0,0,0,0,3,1.2,0.3,5.0,0.7,0,0,0,0,0,0.15,0.00,0.15,0.18,51,310,20121,1012,702
326,159533,Adama,Traoré Diarra,2562164,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,245,20455,836,591
326,159533,Adama,Traoré Diarra,2562171,1,False,14,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.3,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.62,51,-163,20385,355,518
326,159533,Adama,Traoré Diarra,2562179,1,False,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.05,51,-259,20181,234,493
326,159533,Adama,Traoré Diarra,2562194,1,False,15,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,1.04,51,-430,19813,234,664
326,159533,Adama,Traoré Diarra,2562196,1,False,45,0,0,0,1,0,0,0,0,0,0,0,5,6.4,4.5,2.0,1.3,0,2,0,2,0,0.00,0.01,0.01,0.54,51,-48,19760,151,199
326,159533,Adama,Traoré Diarra,2562214,1,False,12,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.2,4.0,0.2,0,0,0,0,0,0.35,0.00,0.35,0.12,51,436,20398,728,292
326,159533,Adama,Traoré Diarra,2562218,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-268,20088,181,449
326,159533,Adama,Traoré Diarra,2562233,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-62,20167,182,244
326,159533,Adama,Traoré Diarra,2562238,1,False,16,0,0,0,1,0,0,0,0,0,0,0,3,4.2,5.3,2.0,1.2,0,0,1,1,0,0.00,0.01,0.01,0.14,51,-177,20002,107,284
326,159533,Adama,Traoré Diarra,2562254,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-126,19924,125,251
326,159533,Adama,Traoré Diarra,2562263,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-247,19669,43,290
326,159533,Adama,Traoré Diarra,2562274,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-288,19373,17,305
