element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
139,GKP,489639,Bart,Verbruggen,2561897,2,False,90,0,0,0,1,0,0,0,0,0,1,0,9,14.4,0.0,0.0,1.4,1,6,0,0,1,0.00,0.00,0.00,0.76,45,0,773743,0,0,36
139,GKP,489639,Bart,Verbruggen,2561910,1,False,90,0,0,0,2,0,0,0,0,0,1,0,5,10.2,10.0,0.0,2.0,0,14,0,0,1,0.00,0.00,0.00,1.60,45,-19611,789996,33067,52678,36
139,GKP,489639,Bart,Verbruggen,2561916,2,False,90,0,0,0,1,0,0,0,0,0,2,0,11,20.2,0.0,0.0,2.0,0,10,0,0,1,0.00,0.00,0.00,1.82,45,-78840,705496,9560,88400,36
139,GKP,489639,Bart,Verbruggen,2561925,2,False,90,0,0,0,2,0,0,0,0,0,3,0,15,26.2,0.0,0.0,2.6,1,13,0,0,1,0.00,0.01,0.01,1.45,45,-67735,661515,15575,83310,36
139,GKP,489639,Bart,Verbruggen,2561937,1,False,90,0,0,0,2,0,0,0,0,0,2,0,6,19.2,0.0,0.0,1.9,1,7,0,0,1,0.00,0.00,0.00,1.22,45,-43628,625730,6999,50627,36
139,GKP,489639,Bart,Verbruggen,2561947,2,False,90,0,0,0,1,0,0,0,0,0,2,0,8,11.8,0.0,0.0,1.2,1,8,0,0,1,0.00,0.00,0.00,1.81,45,-59746,568106,9812,69558,36
139,GKP,489639,Bart,Verbruggen,2561964,1,False,90,0,0,0,1,1,0,0,0,0,3,0,12,20.0,0.0,0.0,2.0,0,14,0,0,1,0.00,0.00,0.00,0.56,44,-23715,550943,12373,36088,36
139,GKP,489639,Bart,Verbruggen,2561965,2,False,90,0,0,0,1,0,0,0,0,0,2,0,12,19.6,0.0,0.0,2.0,1,10,0,0,1,0.00,0.00,0.00,1.45,44,-29424,523045,10043,39467,36
139,GKP,489639,Bart,Verbruggen,2561982,1,False,90,0,0,0,4,0,0,0,0,0,5,0,10,38.0,0.0,0.0,3.8,0,9,0,0,1,0.00,0.00,0.00,1.29,44,-16900,507542,7119,24019,36
139,GKP,489639,Bart,Verbruggen,2561985,6,False,90,0,0,1,0,0,0,0,0,0,2,0,30,22.0,0.0,0.0,2.2,0,6,0,0,1,0.00,0.00,0.00,0.50,44,-2338,509676,17791,20129,36
139,GKP,489639,Bart,Verbruggen,2561998,6,False,90,0,0,1,0,0,0,0,0,0,2,0,30,17.2,0.0,0.0,1.7,0,4,0,0,1,0.00,0.00,0.00,0.74,44,-11075,495975,5151,16226,36
139,GKP,489639,Bart,Verbruggen,2562007,7,False,90,0,0,0,1,0,1,0,1,0,3,0,21,46.8,0.0,0.0,4.7,1,6,0,0,1,0.00,0.00,0.00,1.91,44,4128,503769,17134,13006,36
139,GKP,489639,Bart,Verbruggen,2562021,7,False,90,0,0,1,0,0,0,0,0,0,3,0,33,31.2,0.0,0.0,3.1,1,12,0,0,1,0.00,0.00,0.00,0.71,44,8871,512399,19081,10210,36
139,GKP,489639,Bart,Verbruggen,2562027,1,False,90,0,0,0,4,0,0,0,1,0,6,0,9,46.6,0.0,0.0,4.7,0,13,0,0,1,0.00,0.00,0.00,2.41,44,46449,566810,51917,5468,36
139,GKP,489639,Bart,Verbruggen,2562037,3,False,90,0,0,0,1,0,0,0,0,0,4,0,22,35.2,0.0,0.0,3.5,2,8,0,0,1,0.00,0.00,0.00,1.14,44,70244,652119,80234,9990,36
139,GKP,489639,Bart,Verbruggen,2562050,1,False,90,0,0,0,2,0,0,0,0,0,2,0,11,14.8,0.0,0.0,1.5,0,15,0,0,1,0.00,0.00,0.00,1.89,44,-5050,619088,43323,48373,36
139,GKP,489639,Bart,Verbruggen,2562057,11,False,90,0,0,1,0,0,0,0,0,0,6,3,41,48.2,0.0,0.0,4.8,0,10,1,0,1,0.00,0.00,0.00,1.38,44,38618,682528,54629,16011,36
139,GKP,489639,Bart,Verbruggen,2562065,1,False,90,0,0,0,2,0,0,0,1,0,5,0,13,37.2,0.0,0.0,3.7,3,11,0,0,1,0.00,0.00,0.00,3.08,44,11416,664234,33051,21635,36
139,GKP,489639,Bart,Verbruggen,2562084,1,False,90,0,0,0,2,0,0,0,0,0,2,0,13,22.8,0.0,0.0,2.3,1,9,0,0,1,0.00,0.00,0.00,2.06,44,39401,744975,52622,13221,36
139,GKP,489639,Bart,Verbruggen,2562087,7,False,90,0,0,1,0,0,0,0,0,0,2,1,33,20.4,0.0,0.0,2.0,2,7,0,0,1,0.00,0.00,0.00,0.30,45,30261,764231,49552,19291,36
139,GKP,489639,Bart,Verbruggen,2562102,3,False,90,0,0,0,1,0,0,0,0,0,3,0,14,27.8,0.0,0.0,2.8,2,4,0,0,1,0.00,0.00,0.00,2.55,45,-18133,734211,16558,34691,36
139,GKP,489639,Bart,Verbruggen,2562106,2,False,90,0,0,0,1,0,0,0,0,0,1,0,9,8.6,0.0,0.0,0.9,2,5,0,0,1,0.00,0.00,0.00,1.33,45,23272,763434,44660,21388,36
139,GKP,489639,Bart,Verbruggen,2562121,1,False,90,0,0,0,2,0,0,0,0,0,2,0,2,11.0,0.0,0.0,1.1,1,8,0,0,1,0.00,0.00,0.00,1.05,45,-3211,759253,15081,18292,36
139,GKP,489639,Bart,Verbruggen,2562126,3,False,90,0,0,0,1,0,0,0,0,0,3,0,15,29.0,0.0,0.0,2.9,0,7,0,0,1,0.00,0.03,0.03,1.20,45,-92,760163,35450,35542,36
139,GKP,489639,Bart,Verbruggen,2562137,3,False,90,0,0,0,1,0,0,0,0,0,3,0,15,29.8,0.0,0.0,3.0,1,8,0,0,1,0.00,0.00,0.00,1.16,45,-13439,748046,11967,25406,36
139,GKP,489639,Bart,Verbruggen,2562145,2,False,90,0,0,0,1,0,0,0,0,0,2,0,10,17.6,0.0,0.0,1.8,0,9,0,0,1,0.00,0.00,0.00,0.72,45,-28324,713957,6514,34838,36
139,GKP,489639,Bart,Verbruggen,2562156,7,False,90,0,0,1,0,0,0,0,0,0,4,0,28,24.4,0.0,0.0,2.4,2,11,0,0,1,0.00,0.01,0.01,1.60,45,-12533,707640,8936,21469,36
139,GKP,489639,Bart,Verbruggen,2562167,3,False,90,0,0,0,1,0,0,0,0,0,3,0,14,25.6,0.0,0.0,2.6,0,7,0,0,1,0.00,0.00,0.00,0.93,45,1264,711673,12196,10932,36
139,GKP,489639,Bart,Verbruggen,2562177,2,False,90,0,0,0,1,0,0,0,0,0,1,0,5,7.6,0.0,0.0,0.8,1,5,0,0,1,0.00,0.00,0.00,0.47,45,-10215,698827,5036,15251,36
139,GKP,489639,Bart,Verbruggen,2562193,7,False,90,0,0,1,0,0,0,0,0,0,3,0,30,24.6,0.0,0.0,2.5,0,9,0,0,1,0.00,0.00,0.00,0.90,45,6004,707455,15977,9973,36
139,GKP,489639,Bart,Verbruggen,2562197,3,False,90,0,0,0,1,0,0,0,0,0,4,0,18,38.0,0.0,0.0,3.8,2,11,0,0,1,0.00,0.00,0.00,1.03,45,2544,685073,13681,11137,36
139,GKP,489639,Bart,Verbruggen,2562207,9,False,90,0,0,1,0,0,0,0,0,0,4,2,36,40.0,0.0,0.0,4.0,0,7,0,0,1,0.00,0.00,0.00,0.88,45,343543,1059886,367676,24133,36
139,GKP,489639,Bart,Verbruggen,2562224,2,False,90,0,0,0,2,0,0,0,0,0,4,0,13,33.0,0.0,0.0,3.3,3,9,0,0,1,0.00,0.00,0.00,1.09,45,145783,1444765,163303,17520,36
139,GKP,489639,Bart,Verbruggen,2562227,6,False,90,0,0,1,0,0,0,0,0,0,0,0,22,10.0,0.0,0.0,1.0,0,8,0,0,1,0.00,0.01,0.01,0.37,45,145783,1444765,163303,17520,36
139,GKP,489639,Bart,Verbruggen,2562243,2,False,90,0,0,0,3,0,0,0,0,0,4,0,1,26.8,0.0,0.0,2.7,1,5,0,0,1,0.00,0.00,0.00,3.16,45,31151,1179075,71311,40160,36
139,GKP,489639,Bart,Verbruggen,2562245,6,False,90,0,0,1,0,0,0,0,0,0,1,0,23,12.8,0.0,0.0,1.3,0,7,0,0,1,0.00,0.00,0.00,0.49,46,79893,1267231,98776,18883,36
139,GKP,489639,Bart,Verbruggen,2562261,2,False,90,0,0,0,1,0,0,0,0,0,1,0,5,7.6,0.0,0.0,0.8,1,10,0,0,1,0.00,0.00,0.00,0.39,46,-9031,1248836,25482,34513,36
139,GKP,489639,Bart,Verbruggen,2562265,2,False,90,0,0,0,3,0,0,0,0,0,5,0,12,38.8,0.0,0.0,3.9,1,10,0,0,1,0.00,0.00,0.00,1.66,46,-27531,1216101,14958,42489,36
