element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
457,MID,61256,Carlos Henrique,Casimiro,2561903,2,False,64,0,0,0,1,0,0,0,0,0,0,0,15,9.2,11.6,0.0,2.1,0,2,3,5,1,0.00,0.02,0.02,1.10,55,0,16521,0,0,1
457,MID,61256,Carlos Henrique,Casimiro,2561911,0,False,52,0,0,0,0,0,0,0,1,0,0,0,4,7.8,0.5,2.0,1.0,2,3,2,7,1,0.00,0.00,0.00,0.90,55,-1077,23667,2166,3243,1
457,MID,61256,Carlos Henrique,Casimiro,2561920,5,False,71,0,1,0,2,0,0,0,0,0,0,0,20,6.6,7.8,4.0,1.8,2,3,1,6,1,0.13,0.02,0.15,1.20,55,-2683,24479,2090,4773,1
457,MID,61256,Carlos Henrique,Casimiro,2561932,1,False,10,0,0,0,0,0,0,0,0,0,0,0,-1,0.2,1.4,9.0,1.1,0,2,0,2,0,0.49,0.02,0.51,0.18,55,-74,27442,2794,2868,1
457,MID,61256,Carlos Henrique,Casimiro,2561941,3,False,49,1,0,0,1,0,0,0,0,1,0,0,16,29.8,12.3,35.0,7.7,0,3,0,3,1,0.35,0.01,0.36,0.03,55,-1467,27617,1747,3214,1
457,MID,61256,Carlos Henrique,Casimiro,2561946,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-4201,23764,530,4731,1
457,MID,61256,Carlos Henrique,Casimiro,2561962,4,False,84,0,0,1,0,0,0,0,1,0,0,0,11,15.0,3.7,3.0,2.2,3,8,3,14,1,0.07,0.02,0.09,0.50,55,1002,26300,2378,1376,1
457,MID,61256,Carlos Henrique,Casimiro,2561969,0,False,57,0,0,0,0,0,0,0,1,0,0,0,5,7.6,1.8,0.0,0.9,2,0,3,5,1,0.00,0.00,0.00,0.96,55,531,28007,2468,1937,1
457,MID,61256,Carlos Henrique,Casimiro,2561982,15,False,69,1,1,1,0,0,0,0,0,0,0,2,43,65.8,16.7,9.0,9.2,4,5,3,12,1,0.02,0.02,0.04,0.56,55,1118,29760,2728,1610,1
457,MID,61256,Carlos Henrique,Casimiro,2561991,12,False,90,1,0,0,2,0,0,0,0,0,0,3,39,52.8,34.8,31.0,11.9,3,8,3,14,1,0.22,0.27,0.49,1.93,55,20027,53107,22582,2555,1
457,MID,61256,Carlos Henrique,Casimiro,2562003,5,False,71,0,0,1,0,0,0,0,0,0,0,0,13,13.0,5.9,2.0,2.1,4,4,4,12,1,0.00,0.01,0.01,0.50,55,68043,127798,72788,4745,1
457,MID,61256,Carlos Henrique,Casimiro,2562012,0,False,57,0,0,0,1,0,0,0,1,0,0,0,4,0.0,19.9,5.0,2.5,0,2,0,2,1,0.07,0.10,0.17,0.23,55,53401,188399,68287,14886,1
457,MID,61256,Carlos Henrique,Casimiro,2562018,4,False,90,0,0,0,1,0,0,0,0,0,0,0,15,20.0,2.2,46.0,6.8,6,7,3,16,1,0.65,0.02,0.67,1.83,55,-9172,167233,14998,24170,1
457,MID,61256,Carlos Henrique,Casimiro,2562032,8,False,90,0,1,0,1,0,0,0,0,0,0,1,23,23.4,3.2,12.0,3.9,5,5,3,13,1,0.04,0.02,0.06,0.77,55,4588,177575,15691,11103,1
457,MID,61256,Carlos Henrique,Casimiro,2562044,2,False,77,0,0,0,1,0,0,0,0,0,0,0,10,16.2,15.3,8.0,4.0,6,2,1,9,1,0.04,0.02,0.06,0.35,55,10728,190526,21220,10492,1
457,MID,61256,Carlos Henrique,Casimiro,2562051,6,False,60,1,0,0,3,0,0,0,1,0,0,0,22,35.4,11.8,54.0,10.1,3,1,1,5,1,0.52,0.02,0.54,1.37,55,-33811,154400,14634,48445,1
457,MID,61256,Carlos Henrique,Casimiro,2562056,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-39421,114759,5491,44912,1
457,MID,61256,Carlos Henrique,Casimiro,2562071,3,False,60,0,0,1,0,0,0,0,0,0,0,0,14,12.6,1.4,7.0,2.1,5,3,3,11,1,0.21,0.01,0.22,0.22,55,9811,131310,21449,11638,1
457,MID,61256,Carlos Henrique,Casimiro,2562081,6,False,90,0,0,0,1,0,0,0,0,0,0,2,23,23.4,24.1,0.0,4.8,4,2,6,12,1,0.00,0.22,0.22,1.16,55,43042,183806,50745,7703,1
457,MID,61256,Carlos Henrique,Casimiro,2562090,7,False,90,0,0,0,1,0,0,0,0,0,0,3,29,31.8,51.2,7.0,9.0,7,8,3,18,1,0.05,0.46,0.51,0.90,55,10520,185730,22041,11521,1
457,MID,61256,Carlos Henrique,Casimiro,2562098,4,False,73,0,0,0,2,0,0,0,0,0,0,0,17,23.8,48.4,18.0,9.0,3,7,2,12,1,0.22,0.31,0.53,0.21,55,4827,191558,16545,11718,1
457,MID,61256,Carlos Henrique,Casimiro,2562110,3,False,80,0,0,1,0,0,0,0,0,0,0,0,10,14.0,1.9,35.0,5.1,3,1,4,8,1,0.61,0.02,0.63,0.36,55,-23513,166657,6515,30028,1
457,MID,61256,Carlos Henrique,Casimiro,2562116,2,False,90,0,0,0,2,0,0,0,0,0,0,0,15,18.2,14.7,0.0,3.3,5,4,0,9,1,0.00,0.25,0.25,1.19,55,-4013,164790,11586,15599,1
457,MID,61256,Carlos Henrique,Casimiro,2562130,13,False,74,1,1,1,0,0,0,0,1,0,0,3,40,62.8,16.0,33.0,11.2,4,3,3,10,1,0.17,0.13,0.30,0.86,55,3052,168781,21365,18313,1
457,MID,61256,Carlos Henrique,Casimiro,2562142,3,False,86,0,0,1,0,0,0,0,0,0,0,0,16,26.2,34.6,39.0,10.0,3,3,1,7,1,0.25,0.42,0.67,0.47,56,68887,242519,77308,8421,1
457,MID,61256,Carlos Henrique,Casimiro,2562154,2,False,90,0,0,0,1,0,0,0,0,0,0,0,11,20.0,10.2,6.0,3.6,3,3,4,10,1,0.00,0.03,0.03,1.11,56,49726,294135,68196,18470,1
457,MID,61256,Carlos Henrique,Casimiro,2562159,5,False,90,0,0,1,0,0,0,0,0,0,0,0,20,28.6,31.1,1.0,6.1,3,8,4,15,1,0.01,0.08,0.09,0.62,56,17338,309267,40809,23471,1
457,MID,61256,Carlos Henrique,Casimiro,2562172,4,False,90,0,0,0,1,0,0,0,0,0,0,0,14,18.4,18.1,43.0,8.0,1,9,4,14,1,0.36,0.10,0.46,0.38,56,13799,324484,29570,15771,1
457,MID,61256,Carlos Henrique,Casimiro,2562182,8,False,60,1,0,0,1,0,0,0,0,0,0,1,26,39.6,3.6,17.0,6.0,3,4,1,8,1,0.07,0.01,0.08,1.34,56,-2330,321705,22186,24516,1
457,MID,61256,Carlos Henrique,Casimiro,2562191,6,False,90,1,0,0,1,0,0,0,1,0,0,0,30,43.0,15.4,42.0,10.0,4,3,1,8,1,0.11,0.28,0.39,0.96,56,33670,359036,47692,14022,1
457,MID,61256,Carlos Henrique,Casimiro,2562195,1,False,81,0,0,0,2,0,0,0,1,0,0,0,7,11.2,11.6,2.0,2.5,1,2,4,7,1,0.00,0.03,0.03,1.70,57,57309,475231,65464,8155,1
457,MID,61256,Carlos Henrique,Casimiro,2562211,9,False,90,1,0,0,2,0,0,0,0,0,0,2,38,51.6,50.0,48.0,15.0,5,6,0,11,1,0.24,0.12,0.36,2.37,57,12307,428817,39504,27197,1
457,MID,61256,Carlos Henrique,Casimiro,2562217,5,False,90,0,0,1,0,0,0,0,0,0,0,0,20,55.0,3.2,0.0,5.8,15,5,3,23,1,0.00,0.01,0.01,1.57,57,-6953,404697,25047,32000,1
457,MID,61256,Carlos Henrique,Casimiro,2562231,12,False,90,1,0,0,1,0,0,0,0,0,0,3,44,77.0,3.5,37.0,11.8,12,2,11,25,1,0.18,0.01,0.19,1.43,57,81783,574124,95648,13865,1
457,MID,61256,Carlos Henrique,Casimiro,2562242,4,False,90,0,0,0,2,0,0,0,0,0,0,0,17,36.8,24.0,19.0,8.0,8,6,4,18,1,0.18,0.03,0.21,0.89,58,97569,605508,119670,22101,1
457,MID,61256,Carlos Henrique,Casimiro,2562252,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,92362,701820,118735,26373,1
457,MID,61256,Carlos Henrique,Casimiro,2562262,1,False,80,0,0,0,2,0,0,0,1,0,0,0,6,6.8,24.2,11.0,4.2,1,1,2,4,1,0.18,0.08,0.26,1.62,59,10315,707995,61875,51560,1
457,MID,61256,Carlos Henrique,Casimiro,2562265,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,-213457,483245,11460,224917,1
