element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
732,FWD,660392,Christantus,Uche,2561929,1,False,6,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.8,19.0,2.3,0,1,0,1,0,0.01,0.00,0.01,0.00,55,1195,1703,1434,239,31
732,FWD,660392,Christantus,Uche,2561943,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,892,2996,1361,469,31
732,FWD,660392,Christantus,Uche,2561948,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-218,2964,552,770,31
732,FWD,660392,Christantus,Uche,2561960,1,False,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.73,55,5,3252,609,604,31
732,FWD,660392,Christantus,Uche,2561967,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,81,3576,679,598,31
732,FWD,660392,Christantus,Uche,2561976,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,1,0,1,0,0.00,0.00,0.00,0.00,55,-187,3499,281,468,31
732,FWD,660392,Christantus,Uche,2561987,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,95,3726,467,372,31
732,FWD,660392,Christantus,Uche,2561998,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,136,4003,540,404,31
732,FWD,660392,Christantus,Uche,2562014,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,163,4373,524,361,31
732,FWD,660392,Christantus,Uche,2562018,1,False,12,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.09,55,-67,4362,247,314,31
732,FWD,660392,Christantus,Uche,2562028,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-26,4389,164,190,31
732,FWD,660392,Christantus,Uche,2562039,1,False,24,0,0,0,0,0,0,0,0,0,0,0,1,2.2,1.2,21.0,2.4,0,2,0,2,0,0.29,0.00,0.29,0.17,55,11,4466,265,254,31
732,FWD,660392,Christantus,Uche,2562049,1,False,13,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.81,55,135,4706,534,399,31
732,FWD,660392,Christantus,Uche,2562060,4,False,13,0,1,0,1,0,0,0,0,0,0,0,14,2.2,0.1,6.0,0.8,0,0,1,1,0,0.00,0.00,0.00,0.13,55,600,5461,979,379,31
732,FWD,660392,Christantus,Uche,2562069,1,False,13,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.2,8.0,0.6,0,0,0,0,0,0.02,0.00,0.02,0.29,55,412,5995,883,471,31
732,FWD,660392,Christantus,Uche,2562079,1,False,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.68,55,33,6022,440,407,31
732,FWD,660392,Christantus,Uche,2562092,1,False,18,0,0,0,1,0,0,0,0,0,0,0,1,2.6,1.0,9.0,1.3,1,2,0,3,0,0.04,0.01,0.05,1.15,55,67,6118,448,381,31
732,FWD,660392,Christantus,Uche,2562099,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,66,6246,480,414,31
732,FWD,660392,Christantus,Uche,2562112,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-159,6164,488,647,31
732,FWD,660392,Christantus,Uche,2562119,1,False,5,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1.3,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-3,6230,316,319,31
732,FWD,660392,Christantus,Uche,2562131,1,False,29,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,1.0,0.0,1,3,0,4,0,0.03,0.00,0.03,0.24,55,209,6522,580,371,31
732,FWD,660392,Christantus,Uche,2562137,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-45,6513,365,410,31
732,FWD,660392,Christantus,Uche,2562148,1,False,7,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.6,2.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.12,55,215,6796,674,459,31
732,FWD,660392,Christantus,Uche,2562158,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,24,6835,443,419,31
732,FWD,660392,Christantus,Uche,2562172,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-27,6827,277,304,31
732,FWD,660392,Christantus,Uche,2562183,1,False,9,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.6,5.0,0.8,1,0,0,1,0,0.10,0.00,0.10,0.22,55,-78,6772,226,304,31
732,FWD,660392,Christantus,Uche,2562189,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,110,6949,399,289,31
732,FWD,660392,Christantus,Uche,2562209,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-51,6826,118,169,31
732,FWD,660392,Christantus,Uche,2562218,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-75,6746,82,157,31
732,FWD,660392,Christantus,Uche,2562230,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,94,6968,211,117,31
732,FWD,660392,Christantus,Uche,2562235,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-42,6841,106,148,31
732,FWD,660392,Christantus,Uche,2562247,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,155,7046,314,159,31
732,FWD,660392,Christantus,Uche,2562201,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,155,7046,314,159,31
732,FWD,660392,Christantus,Uche,2562258,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-6,7044,142,148,31
732,FWD,660392,Christantus,Uche,2562267,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-11,7029,148,159,31
