element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
796,232787,Conor,Gallagher,2562113,2,False,90,0,0,0,2,0,0,0,0,0,0,0,15,8.4,13.0,23.0,4.4,2,4,1,7,1,0.10,0.15,0.25,2.69,55,12975,13496,13422,447
796,232787,Conor,Gallagher,2562118,2,False,84,0,0,0,2,0,0,0,0,0,0,0,17,16.8,18.1,35.0,7.0,1,8,2,11,1,0.21,0.09,0.30,1.41,55,6799,20341,8291,1492
796,232787,Conor,Gallagher,2562133,7,False,90,0,1,0,2,0,0,0,0,0,0,0,27,28.2,21.9,3.0,5.3,4,8,2,14,1,0.09,0.12,0.21,2.08,55,-3242,16670,2173,5415
796,232787,Conor,Gallagher,2562142,2,False,79,0,0,0,1,0,0,0,0,0,0,0,10,15.2,18.3,19.0,5.3,5,2,1,8,1,0.16,0.07,0.23,1.09,54,3407,20611,5407,2000
796,232787,Conor,Gallagher,2562153,2,False,69,0,0,0,2,0,0,0,0,0,0,0,10,7.6,31.8,2.0,4.1,0,3,1,4,1,0.00,0.03,0.03,2.46,54,482,21091,3702,3220
796,232787,Conor,Gallagher,2562163,2,False,61,0,0,0,3,0,0,0,0,0,0,0,12,5.0,0.6,0.0,0.6,0,4,3,7,1,0.00,0.00,0.00,1.81,54,-2060,19211,1606,3666
796,232787,Conor,Gallagher,2562169,1,False,57,0,0,0,2,0,0,0,0,0,0,0,3,2.2,2.7,4.0,0.9,2,3,0,5,1,0.00,0.02,0.02,1.37,54,-970,18444,1067,2037
796,232787,Conor,Gallagher,2562183,1,False,47,0,0,0,2,0,0,0,0,0,0,0,2,2.4,0.8,0.0,0.3,1,2,0,3,0,0.00,0.00,0.00,0.88,53,-1849,16632,489,2338
796,232787,Conor,Gallagher,2562190,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,52,-3227,13524,272,3499
796,232787,Conor,Gallagher,2562203,1,False,6,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.49,51,-1234,11653,116,1350
796,232787,Conor,Gallagher,2562213,2,False,84,0,0,0,1,0,0,0,0,0,0,0,13,12.2,15.9,0.0,2.8,3,4,0,7,1,0.00,0.04,0.04,1.16,51,-840,11678,264,1104
796,232787,Conor,Gallagher,2562224,2,False,75,0,0,0,1,0,0,0,0,0,0,0,15,9.2,11.6,22.0,4.3,3,4,0,7,1,0.04,0.04,0.08,0.50,50,-489,11142,587,1076
796,232787,Conor,Gallagher,2562234,4,False,90,0,0,1,0,0,0,0,1,0,0,0,18,13.6,24.1,2.0,4.0,2,8,3,13,1,0.00,0.01,0.01,0.64,50,755,12801,1542,787
796,232787,Conor,Gallagher,2562237,9,False,90,1,0,0,1,0,0,0,1,0,0,3,33,45.0,5.1,7.0,5.7,2,6,3,11,1,0.04,0.04,0.08,0.32,50,-302,11913,776,1078
796,232787,Conor,Gallagher,2562253,2,False,90,0,0,0,1,0,0,0,0,0,0,0,12,7.6,9.3,8.0,2.5,0,7,3,10,1,0.08,0.04,0.12,1.34,50,13848,26936,14606,758
796,232787,Conor,Gallagher,2562259,2,False,90,0,0,0,2,0,0,0,0,0,0,0,9,10.6,17.6,19.0,4.7,3,5,1,9,1,0.33,0.03,0.36,0.63,50,1469,27437,4049,2580
796,232787,Conor,Gallagher,2562273,3,False,81,0,0,1,0,0,0,0,0,0,0,0,13,6.6,15.1,10.0,3.2,1,5,2,8,1,0.18,0.02,0.20,0.16,50,4755,32430,6997,2242
