element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
86,111317,David,Brooks,2561895,4,False,83,0,1,0,2,0,0,0,1,0,0,0,23,27.2,40.3,18.0,8.6,0,5,2,7,1,0.19,0.19,0.38,1.90,50,0,11665,0,0
86,111317,David,Brooks,2561905,3,False,66,0,0,1,0,0,0,0,0,0,0,0,11,8.2,24.2,15.0,4.7,2,2,0,4,1,0.17,0.67,0.84,0.41,50,8669,28112,12384,3715
86,111317,David,Brooks,2561923,4,False,63,0,0,1,0,0,0,0,0,0,0,1,24,18.6,25.1,37.0,8.1,0,1,4,5,1,0.34,0.32,0.66,0.01,50,1310,30754,7385,6075
86,111317,David,Brooks,2561925,1,False,66,0,0,0,1,0,0,0,1,0,0,0,0,0.0,2.9,8.0,0.6,0,6,0,6,1,0.09,0.02,0.11,0.57,50,13344,48311,21222,7878
86,111317,David,Brooks,2561935,3,False,62,0,0,1,0,0,0,0,0,0,0,0,8,3.8,14.8,4.0,2.3,2,4,0,6,1,0.00,0.04,0.04,0.14,50,-1311,46212,5246,6557
86,111317,David,Brooks,2561950,1,False,30,0,0,0,0,0,0,0,0,0,0,0,5,4.8,6.8,18.0,3.0,1,2,0,3,0,0.09,0.06,0.15,0.48,50,915,47888,6847,5932
86,111317,David,Brooks,2561955,2,False,84,0,0,0,1,0,0,0,0,0,0,0,11,4.2,7.0,4.0,1.5,1,2,0,3,1,0.00,0.02,0.02,0.64,50,-3947,44045,1925,5872
86,111317,David,Brooks,2561967,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-8214,36281,1254,9468
86,111317,David,Brooks,2561975,0,False,21,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.8,7.0,0.6,1,1,0,2,0,0.08,0.09,0.17,0.21,50,-7565,28819,36,7601
86,111317,David,Brooks,2561990,2,False,61,0,0,0,3,0,0,0,0,0,0,0,12,10.0,12.1,13.0,3.5,1,4,2,7,1,0.01,0.06,0.07,1.91,50,-2612,26489,319,2931
86,111317,David,Brooks,2561995,1,False,13,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.4,5.0,0.5,0,0,0,0,0,0.09,0.00,0.09,0.59,50,-612,26178,806,1418
86,111317,David,Brooks,2562005,1,False,60,0,0,0,2,0,0,0,1,0,0,0,5,6.6,32.6,16.0,5.5,1,3,3,7,1,0.32,0.21,0.53,0.65,50,-173,26376,1125,1298
86,111317,David,Brooks,2562022,0,False,19,0,0,0,0,0,0,0,1,0,0,0,4,7.6,5.9,21.0,3.5,0,0,1,1,0,0.03,0.13,0.16,0.07,50,-997,25349,437,1434
86,111317,David,Brooks,2562025,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1972,23417,21,1993
86,111317,David,Brooks,2562035,1,False,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.1,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.03,50,-628,22977,480,1108
86,111317,David,Brooks,2562051,1,False,1,0,0,0,0,0,0,0,0,0,0,0,2,7.2,0.3,36.0,4.4,0,0,0,0,0,0.28,0.00,0.28,0.00,50,-1371,21743,376,1747
86,111317,David,Brooks,2562055,2,False,73,0,0,1,0,0,0,0,1,0,0,0,-11,0.0,15.5,31.0,3.8,0,2,1,3,1,0.79,0.06,0.85,0.00,50,366,22419,1192,826
86,111317,David,Brooks,2562066,1,False,45,0,0,0,2,0,0,0,0,0,0,0,17,22.0,36.6,47.0,10.6,1,2,1,4,0,0.34,0.44,0.78,2.13,50,515,23166,1354,839
86,111317,David,Brooks,2562078,10,False,77,1,0,0,2,0,0,0,0,0,0,3,37,54.2,58.9,80.0,19.3,2,4,1,7,1,1.39,0.46,1.85,2.03,50,-321,22800,508,829
86,111317,David,Brooks,2562085,2,False,66,0,0,0,2,0,0,0,0,0,0,0,8,1.6,1.8,14.0,1.7,2,3,0,5,1,0.11,0.01,0.12,0.59,50,1825,24898,2589,764
86,111317,David,Brooks,2562095,4,False,26,0,1,0,1,0,0,0,0,0,0,0,10,15.6,10.6,5.0,3.1,0,2,0,2,0,0.09,0.01,0.10,0.98,50,1546,26515,2541,995
86,111317,David,Brooks,2562106,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-280,26269,1903,2183
86,111317,David,Brooks,2562115,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-2008,24235,111,2119
86,111317,David,Brooks,2562134,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1866,22377,45,1911
86,111317,David,Brooks,2562135,1,False,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,0,0,0,0,0,0.00,0.01,0.01,0.00,50,-907,21528,53,960
86,111317,David,Brooks,2562149,0,False,10,0,0,0,0,0,0,0,1,0,0,0,0,1.2,1.0,0.0,0.2,1,1,0,2,0,0.00,0.00,0.00,0.81,50,338,22043,819,481
86,111317,David,Brooks,2562164,1,False,24,0,0,0,0,0,0,0,0,0,0,0,5,5.6,10.5,10.0,2.6,1,3,0,4,0,0.10,0.02,0.12,1.80,50,242,22353,769,527
86,111317,David,Brooks,2562165,1,False,45,0,0,0,1,0,0,0,0,0,0,0,3,2.0,13.5,0.0,1.6,0,1,0,1,1,0.00,0.03,0.03,0.96,50,139,22559,493,354
86,111317,David,Brooks,2562175,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-67,22532,368,435
86,111317,David,Brooks,2562187,1,False,10,0,0,0,0,0,0,0,0,0,0,0,3,2.6,12.1,9.0,2.4,1,0,0,1,0,0.36,0.28,0.64,0.03,50,-1,22634,517,518
86,111317,David,Brooks,2562195,1,False,17,0,0,0,0,0,0,0,0,0,0,0,3,0.4,3.2,2.0,0.6,0,0,0,0,0,0.06,0.01,0.07,0.02,50,-126,22443,184,310
86,111317,David,Brooks,2562205,1,False,20,0,0,0,0,0,0,0,0,0,0,0,6,4.6,0.8,0.0,0.5,1,3,1,5,0,0.00,0.03,0.03,0.41,50,-7,22645,384,391
86,111317,David,Brooks,2562222,1,False,24,0,0,0,1,0,0,0,0,0,0,0,3,2.2,1.0,0.0,0.3,0,0,1,1,0,0.00,0.00,0.00,1.12,50,344,23292,726,382
