element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
399,GKP,121160,Ederson,Santana de Moraes,2561901,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,300506,0,0,43
399,GKP,121160,Ederson,Santana de Moraes,2561912,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-70525,269570,6881,77406,43
399,GKP,121160,Ederson,Santana de Moraes,2561916,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-42219,242418,6651,48870,43
399,GKP,121160,Ederson,Santana de Moraes,2561932,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-61823,184557,1668,63491,43
399,GKP,121160,Ederson,Santana de Moraes,2561936,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-31063,155274,0,31063,43
399,GKP,121160,Ederson,Santana de Moraes,2561951,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-16166,139705,0,16166,43
399,GKP,121160,Ederson,Santana de Moraes,2561958,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-8667,131406,0,8667,43
399,GKP,121160,Ederson,Santana de Moraes,2561970,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-8059,123458,0,8059,43
399,GKP,121160,Ederson,Santana de Moraes,2561977,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-3443,120196,0,3443,43
399,GKP,121160,Ederson,Santana de Moraes,2561990,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-3061,117149,0,3061,43
399,GKP,121160,Ederson,Santana de Moraes,2562000,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-2236,114936,0,2236,43
399,GKP,121160,Ederson,Santana de Moraes,2562013,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-1869,113091,0,1869,43
399,GKP,121160,Ederson,Santana de Moraes,2562020,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-1131,111973,0,1131,43
399,GKP,121160,Ederson,Santana de Moraes,2562029,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-684,111334,0,684,43
399,GKP,121160,Ederson,Santana de Moraes,2562041,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-810,110537,0,810,43
399,GKP,121160,Ederson,Santana de Moraes,2562049,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-1224,109314,0,1224,43
399,GKP,121160,Ederson,Santana de Moraes,2562061,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-833,108467,0,833,43
399,GKP,121160,Ederson,Santana de Moraes,2562072,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-696,107795,0,696,43
399,GKP,121160,Ederson,Santana de Moraes,2562083,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-447,107372,0,447,43
399,GKP,121160,Ederson,Santana de Moraes,2562091,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-292,107102,0,292,43
399,GKP,121160,Ederson,Santana de Moraes,2562102,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-272,106836,0,272,43
399,GKP,121160,Ederson,Santana de Moraes,2562110,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-465,106362,0,465,43
399,GKP,121160,Ederson,Santana de Moraes,2562122,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-309,106074,0,309,43
399,GKP,121160,Ederson,Santana de Moraes,2562133,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-345,105731,0,345,43
399,GKP,121160,Ederson,Santana de Moraes,2562141,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-304,105422,0,304,43
399,GKP,121160,Ederson,Santana de Moraes,2562150,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-297,105129,0,297,43
