element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
148,DEF,231416,Ferdi,Kadıoğlu,2561897,0,False,21,0,0,0,1,0,0,0,1,0,0,0,-5,0.0,1.3,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,0.24,45,0,19047,0,0,36
148,DEF,231416,Ferdi,Kadıoğlu,2561910,0,False,23,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,2.2,0.0,0.2,1,2,0,1,0,0.00,0.00,0.00,0.40,45,-2531,19401,954,3485,36
148,DEF,231416,Ferdi,Kadıoğlu,2561916,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,-2818,17371,718,3536,36
148,DEF,231416,Ferdi,Kadıoğlu,2561925,4,False,66,0,0,0,1,0,0,0,0,0,0,0,13,21.2,6.4,0.0,2.8,8,4,2,10,0,0.00,0.04,0.04,1.39,44,-1953,16143,438,2391,36
148,DEF,231416,Ferdi,Kadıoğlu,2561937,1,False,84,0,0,0,2,0,0,0,0,0,0,0,9,10.6,11.3,4.0,2.6,1,5,4,5,1,0.07,0.01,0.08,1.21,44,-90,16491,932,1022,36
148,DEF,231416,Ferdi,Kadıoğlu,2561947,2,False,90,0,0,0,1,0,0,0,0,0,0,0,9,27.4,20.3,2.0,5.0,5,4,2,7,1,0.00,0.13,0.13,1.81,44,-31,16856,1262,1293,36
148,DEF,231416,Ferdi,Kadıoğlu,2561964,2,False,90,0,0,0,1,0,0,0,0,0,0,0,13,14.0,8.9,17.0,4.0,2,4,1,3,1,0.11,0.06,0.17,0.56,44,587,17921,1614,1027,36
148,DEF,231416,Ferdi,Kadıoğlu,2561965,2,False,90,0,0,0,1,0,0,0,0,0,0,0,7,7.4,6.5,8.0,2.2,2,3,0,2,1,0.00,0.34,0.34,1.45,44,-28,18177,1210,1238,36
148,DEF,231416,Ferdi,Kadıoğlu,2561982,-1,False,90,0,0,0,4,0,0,0,1,0,0,0,-4,12.6,7.0,12.0,3.2,2,5,2,4,1,0.13,0.05,0.18,1.29,44,18,18437,1058,1040,36
148,DEF,231416,Ferdi,Kadıoğlu,2561985,6,False,90,0,0,1,0,0,0,0,0,0,0,0,29,10.6,5.9,2.0,1.9,1,3,4,5,1,0.00,0.01,0.01,0.50,44,2286,21399,3587,1301,36
148,DEF,231416,Ferdi,Kadıoğlu,2561998,6,False,90,0,0,1,0,0,0,0,0,0,0,0,29,12.6,6.9,0.0,2.0,2,4,2,4,1,0.00,0.03,0.03,0.74,44,-1128,20073,730,1858,36
148,DEF,231416,Ferdi,Kadıoğlu,2562007,2,False,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,4.9,5.0,2.1,4,7,2,6,1,0.06,0.16,0.22,1.91,44,2716,23577,3485,769,36
148,DEF,231416,Ferdi,Kadıoğlu,2562021,7,False,90,0,0,1,0,0,0,0,0,0,0,1,34,15.2,1.8,21.0,3.8,4,7,3,7,1,0.17,0.01,0.18,0.71,44,-506,23396,1567,2073,36
148,DEF,231416,Ferdi,Kadıoğlu,2562027,1,False,66,0,0,0,3,0,0,0,0,0,0,0,-6,6.6,1.1,0.0,0.8,3,0,1,4,1,0.00,0.00,0.00,1.81,44,3762,27298,4474,712,36
148,DEF,231416,Ferdi,Kadıoğlu,2562037,1,False,82,0,0,0,1,0,0,0,1,0,0,0,6,3.6,17.1,4.0,2.5,1,2,1,2,1,0.00,0.13,0.13,0.90,44,928,29517,2579,1651,36
148,DEF,231416,Ferdi,Kadıoğlu,2562050,1,False,90,0,0,0,2,0,0,0,0,0,0,0,6,13.8,19.5,4.0,3.7,3,4,2,5,1,0.08,0.07,0.15,1.89,44,-2481,25371,1572,4053,36
148,DEF,231416,Ferdi,Kadıoğlu,2562057,6,False,90,0,0,1,0,0,0,0,0,0,0,0,28,17.8,23.8,5.0,4.7,3,1,3,6,1,0.07,0.17,0.24,1.38,44,3684,30249,5141,1457,36
148,DEF,231416,Ferdi,Kadıoğlu,2562065,1,False,90,0,0,0,2,0,0,0,0,0,0,0,6,7.2,16.3,2.0,2.6,3,4,0,3,1,0.00,0.24,0.24,3.08,44,-172,29193,2911,3083,36
148,DEF,231416,Ferdi,Kadıoğlu,2562084,4,False,90,0,1,0,2,0,0,0,0,0,0,0,21,24.0,38.1,17.0,7.9,3,9,1,4,1,0.09,0.09,0.18,2.06,44,2321,33588,3872,1551,36
148,DEF,231416,Ferdi,Kadıoğlu,2562087,9,False,90,0,0,1,0,0,0,0,0,0,0,3,44,23.2,47.8,2.0,7.3,3,2,1,4,1,0.00,0.48,0.48,0.30,44,8533,42500,10644,2111,36
148,DEF,231416,Ferdi,Kadıoğlu,2562102,2,False,90,0,0,0,1,0,0,0,0,0,0,0,15,18.8,6.8,17.0,4.3,2,5,3,5,1,0.21,0.02,0.23,2.55,44,-2960,37811,2965,5925,36
148,DEF,231416,Ferdi,Kadıoğlu,2562106,2,False,88,0,0,0,1,0,0,0,0,0,0,0,13,18.6,25.5,11.0,5.5,2,2,3,5,1,0.05,0.03,0.08,1.33,44,5070,43841,8027,2957,36
148,DEF,231416,Ferdi,Kadıoğlu,2562121,1,False,90,0,0,0,2,0,0,0,0,0,0,0,6,16.8,5.3,11.0,3.3,4,4,0,4,1,0.31,0.02,0.33,1.05,44,2285,46086,4509,2224,36
148,DEF,231416,Ferdi,Kadıoğlu,2562126,2,False,90,0,0,0,1,0,0,0,0,0,0,0,11,23.6,30.7,2.0,5.6,2,2,5,7,1,0.00,0.10,0.10,1.20,44,1910,48242,6240,4330,36
148,DEF,231416,Ferdi,Kadıoğlu,2562137,2,False,90,0,0,0,1,0,0,0,0,0,0,0,8,10.4,4.5,4.0,1.9,4,6,0,4,1,0.00,0.02,0.02,1.16,44,-2220,46179,2234,4454,36
148,DEF,231416,Ferdi,Kadıoğlu,2562145,2,False,90,0,0,0,1,0,0,0,0,0,0,0,17,10.0,2.3,7.0,1.9,1,5,2,3,1,0.03,0.01,0.04,0.72,44,-2966,42544,749,3715,36
148,DEF,231416,Ferdi,Kadıoğlu,2562156,8,False,90,0,1,1,0,0,0,0,1,0,0,0,27,8.6,12.9,7.0,2.9,5,7,1,6,1,0.02,0.03,0.05,1.60,44,-169,43103,2103,2272,36
148,DEF,231416,Ferdi,Kadıoğlu,2562167,2,False,90,0,0,0,1,0,0,0,0,0,0,0,7,6.0,2.9,6.0,1.5,1,1,2,3,1,0.03,0.06,0.09,0.93,44,338,43951,2354,2016,36
148,DEF,231416,Ferdi,Kadıoğlu,2562177,1,False,90,0,0,0,1,0,0,0,1,0,0,0,6,8.4,4.9,6.0,1.9,4,3,0,4,1,0.00,0.03,0.03,0.47,44,-1610,41963,761,2371,36
148,DEF,231416,Ferdi,Kadıoğlu,2562193,8,False,90,0,0,1,0,0,0,0,0,0,0,0,30,17.8,2.3,7.0,2.7,7,3,4,11,1,0.13,0.02,0.15,0.90,44,3276,45693,4801,1525,36
148,DEF,231416,Ferdi,Kadıoğlu,2562197,2,False,90,0,0,0,1,0,0,0,0,0,0,0,10,14.6,7.8,9.0,3.1,4,2,0,4,1,0.02,0.04,0.06,1.03,44,1542,49005,4142,2600,36
148,DEF,231416,Ferdi,Kadıoğlu,2562207,6,False,90,0,0,1,0,0,0,0,0,0,0,0,34,17.4,3.5,3.0,2.4,6,3,3,9,1,0.02,0.03,0.05,0.88,44,25245,73962,32407,7162,36
148,DEF,231416,Ferdi,Kadıoğlu,2562224,1,False,90,0,0,0,2,0,0,0,0,0,0,0,-2,6.6,4.6,11.0,2.2,5,2,0,5,1,0.14,0.01,0.15,1.09,44,18647,137748,23428,4781,36
