element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
695,DEF,523705,Jackson,Tchatchoua,2561905,1,False,55,0,0,0,0,0,0,0,0,0,0,0,7,8.6,16.8,4.0,2.9,4,3,0,4,0,0.00,0.02,0.02,0.66,45,202,570,250,48,39
695,DEF,523705,Jackson,Tchatchoua,2561924,1,False,62,0,0,0,3,0,0,0,0,0,0,0,-5,11.0,6.3,2.0,1.9,2,2,1,3,1,0.00,0.01,0.01,1.75,45,413,1497,633,220,39
695,DEF,523705,Jackson,Tchatchoua,2561933,1,False,13,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.2,2.0,0.3,0,2,0,0,0,0.00,0.00,0.00,0.17,45,52,1769,293,241,39
695,DEF,523705,Jackson,Tchatchoua,2561944,1,False,90,0,0,0,3,0,0,0,0,0,0,0,8,22.0,30.8,6.0,5.9,2,5,4,6,1,0.00,0.01,0.01,0.48,45,-10,1934,169,179,39
695,DEF,523705,Jackson,Tchatchoua,2561954,1,False,45,0,0,0,1,0,0,0,0,0,0,0,0,9.8,0.8,0.0,1.1,3,3,2,5,0,0.00,0.00,0.00,0.19,45,-113,1937,81,194,39
695,DEF,523705,Jackson,Tchatchoua,2561964,4,False,90,0,0,0,1,0,0,0,0,0,0,0,8,19.0,1.0,0.0,2.0,7,8,3,10,1,0.00,0.00,0.00,1.15,45,15,2077,165,150,39
695,DEF,523705,Jackson,Tchatchoua,2561972,1,False,13,0,0,0,1,0,0,0,0,0,0,0,-1,0.2,12.3,4.0,1.7,0,2,0,0,0,0.26,0.00,0.26,0.00,45,253,2623,411,158,39
695,DEF,523705,Jackson,Tchatchoua,2561984,1,False,14,0,0,0,1,0,0,0,0,0,0,0,3,8.8,23.3,0.0,3.2,0,0,0,0,0,0.00,0.06,0.06,0.38,45,-50,2711,167,217,39
695,DEF,523705,Jackson,Tchatchoua,2561988,0,False,45,0,0,0,2,0,0,0,0,0,0,0,-5,14.4,0.0,0.0,1.4,5,0,0,5,0,0.00,0.00,0.00,1.09,45,-54,2796,219,273,39
695,DEF,523705,Jackson,Tchatchoua,2561997,3,False,90,0,0,0,3,0,0,0,0,0,0,0,-1,24.8,1.0,0.0,2.6,9,1,1,10,1,0.00,0.00,0.00,3.31,45,-236,2674,64,300,39
