element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
291,17761,James,Tarkowski,2561904,4,False,90,0,0,0,1,0,0,0,0,0,0,0,7,31.0,2.1,7.0,4.0,13,3,2,15,1,0.20,0.01,0.21,2.07,55,0,704639,0,0
291,17761,James,Tarkowski,2561910,8,False,90,0,0,1,0,0,0,0,0,0,0,0,27,13.2,0.3,4.0,1.8,10,3,0,10,1,0.00,0.00,0.00,2.43,55,-18442,726150,31239,49681
291,17761,James,Tarkowski,2561924,3,False,90,0,0,0,2,0,0,0,0,0,0,0,5,23.2,0.3,0.0,2.4,10,4,1,11,1,0.00,0.00,0.00,1.11,55,81702,876954,128286,46584
291,17761,James,Tarkowski,2561930,8,False,90,0,0,1,0,0,0,0,0,0,0,0,27,29.2,10.8,6.0,4.6,7,3,4,11,1,0.00,0.04,0.04,0.54,55,-38787,811513,49515,88302
291,17761,James,Tarkowski,2561940,3,False,90,0,0,0,2,0,0,0,0,0,0,0,12,34.6,7.8,0.0,4.2,11,2,3,14,1,0.00,0.02,0.02,0.90,55,-11898,811924,38277,50175
291,17761,James,Tarkowski,2561949,1,False,90,0,0,0,1,0,0,0,1,0,0,0,10,21.6,15.7,0.0,3.7,7,3,0,7,1,0.00,0.11,0.11,1.17,55,156743,1016545,233784,77041
291,17761,James,Tarkowski,2561960,5,False,90,0,0,0,1,0,0,0,0,0,0,1,22,34.6,16.9,8.0,6.0,9,6,2,11,1,0.00,0.26,0.26,1.65,55,-29606,958057,43354,72960
291,17761,James,Tarkowski,2561970,3,False,90,0,0,0,2,0,0,0,0,0,0,0,8,27.2,0.0,2.0,2.9,11,1,2,13,1,0.00,0.00,0.00,2.39,55,-77648,883847,16773,94421
291,17761,James,Tarkowski,2561980,1,False,90,0,0,0,3,0,0,0,0,0,0,0,6,16.0,14.5,2.0,3.3,6,0,1,7,1,0.00,0.06,0.06,2.08,55,-41972,847135,13073,55045
291,17761,James,Tarkowski,2561992,2,False,90,0,0,0,1,0,0,0,0,0,0,0,10,16.4,5.6,4.0,2.6,8,1,0,8,1,0.00,0.02,0.02,1.09,55,-61282,785641,11959,73241
291,17761,James,Tarkowski,2561999,5,False,90,0,0,1,0,0,0,0,1,0,0,0,23,13.4,0.4,37.0,5.1,7,2,0,7,1,0.16,0.00,0.16,0.40,54,-41746,751064,12546,54292
291,17761,James,Tarkowski,2562012,8,False,90,0,0,1,0,0,0,0,0,0,0,0,22,29.8,10.5,6.0,4.6,14,2,0,14,1,0.00,0.08,0.08,1.66,54,-43528,699007,8422,51950
291,17761,James,Tarkowski,2562019,3,False,90,0,1,0,4,0,0,0,0,0,0,0,25,39.6,23.2,6.0,6.9,5,3,2,7,1,0.00,0.16,0.16,1.91,54,-841,687584,19357,20198
291,17761,James,Tarkowski,2562025,10,False,90,0,0,1,0,0,0,0,0,0,0,2,28,22.6,11.1,6.0,4.0,8,3,2,10,1,0.00,0.16,0.16,0.50,54,-14952,691288,9719,24671
291,17761,James,Tarkowski,2562038,9,False,90,0,0,1,0,0,0,0,1,0,0,2,29,29.2,0.3,0.0,3.0,17,2,0,17,1,0.00,0.01,0.01,0.53,54,94420,831805,103283,8863
291,17761,James,Tarkowski,2562048,1,False,90,0,0,0,2,0,0,0,0,0,0,0,0,12.8,0.8,6.0,2.0,2,3,1,3,1,0.04,0.01,0.05,2.20,55,158840,955090,207561,48721
291,17761,James,Tarkowski,2562058,3,False,90,0,0,0,1,0,0,0,1,0,0,0,14,26.2,15.2,2.0,4.3,7,4,3,10,1,0.00,0.05,0.05,2.00,55,-22765,920870,42659,65424
291,17761,James,Tarkowski,2562067,8,False,90,0,0,1,0,0,0,0,0,0,0,0,30,24.4,0.3,0.0,2.5,13,3,0,13,1,0.00,0.00,0.00,1.41,55,61297,1048799,90838,29541
291,17761,James,Tarkowski,2562082,9,False,90,0,0,1,0,0,0,0,0,0,0,1,31,43.0,0.1,26.0,6.9,17,0,2,19,1,0.36,0.00,0.36,1.55,55,78344,1088382,104140,25796
291,17761,James,Tarkowski,2562088,2,False,90,0,0,0,4,0,0,0,0,0,0,0,9,31.0,20.9,28.0,8.0,9,3,5,14,1,0.29,0.06,0.35,2.40,56,290984,1399783,318705,27721
291,17761,James,Tarkowski,2562100,4,False,90,0,0,0,1,0,0,0,0,0,0,0,14,34.0,10.8,12.0,5.7,13,1,1,14,1,0.00,0.01,0.01,0.73,57,228978,1634713,260034,31056
291,17761,James,Tarkowski,2562105,8,False,90,0,0,1,0,0,0,0,0,0,0,0,25,23.6,0.0,8.0,3.2,9,1,2,11,1,0.10,0.00,0.10,1.44,57,-7493,1595565,97617,105110
291,17761,James,Tarkowski,2562120,4,False,90,0,0,0,1,0,0,0,0,0,0,0,17,31.8,4.9,2.0,3.9,11,3,1,12,1,0.00,0.01,0.01,1.23,58,173831,1792632,203058,29227
291,17761,James,Tarkowski,2562126,2,False,90,0,0,0,1,0,0,0,0,0,0,0,13,18.6,0.9,18.0,3.8,6,1,2,8,1,0.09,0.21,0.30,1.44,58,41876,1828358,130712,88836
291,17761,James,Tarkowski,2562139,2,False,90,0,0,0,1,0,0,0,0,0,0,0,1,1.2,0.3,7.0,0.9,3,3,0,3,1,0.24,0.00,0.24,1.97,58,-50967,1777857,48612,99579
291,17761,James,Tarkowski,2562149,1,False,90,0,0,0,2,0,0,0,0,0,0,0,5,21.8,0.4,35.0,5.7,9,2,0,9,1,0.24,0.02,0.26,1.34,58,-162926,1594905,26595,189521
291,17761,James,Tarkowski,2562159,1,False,90,0,0,0,1,0,0,0,1,0,0,0,16,21.4,10.7,14.0,4.6,7,4,2,9,1,0.19,0.01,0.20,1.27,57,-143797,1473367,16766,160563
291,17761,James,Tarkowski,2562173,3,False,90,0,0,0,2,0,0,0,0,0,0,0,6,29.4,0.0,0.0,2.9,13,1,0,13,1,0.00,0.00,0.00,1.03,57,-89859,1386534,18305,108164
291,17761,James,Tarkowski,2562178,15,False,90,1,0,1,0,0,0,0,0,0,0,3,42,45.2,0.8,19.0,6.5,3,2,1,4,1,0.13,0.01,0.14,0.79,57,8427,1410117,51206,42779
291,17761,James,Tarkowski,2562185,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,57,36906,1444979,88529,51623
291,17761,James,Tarkowski,2562198,6,False,90,0,0,1,0,0,0,0,0,0,0,0,27,19.8,0.3,24.0,4.4,6,4,0,6,1,0.04,0.00,0.04,0.93,57,-24801,1423227,62358,87159
