element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
151,469142,Jan Paul,van Hecke,2561897,2,False,90,0,0,0,1,0,0,0,0,0,0,0,15,28.0,1.3,0.0,2.9,7,4,1,8,1,0.00,0.13,0.13,0.76,45,0,117209,0,0
151,469142,Jan Paul,van Hecke,2561910,1,False,90,0,0,0,2,0,0,0,0,0,0,0,5,18.6,0.9,4.0,2.4,6,3,0,6,1,0.01,0.01,0.02,1.60,45,-3853,124264,6386,10239
151,469142,Jan Paul,van Hecke,2561916,1,False,90,0,0,0,1,0,0,0,1,0,0,0,4,17.2,0.4,33.0,5.1,4,5,1,5,1,0.29,0.00,0.29,1.82,45,-12508,112563,2329,14837
151,469142,Jan Paul,van Hecke,2561925,3,False,90,0,0,0,2,0,0,0,0,0,0,0,5,24.0,0.8,2.0,2.7,10,2,0,10,1,0.00,0.02,0.02,1.45,45,-7492,108690,3755,11247
151,469142,Jan Paul,van Hecke,2561937,1,False,90,0,0,0,2,1,0,0,0,0,0,0,5,15.2,0.3,0.0,1.6,11,1,1,12,1,0.00,0.00,0.00,1.22,45,-4500,105290,3250,7750
151,469142,Jan Paul,van Hecke,2561947,3,False,90,0,0,0,1,0,0,0,1,0,0,0,12,34.6,1.8,4.0,4.0,11,4,4,15,1,0.03,0.03,0.06,1.81,44,-6421,99525,3683,10104
151,469142,Jan Paul,van Hecke,2561964,11,False,90,1,0,0,1,0,0,0,0,0,0,3,25,48.2,3.0,21.0,7.2,3,2,1,4,1,0.13,0.02,0.14,0.56,44,-414,100751,5798,6212
151,469142,Jan Paul,van Hecke,2561965,4,False,90,0,0,0,1,0,0,0,0,0,0,0,20,43.2,5.4,2.0,5.1,13,5,3,16,1,0.00,0.01,0.01,1.45,44,18753,122209,24874,6121
151,469142,Jan Paul,van Hecke,2561982,2,False,90,0,0,0,4,0,0,0,0,0,0,0,0,31.6,16.1,0.0,4.8,5,1,5,10,1,0.00,0.03,0.03,1.29,44,12915,135700,20124,7209
151,469142,Jan Paul,van Hecke,2561985,7,False,90,0,0,1,0,0,0,0,0,0,0,1,36,38.4,11.7,17.0,6.7,6,3,3,9,1,0.17,0.02,0.19,0.50,44,25021,168538,33278,8257
151,469142,Jan Paul,van Hecke,2561998,5,False,90,0,0,1,0,0,0,0,1,0,0,0,25,21.4,1.6,18.0,4.1,7,6,0,7,1,0.06,0.02,0.08,0.74,44,270,162923,12670,12400
151,469142,Jan Paul,van Hecke,2562007,2,False,90,0,0,0,1,0,0,0,0,0,0,0,11,17.8,2.1,6.0,2.6,4,5,1,5,1,0.00,0.01,0.01,1.91,44,20191,188774,26196,6005
151,469142,Jan Paul,van Hecke,2562021,6,False,90,0,0,1,0,0,0,0,0,0,0,0,25,13.4,1.1,0.0,1.5,4,2,0,4,1,0.00,0.01,0.01,0.71,44,-2620,183281,8839,11459
151,469142,Jan Paul,van Hecke,2562027,12,False,90,2,0,0,4,0,0,0,0,0,0,0,23,79.0,1.5,63.0,14.4,4,1,2,6,1,1.03,0.01,1.04,2.41,44,20406,206363,24766,4360
151,469142,Jan Paul,van Hecke,2562037,5,False,90,0,1,0,1,0,0,0,0,0,0,0,23,34.6,31.3,8.0,7.4,5,2,1,6,1,0.07,0.17,0.24,1.14,45,167742,435890,173557,5815
151,469142,Jan Paul,van Hecke,2562050,1,False,90,0,0,0,2,0,0,0,0,0,0,0,4,16.6,8.3,0.0,2.5,1,3,1,2,1,0.00,0.09,0.09,1.89,45,92754,465107,131514,38760
151,469142,Jan Paul,van Hecke,2562057,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,101142,593438,119758,18616
151,469142,Jan Paul,van Hecke,2562065,3,False,90,0,0,0,2,0,0,0,0,0,0,0,12,46.2,1.2,0.0,4.7,12,1,3,15,1,0.00,0.01,0.01,3.08,46,-76649,453221,12007,88656
151,469142,Jan Paul,van Hecke,2562084,0,False,90,0,0,0,2,0,0,0,1,0,0,0,6,17.6,2.6,0.0,2.0,6,4,1,7,1,0.00,0.02,0.02,2.06,45,39534,552673,63886,24352
151,469142,Jan Paul,van Hecke,2562087,6,False,90,0,0,1,0,0,0,0,0,0,0,0,32,29.2,1.3,21.0,5.2,8,3,1,9,1,0.10,0.01,0.11,0.30,45,37737,589791,73394,35657
151,469142,Jan Paul,van Hecke,2562102,3,False,90,0,0,0,1,0,0,0,1,0,0,0,9,22.8,0.0,4.0,2.7,14,3,1,15,1,0.01,0.00,0.01,2.55,45,-36620,535161,14677,51297
151,469142,Jan Paul,van Hecke,2562106,6,False,90,0,1,0,1,0,0,0,1,0,0,2,21,39.0,33.6,12.0,8.5,3,5,1,4,1,0.10,0.06,0.16,1.33,45,4634,545860,32257,27623
151,469142,Jan Paul,van Hecke,2562121,1,False,90,0,0,0,2,0,0,0,0,0,0,0,7,19.6,5.8,9.0,3.4,7,4,1,8,1,0.05,0.02,0.07,1.05,45,13450,560578,33922,20472
151,469142,Jan Paul,van Hecke,2562126,2,False,90,0,0,0,1,0,0,0,0,0,0,0,9,17.4,2.6,2.0,2.2,9,3,0,9,1,0.00,0.20,0.20,1.20,45,588,562352,43375,42787
151,469142,Jan Paul,van Hecke,2562137,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-4887,560174,26095,30982
151,469142,Jan Paul,van Hecke,2562145,5,False,60,0,0,1,0,0,0,0,1,0,0,0,21,7.4,0.4,0.0,0.8,5,1,1,6,1,0.00,0.01,0.01,0.47,45,-90545,454855,2982,93527
151,469142,Jan Paul,van Hecke,2562156,9,False,90,0,0,1,0,0,0,0,0,0,0,1,29,17.0,0.7,0.0,1.8,10,4,0,10,1,0.00,0.01,0.01,1.60,44,-11631,456737,11286,22917
151,469142,Jan Paul,van Hecke,2562167,4,False,90,0,0,0,1,0,0,0,0,0,0,0,17,38.2,14.8,0.0,5.3,9,2,2,11,1,0.00,0.05,0.05,0.93,44,26157,487894,36929,10772
151,469142,Jan Paul,van Hecke,2562177,2,False,90,0,0,0,1,0,0,0,0,0,0,0,15,29.0,30.7,2.0,6.2,5,1,4,9,1,0.00,0.17,0.17,0.47,44,3138,486104,22661,19523
151,469142,Jan Paul,van Hecke,2562193,9,False,90,0,0,1,0,0,0,0,0,0,0,1,31,35.2,0.6,7.0,4.3,13,3,3,16,1,0.08,0.00,0.08,0.90,44,35849,524981,47589,11740
151,469142,Jan Paul,van Hecke,2562197,4,False,90,0,0,0,1,0,0,0,0,0,0,0,18,27.2,4.9,7.0,3.9,9,2,1,10,1,0.05,0.02,0.07,1.03,44,71088,668701,83832,12744
