element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
663,MID,230376,Jhon,Arias,2561901,1,False,17,0,0,0,1,0,0,0,0,0,0,0,2,2.2,12.0,2.0,1.6,1,2,0,3,0,0.00,0.02,0.02,0.24,55,0,71620,0,0,39
663,MID,230376,Jhon,Arias,2561905,1,False,55,0,0,0,1,0,0,0,0,0,0,0,4,5.6,1.6,4.0,1.1,1,2,4,7,1,0.13,0.01,0.14,0.83,55,-11590,62592,1776,13366,39
663,MID,230376,Jhon,Arias,2561924,2,False,63,0,0,0,3,0,0,0,0,0,0,0,13,15.6,5.0,13.0,3.4,0,1,6,7,1,0.04,0.02,0.06,1.75,54,-10321,51909,1574,11895,39
663,MID,230376,Jhon,Arias,2561933,1,False,24,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.8,7.0,0.7,1,1,0,2,0,0.04,0.00,0.04,0.20,53,-12747,40496,758,13505,39
663,MID,230376,Jhon,Arias,2561944,1,False,18,0,0,0,0,0,0,0,0,0,0,0,5,6.8,29.1,10.0,4.6,0,0,0,0,0,0.00,0.06,0.06,0.00,53,-5524,36417,1081,6605,39
663,MID,230376,Jhon,Arias,2561954,5,False,90,0,0,1,0,0,0,0,0,0,0,0,17,21.0,48.3,9.0,7.8,3,6,5,14,1,0.06,0.13,0.19,0.81,52,-7478,28916,481,7959,39
663,MID,230376,Jhon,Arias,2561964,3,False,90,0,0,0,1,0,0,0,0,0,0,1,22,15.6,18.8,13.0,4.7,2,4,4,10,1,0.33,0.02,0.35,1.15,52,-252,29264,2395,2647,39
663,MID,230376,Jhon,Arias,2561972,2,False,76,0,0,0,1,0,0,0,0,0,0,0,17,9.8,15.9,8.0,3.4,2,5,2,9,1,0.04,0.04,0.08,0.65,52,-471,29108,2771,3242,39
663,MID,230376,Jhon,Arias,2561984,2,False,67,0,0,0,2,0,0,0,0,0,0,0,3,3.2,20.3,14.0,3.8,2,2,1,5,1,0.53,0.04,0.57,1.05,52,-1171,28021,871,2042,39
663,MID,230376,Jhon,Arias,2561988,1,False,45,0,0,0,1,0,0,0,0,0,0,0,6,3.6,2.1,0.0,0.6,0,3,2,5,1,0.00,0.01,0.01,0.30,52,-2266,25826,626,2892,39
663,MID,230376,Jhon,Arias,2561997,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-2211,23683,124,2335,39
663,MID,230376,Jhon,Arias,2562014,1,False,15,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.8,11.0,1.1,0,1,0,1,0,0.82,0.06,0.88,0.09,51,-1590,22275,129,1719,39
