element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
376,DEF,171287,Joe,Gomez,2561895,1,False,18,0,0,0,1,0,0,0,0,0,0,0,-1,2.4,0.4,0.0,0.3,1,1,0,1,0,0.00,0.00,0.00,0.21,50,0,6742,0,0,14
376,DEF,171287,Joe,Gomez,2561913,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,274,12191,1448,1174,14
376,DEF,171287,Joe,Gomez,2561919,1,False,11,0,0,0,0,0,0,0,0,0,0,0,6,12.2,0.1,0.0,1.2,7,0,0,7,0,0.00,0.00,0.00,0.09,50,-674,14499,1225,1899,14
376,DEF,171287,Joe,Gomez,2561928,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-420,16097,1355,1775,14
376,DEF,171287,Joe,Gomez,2561940,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-807,16208,589,1396,14
376,DEF,171287,Joe,Gomez,2561948,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-696,16263,509,1205,14
376,DEF,171287,Joe,Gomez,2561959,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-375,16607,546,921,14
376,DEF,171287,Joe,Gomez,2561969,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-369,17112,594,963,14
376,DEF,171287,Joe,Gomez,2561978,1,False,7,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,6.0,0.5,0,0,0,0,0,0.13,0.07,0.20,0.21,49,-330,17133,325,655,14
376,DEF,171287,Joe,Gomez,2561989,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-341,17168,299,640,14
