element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561900,1,False,10,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,38151,0,0
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561912,11,False,90,1,0,1,0,0,0,0,0,0,0,3,31,49.8,0.7,19.0,7.0,3,2,4,9,1,0.14,0.00,0.14,1.55,55,-8380,34631,1239,9619
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561923,1,False,53,0,0,0,1,0,0,0,0,0,0,0,6,6.8,3.2,2.0,1.2,2,2,2,6,1,0.00,0.01,0.01,1.28,55,34780,86176,41757,6977
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561934,3,False,90,0,0,1,0,0,0,0,0,0,0,0,18,14.2,4.2,18.0,3.6,0,1,6,7,1,0.22,0.03,0.25,0.60,55,4164,95676,19778,15614
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561937,4,False,90,0,0,0,2,0,0,0,0,0,0,0,19,21.8,5.1,0.0,2.7,3,4,7,14,1,0.00,0.02,0.02,1.32,55,946,99343,13302,12356
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561954,9,False,90,1,0,0,1,0,0,0,1,0,0,3,33,45.6,11.0,12.0,6.9,3,4,4,11,1,0.08,0.01,0.09,1.15,55,1213,102649,12745,11532
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561961,1,False,90,0,0,0,1,0,0,0,1,0,0,0,6,7.6,2.8,5.0,1.5,4,1,2,7,1,0.10,0.01,0.11,1.68,55,34130,142987,41646,7516
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561973,9,False,90,0,1,0,2,0,0,0,0,0,0,2,35,43.8,11.8,14.0,7.0,3,3,10,16,1,0.07,0.22,0.29,0.32,55,-3538,139480,17023,20561
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561980,5,False,90,0,0,1,0,0,0,0,0,0,0,0,21,21.0,3.6,0.0,2.5,6,4,4,14,1,0.00,0.01,0.01,1.53,55,40566,185743,49656,9090
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,2561993,4,False,90,0,0,0,1,0,0,0,0,0,0,0,16,14.2,2.1,0.0,1.6,3,8,5,16,1,0.00,0.00,0.00,3.68,55,15503,201788,31683,16180
