element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
619,MID,577114,Luis Guilherme,Lira dos Santos,2561899,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,3179,0,0,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561914,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-685,3226,38,723,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561921,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-779,2453,42,821,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561934,1,False,29,0,0,0,1,0,0,0,0,0,0,0,2,1.4,0.0,0.0,0.1,1,2,0,3,0,0.00,0.00,0.00,0.65,49,-351,2161,53,404,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561943,1,False,12,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,0.2,0,0,0,0,0,0.07,0.00,0.07,0.14,49,-52,2219,87,139,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561949,1,False,13,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,0.0,0.1,0,2,0,2,0,0.00,0.00,0.00,0.09,49,-47,2247,56,103,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561956,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-27,2299,62,89,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561974,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-37,2398,76,113,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561981,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-21,2454,48,69,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2561994,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-57,2468,27,84,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2562004,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-48,2480,30,78,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2562005,1,False,45,0,0,0,0,0,0,0,0,0,0,0,0,4.0,13.1,0.0,1.7,1,3,0,4,1,0.00,0.01,0.01,0.56,49,-30,2536,43,73,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2562024,1,False,22,0,0,0,1,0,0,0,0,0,0,0,6,3.6,0.8,0.0,0.4,0,1,1,2,0,0.00,0.02,0.02,0.38,49,-28,2559,29,57,21
619,MID,577114,Luis Guilherme,Lira dos Santos,2562032,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-5,2572,25,30,21
