element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
724,247955,Lutsharel,Geertruida,2561929,1,False,6,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,0.0,0.1,0,1,0,0,0,0.00,0.00,0.00,0.38,45,586,908,717,131
724,247955,Lutsharel,Geertruida,2561942,1,False,9,0,0,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0.0,0.6,2,0,0,2,0,0.00,0.00,0.00,0.25,45,129,1279,336,207
724,247955,Lutsharel,Geertruida,2561953,1,False,31,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.6,19.0,2.4,0,3,0,0,0,0.27,0.05,0.32,1.23,45,63,1523,277,214
724,247955,Lutsharel,Geertruida,2561962,1,False,11,0,0,0,0,0,0,0,0,0,0,0,7,4.2,0.0,0.0,0.4,0,0,2,2,0,0.00,0.00,0.00,0.39,45,107,1787,318,211
724,247955,Lutsharel,Geertruida,2561972,1,False,14,0,0,0,0,0,0,0,0,0,0,0,5,3.2,0.3,0.0,0.4,1,1,1,2,0,0.00,0.00,0.00,0.48,45,149,2253,362,213
724,247955,Lutsharel,Geertruida,2561979,2,False,90,0,0,0,1,0,0,0,0,0,0,0,9,15.6,3.8,2.0,2.1,5,4,0,5,1,0.03,0.18,0.21,0.90,45,-73,2302,146,219
724,247955,Lutsharel,Geertruida,2561992,2,False,90,0,0,0,1,0,0,0,0,0,0,0,16,22.0,2.5,1.0,2.6,5,7,2,7,1,0.03,0.02,0.05,0.86,45,299,2891,518,219
724,247955,Lutsharel,Geertruida,2562002,1,False,86,0,0,0,2,0,0,0,0,0,0,0,8,17.8,11.2,0.0,2.9,4,2,3,7,1,0.00,0.05,0.05,1.38,45,-16,2984,230,246
724,247955,Lutsharel,Geertruida,2562009,2,False,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,1.0,2.0,1.4,3,5,3,6,1,0.00,0.00,0.00,2.16,45,271,3561,475,204
724,247955,Lutsharel,Geertruida,2562022,1,False,4,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,0.03,45,30,3704,250,220
724,247955,Lutsharel,Geertruida,2562031,1,False,11,0,0,0,1,0,0,0,0,0,0,0,-1,2.2,0.2,2.0,0.4,2,1,0,2,0,0.00,0.00,0.00,0.55,45,-61,3664,154,215
724,247955,Lutsharel,Geertruida,2562041,1,False,90,0,0,0,3,0,0,0,0,0,0,0,12,17.4,11.1,0.0,2.9,5,3,2,7,1,0.00,0.01,0.01,2.42,45,-51,3722,181,232
724,247955,Lutsharel,Geertruida,2562053,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,61,3916,358,297
724,247955,Lutsharel,Geertruida,2562057,6,False,90,0,0,1,0,0,0,0,0,0,0,0,21,11.0,13.3,0.0,2.4,1,4,2,3,1,0.00,0.04,0.04,1.13,45,98,4159,327,229
724,247955,Lutsharel,Geertruida,2562073,2,False,90,0,0,0,1,0,0,0,0,0,0,0,12,15.4,2.6,0.0,1.8,4,1,2,6,1,0.00,0.02,0.02,2.17,45,461,4961,626,165
724,247955,Lutsharel,Geertruida,2562083,6,False,90,0,0,1,0,0,0,0,0,0,0,0,21,11.4,0.9,4.0,1.6,4,4,1,5,1,0.00,0.02,0.02,2.25,45,-84,4712,179,263
724,247955,Lutsharel,Geertruida,2562093,2,False,90,0,0,0,1,0,0,0,0,0,0,0,14,11.6,14.2,0.0,2.6,4,6,2,6,1,0.00,0.03,0.03,1.18,45,511,5401,713,202
724,247955,Lutsharel,Geertruida,2562097,1,False,78,0,0,0,3,0,0,0,0,0,0,0,-1,1.2,1.9,4.0,0.7,3,1,0,3,1,0.04,0.00,0.04,2.80,45,412,5851,645,233
724,247955,Lutsharel,Geertruida,2562112,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,222,6174,620,398
724,247955,Lutsharel,Geertruida,2562124,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-86,6109,286,372
724,247955,Lutsharel,Geertruida,2562132,1,False,10,0,0,0,0,0,0,0,0,0,0,0,5,2.8,11.0,2.0,1.6,0,0,0,0,0,0.00,0.11,0.11,0.00,45,-280,5918,168,448
724,247955,Lutsharel,Geertruida,2562136,1,False,19,0,0,0,1,0,0,0,0,0,0,0,-1,1.8,1.5,0.0,0.3,0,1,0,0,0,0.00,0.00,0.00,0.70,45,-6,5991,371,377
724,247955,Lutsharel,Geertruida,2562152,1,False,10,0,0,0,0,0,0,0,0,0,0,0,9,9.6,14.4,0.0,2.4,0,0,2,2,0,0.00,0.08,0.08,0.15,45,-190,5855,126,316
724,247955,Lutsharel,Geertruida,2562162,1,False,78,0,0,0,3,0,0,0,0,0,0,0,5,14.6,11.8,8.0,3.4,3,7,4,7,0,0.07,0.07,0.14,1.88,45,-41,5918,196,237
724,247955,Lutsharel,Geertruida,2562165,4,False,90,0,0,0,1,0,0,0,0,0,0,0,6,21.4,2.3,2.0,2.6,9,1,4,13,1,0.00,0.01,0.01,1.71,45,33,6001,192,159
724,247955,Lutsharel,Geertruida,2562180,1,False,54,0,0,0,0,0,0,0,0,0,0,0,3,0.8,2.3,0.0,0.3,1,0,1,2,1,0.00,0.01,0.01,0.42,45,525,6603,702,177
724,247955,Lutsharel,Geertruida,2562193,2,False,90,0,0,0,1,0,0,0,0,0,0,0,10,10.0,3.2,17.0,3.0,3,6,0,3,1,0.06,0.02,0.08,1.68,45,-48,6623,329,377
724,247955,Lutsharel,Geertruida,2562202,3,False,90,0,0,0,1,0,0,0,1,0,0,0,8,20.8,6.0,4.0,3.1,7,4,3,10,1,0.00,0.03,0.03,1.27,45,8,6846,239,231
724,247955,Lutsharel,Geertruida,2562213,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,448,7289,676,228
724,247955,Lutsharel,Geertruida,2562215,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-273,6960,108,381
724,247955,Lutsharel,Geertruida,2562232,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,27,7225,214,187
724,247955,Lutsharel,Geertruida,2562244,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-166,6954,71,237
724,247955,Lutsharel,Geertruida,2562252,6,False,90,0,0,1,0,0,0,0,0,0,0,0,26,16.4,14.7,34.0,6.5,4,2,0,4,1,0.24,0.06,0.30,0.62,45,-182,6798,73,255
724,247955,Lutsharel,Geertruida,2562260,2,False,90,0,0,0,1,0,0,0,0,0,0,0,14,15.2,3.5,1.0,2.0,4,7,2,6,1,0.05,0.01,0.06,1.04,45,112,6973,197,85
724,247955,Lutsharel,Geertruida,2562272,1,False,90,0,0,0,1,0,0,0,1,0,0,0,1,5.0,1.4,0.0,0.6,1,2,1,2,1,0.00,0.03,0.03,0.89,45,101,7107,298,197
