element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
220,GKP,215059,Robert,Lynch Sánchez,2561902,8,False,90,0,0,1,0,0,0,0,0,0,4,1,31,24.4,0.0,0.0,2.4,1,8,0,0,1,0.00,0.00,0.00,0.66,50,0,2427422,0,0,8
220,GKP,215059,Robert,Lynch Sánchez,2561914,3,False,90,0,0,0,1,0,0,0,0,0,3,0,11,24.2,0.0,0.0,2.4,0,5,0,0,1,0.00,0.00,0.00,0.73,50,66432,2750249,156341,89909,8
220,GKP,215059,Robert,Lynch Sánchez,2561917,6,False,90,0,0,1,0,0,0,0,0,0,1,0,22,7.2,0.0,0.0,0.7,0,6,0,0,1,0.00,0.00,0.00,1.02,50,-27386,2786765,138162,165548,8
220,GKP,215059,Robert,Lynch Sánchez,2561927,2,False,90,0,0,0,2,0,0,0,0,0,3,0,7,23.6,0.0,0.0,2.4,2,8,0,0,1,0.00,0.00,0.00,1.43,50,-72819,2770602,140014,212833,8
220,GKP,215059,Robert,Lynch Sánchez,2561941,-3,False,4,0,0,0,2,0,0,0,0,1,1,0,-12,2.0,0.0,0.0,0.2,0,0,0,0,1,0.00,0.00,0.00,0.05,50,-184259,2611096,24236,208495,8
220,GKP,215059,Robert,Lynch Sánchez,2561947,1,False,90,0,0,0,3,0,0,0,0,0,0,0,2,10.0,20.0,0.0,3.0,0,12,0,0,1,0.00,0.00,0.00,2.28,49,-588224,2022975,15957,604181,8
220,GKP,215059,Robert,Lynch Sánchez,2561959,2,False,90,0,0,0,1,0,0,0,0,0,1,0,8,9.4,0.0,0.0,0.9,0,11,0,0,1,0.00,0.00,0.00,1.95,49,-220549,1825464,11248,231797,8
220,GKP,215059,Robert,Lynch Sánchez,2561971,5,False,90,0,0,1,0,0,0,0,1,0,2,0,24,22.4,0.0,0.0,2.2,1,10,0,0,1,0.00,0.01,0.01,2.35,49,-97566,1746883,36947,134513,8
220,GKP,215059,Robert,Lynch Sánchez,2561979,1,False,90,0,0,0,2,0,0,0,0,0,2,0,6,17.2,0.0,0.0,1.7,1,11,0,0,1,0.00,0.00,0.00,1.31,49,183,1756545,47431,47248,8
220,GKP,215059,Robert,Lynch Sánchez,2561993,6,False,90,0,0,1,0,0,0,0,0,0,1,0,25,12.8,0.0,0.0,1.3,1,12,0,0,1,0.00,0.00,0.00,0.10,48,-101068,1642938,12290,113358,8
220,GKP,215059,Robert,Lynch Sánchez,2561997,6,False,90,0,0,1,0,0,0,0,0,0,0,0,19,5.2,0.0,0.0,0.5,1,4,0,0,1,0.00,0.00,0.00,0.17,48,33695,1705143,62181,28486,8
220,GKP,215059,Robert,Lynch Sánchez,2562008,6,False,90,0,0,1,0,0,0,0,0,0,2,0,28,16.0,0.0,0.0,1.6,0,14,0,0,1,0.00,0.00,0.00,0.44,48,11248,1728002,48630,37382,8
220,GKP,215059,Robert,Lynch Sánchez,2562017,3,False,90,0,0,0,1,0,0,0,0,0,3,0,16,22.8,10.0,0.0,3.3,2,11,0,0,1,0.00,0.01,0.01,1.26,48,-38722,1622447,13768,52490,8
220,GKP,215059,Robert,Lynch Sánchez,2562030,1,False,90,0,0,0,3,0,0,0,0,0,2,0,3,21.2,0.0,0.0,2.1,2,5,0,0,1,0.00,0.00,0.00,2.79,48,60409,1746497,75464,15055,8
220,GKP,215059,Robert,Lynch Sánchez,2562035,10,False,90,0,0,1,0,0,0,0,0,0,5,3,35,40.8,0.0,0.0,4.1,1,5,0,0,1,0.00,0.00,0.00,1.42,48,-3439,1725027,40517,43956,8
220,GKP,215059,Robert,Lynch Sánchez,2562048,6,False,90,0,0,1,0,0,0,0,0,0,2,0,30,23.4,10.0,0.0,3.3,1,7,0,0,1,0.00,0.00,0.00,1.03,49,112270,1872983,160321,48051,8
220,GKP,215059,Robert,Lynch Sánchez,2562062,4,False,90,0,1,0,2,0,0,0,1,0,3,0,20,44.4,10.0,0.0,5.4,2,4,0,0,1,0.00,0.00,0.00,2.31,49,39838,1887223,79227,39389,8
220,GKP,215059,Robert,Lynch Sánchez,2562068,3,False,90,0,0,0,2,0,0,0,0,0,6,0,21,47.2,0.0,0.0,4.7,0,9,0,0,1,0.00,0.00,0.00,1.19,49,-12991,1847149,36557,49548,8
220,GKP,215059,Robert,Lynch Sánchez,2562078,2,False,90,0,0,0,2,0,0,0,0,0,4,0,14,39.4,0.0,0.0,3.9,2,11,0,0,1,0.00,0.00,0.00,3.14,49,10255,1916838,43877,33622,8
220,GKP,215059,Robert,Lynch Sánchez,2562091,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-62599,1837986,19155,81754,8
220,GKP,215059,Robert,Lynch Sánchez,2562101,2,False,90,0,0,0,2,0,0,0,0,0,3,0,9,20.4,0.0,0.0,2.0,2,10,0,0,1,0.00,0.00,0.00,1.20,49,-112183,1727603,19236,131419,8
220,GKP,215059,Robert,Lynch Sánchez,2562107,11,False,90,0,0,1,0,0,0,0,0,0,6,3,36,45.4,0.0,0.0,4.5,0,14,0,0,1,0.00,0.00,0.00,1.52,49,-28035,1708495,43787,71822,8
220,GKP,215059,Robert,Lynch Sánchez,2562119,3,False,90,0,0,0,1,0,0,0,0,0,5,0,23,46.8,0.0,0.0,4.7,0,10,0,0,1,0.00,0.00,0.00,1.77,49,58458,1773428,80201,21743,8
220,GKP,215059,Robert,Lynch Sánchez,2562127,2,False,90,0,0,0,2,0,0,0,0,0,4,0,17,33.4,0.0,0.0,3.3,0,12,0,0,1,0.00,0.01,0.01,1.12,49,128099,1908138,182686,54587,8
220,GKP,215059,Robert,Lynch Sánchez,2562144,2,False,90,0,0,0,1,0,0,0,0,0,2,0,16,22.2,0.0,0.0,2.2,0,11,0,0,1,0.00,0.00,0.00,1.06,49,53813,1968406,98814,45001,8
220,GKP,215059,Robert,Lynch Sánchez,2562147,1,False,90,0,0,0,2,0,0,0,0,0,0,0,4,5.4,0.0,0.0,0.5,0,7,0,0,1,0.00,0.01,0.01,1.44,49,-14178,1944852,45447,59625,8
220,GKP,215059,Robert,Lynch Sánchez,2562157,2,False,90,0,0,0,1,0,0,0,1,0,3,0,10,24.0,0.0,0.0,2.4,1,7,0,0,1,0.00,0.00,0.00,0.85,49,-11548,1941040,34450,45998,8
220,GKP,215059,Robert,Lynch Sánchez,2562166,2,False,90,0,0,0,2,0,0,0,0,0,3,0,10,7.2,0.0,0.0,0.7,2,10,2,0,1,0.00,0.00,0.00,1.13,49,-116364,1817901,3917,120281,8
220,GKP,215059,Robert,Lynch Sánchez,2562176,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-42537,1778087,5472,48009,8
