element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
585,202993,Rodrigo,Bentancur,2561900,1,False,19,0,0,0,0,0,0,0,0,0,0,0,5,4.8,0.8,0.0,0.6,1,1,1,3,0,0.00,0.00,0.00,0.04,55,0,15285,0,0
585,202993,Rodrigo,Bentancur,2561912,3,False,90,0,0,1,0,0,0,0,0,0,0,0,14,11.4,12.2,2.0,2.6,3,6,2,11,1,0.00,0.00,0.00,1.55,55,-3074,15783,810,3884
585,202993,Rodrigo,Bentancur,2561923,2,False,90,0,0,0,1,0,0,0,0,0,0,0,18,8.0,5.0,0.0,1.3,0,9,1,10,1,0.00,0.02,0.02,1.59,55,-368,17621,1956,2324
585,202993,Rodrigo,Bentancur,2561934,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-669,18277,1651,2320
585,202993,Rodrigo,Bentancur,2561937,2,False,60,0,0,0,2,0,0,0,0,0,0,0,15,10.0,27.3,8.0,4.5,1,5,1,7,1,0.00,0.31,0.31,0.90,54,-1766,17038,687,2453
585,202993,Rodrigo,Bentancur,2561954,2,False,61,0,0,0,1,0,0,0,0,0,0,0,10,12.8,3.5,9.0,2.5,3,5,3,11,1,0.06,0.03,0.09,1.00,54,-738,16815,795,1533
585,202993,Rodrigo,Bentancur,2561961,4,False,90,0,0,0,1,0,0,0,0,0,0,0,13,12.2,1.7,1.0,1.5,7,3,2,12,1,0.02,0.01,0.03,1.68,54,-396,16799,652,1048
585,202993,Rodrigo,Bentancur,2561973,12,False,85,1,0,0,2,0,0,0,0,0,0,3,36,55.2,12.6,19.0,8.7,6,3,3,12,1,0.12,0.01,0.13,0.19,53,12,17306,1182,1170
585,202993,Rodrigo,Bentancur,2561980,8,False,90,0,1,1,0,0,0,0,0,0,0,0,27,20.8,11.1,16.0,4.8,4,7,1,12,1,0.14,0.01,0.15,1.53,53,5497,23711,6413,916
585,202993,Rodrigo,Bentancur,2561993,0,False,59,0,0,0,1,0,0,0,1,0,0,0,5,3.4,3.6,2.0,0.9,1,6,2,9,1,0.00,0.01,0.01,2.26,53,22617,50607,25239,2622
585,202993,Rodrigo,Bentancur,2562003,1,False,11,0,0,0,1,0,0,0,0,0,0,0,6,6.0,0.6,0.0,0.7,1,1,1,3,0,0.00,0.00,0.00,0.10,53,-240,49220,6800,7040
585,202993,Rodrigo,Bentancur,2562006,1,False,65,0,0,0,3,0,0,0,1,0,0,0,0,1.8,1.8,0.0,0.4,3,2,0,5,1,0.00,0.00,0.00,1.12,53,-6008,43148,1510,7518
585,202993,Rodrigo,Bentancur,2562023,1,False,30,0,0,0,0,0,0,0,0,0,0,0,2,4.8,26.2,4.0,3.5,0,2,0,2,0,0.00,0.14,0.14,0.13,53,-4330,39051,526,4856
585,202993,Rodrigo,Bentancur,2562033,3,False,90,0,0,0,2,0,0,0,1,0,0,0,9,6.4,4.5,0.0,1.1,6,7,3,16,1,0.00,0.02,0.02,2.04,53,-3095,36345,211,3306
