element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
613,215439,Tomáš,Souček,2561899,1,False,19,0,0,0,2,0,0,0,0,0,0,0,4,4.2,1.3,19.0,2.5,1,0,0,1,0,0.07,0.00,0.07,0.08,60,0,96476,0,0
613,215439,Tomáš,Souček,2561914,2,False,69,0,0,0,5,0,0,0,0,0,0,0,8,6.0,0.7,22.0,2.9,1,4,1,6,1,0.09,0.00,0.09,2.43,59,-24023,74413,682,24705
613,215439,Tomáš,Souček,2561921,3,False,90,0,0,1,0,0,0,0,0,0,0,0,14,13.2,0.8,0.0,1.4,5,2,2,9,1,0.00,0.00,0.00,0.73,59,-13748,61716,781,14529
613,215439,Tomáš,Souček,2561934,-2,False,53,0,0,0,3,0,0,0,0,1,0,0,-2,14.6,0.9,17.0,3.3,9,1,1,11,1,0.01,0.00,0.01,0.42,58,-7462,55755,1228,8690
613,215439,Tomáš,Souček,2561943,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,-17367,38491,139,17506
613,215439,Tomáš,Souček,2561949,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,57,-8146,30616,26,8172
613,215439,Tomáš,Souček,2561956,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,57,-3466,27310,44,3510
613,215439,Tomáš,Souček,2561974,2,False,70,0,0,0,1,0,0,0,0,0,0,0,11,15.2,10.9,5.0,3.1,7,2,1,10,1,0.11,0.01,0.12,1.93,57,-1081,26567,486,1567
613,215439,Tomáš,Souček,2561981,2,False,64,0,0,0,2,0,0,0,0,0,0,0,10,5.2,3.9,7.0,1.6,2,1,0,3,1,0.24,0.01,0.25,1.49,57,-163,26577,700,863
613,215439,Tomáš,Souček,2561994,6,False,29,1,0,0,0,0,0,0,0,0,0,0,21,35.0,0.0,66.0,10.1,0,1,0,1,0,0.99,0.00,0.99,0.22,57,-845,25861,270,1115
613,215439,Tomáš,Souček,2562004,12,False,28,1,1,0,1,0,0,0,0,0,0,3,35,41.4,0.2,40.0,8.2,3,1,0,4,0,0.77,0.00,0.77,0.69,57,1137,27428,1816,679
613,215439,Tomáš,Souček,2562005,1,False,38,0,0,0,2,0,0,0,0,0,0,0,5,12.2,2.0,0.0,1.4,4,2,1,7,0,0.00,0.00,0.00,3.49,57,9258,38340,10537,1279
613,215439,Tomáš,Souček,2562024,1,False,2,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.34,57,-1539,36290,2570,4109
613,215439,Tomáš,Souček,2562032,2,False,82,0,0,0,1,0,0,0,0,0,0,0,9,19.0,2.2,4.0,2.5,6,1,2,9,1,0.00,0.01,0.01,1.18,57,-659,35479,1318,1977
613,215439,Tomáš,Souček,2562037,1,False,8,0,0,0,1,0,0,0,0,0,0,0,2,1.0,0.0,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,0.54,57,-632,35018,1372,2004
613,215439,Tomáš,Souček,2562054,1,False,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.09,57,-2643,32442,1025,3668
613,215439,Tomáš,Souček,2562061,1,False,12,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.4,0.0,0.1,0,1,0,1,0,0.00,0.00,0.00,0.51,57,-1503,31057,491,1994
613,215439,Tomáš,Souček,2562074,1,False,7,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.2,2.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.73,57,-567,30777,624,1191
613,215439,Tomáš,Souček,2562084,1,False,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.07,57,-447,30304,460,907
613,215439,Tomáš,Souček,2562094,1,False,45,0,0,0,0,0,0,0,0,0,0,0,8,9.0,5.7,6.0,2.1,2,2,2,6,0,0.00,0.03,0.03,0.27,57,237,30750,1046,809
613,215439,Tomáš,Souček,2562104,6,False,90,0,1,0,2,0,0,0,0,0,0,1,21,16.4,23.7,16.0,5.6,4,2,3,9,1,0.22,0.06,0.28,1.38,57,-561,30238,540,1101
613,215439,Tomáš,Souček,2562113,3,False,90,0,0,0,1,0,0,0,1,0,0,0,15,33.4,22.8,21.0,7.7,11,3,3,17,1,0.22,0.12,0.34,1.44,57,-496,29814,437,933
613,215439,Tomáš,Souček,2562124,2,False,90,0,0,0,1,0,0,0,0,0,0,0,19,16.2,14.8,2.0,3.3,4,4,2,10,1,0.00,0.09,0.09,0.67,57,1127,31116,1704,577
613,215439,Tomáš,Souček,2562127,2,False,90,0,0,0,3,0,0,0,0,0,0,0,4,3.4,1.1,8.0,1.3,2,5,1,8,1,0.00,0.01,0.01,2.70,57,-569,30556,787,1356
613,215439,Tomáš,Souček,2562138,3,False,90,0,0,1,0,0,0,0,0,0,0,0,14,11.4,12.3,2.0,2.6,3,3,1,7,1,0.00,0.01,0.01,1.34,57,838,31669,1741,903
613,215439,Tomáš,Souček,2562154,9,False,90,1,0,0,1,0,0,0,0,0,0,2,28,43.8,2.4,35.0,8.1,5,4,1,10,1,0.48,0.01,0.49,0.57,57,-781,30818,632,1413
613,215439,Tomáš,Souček,2562164,2,False,71,0,0,1,0,0,0,0,1,0,0,0,6,5.4,13.4,10.0,2.9,2,0,0,2,1,0.27,0.01,0.28,0.34,57,3909,35219,4783,874
613,215439,Tomáš,Souček,2562171,7,False,89,1,0,0,5,0,0,0,0,0,0,0,30,38.2,11.8,36.0,8.6,2,2,1,5,1,0.85,0.01,0.86,1.42,57,-734,34334,888,1622
613,215439,Tomáš,Souček,2562179,3,False,90,0,0,1,0,0,0,0,0,0,0,0,11,17.0,5.7,19.0,4.2,7,4,0,11,1,0.10,0.01,0.11,0.89,57,2242,36904,3172,930
