element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
40,DEF,149484,Tyrone,Mings,2561896,6,False,90,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,5,2,0,5,1,0.00,0.00,0.00,1.43,45,0,70548,0,0,7
40,DEF,149484,Tyrone,Mings,2561907,2,False,90,0,0,0,1,0,0,0,0,0,0,0,12,17.6,12.3,15.0,4.5,5,6,0,5,1,0.11,0.03,0.14,1.21,45,34577,149359,43991,9414,7
40,DEF,149484,Tyrone,Mings,2561915,1,False,90,0,0,0,3,0,0,0,0,0,0,0,1,14.4,2.1,0.0,1.7,3,2,1,4,1,0.00,0.02,0.02,2.67,45,-3181,152031,13403,16584,7
40,DEF,149484,Tyrone,Mings,2561930,9,False,90,0,0,1,0,0,0,0,0,0,0,1,30,36.0,1.3,8.0,4.5,12,3,1,13,1,0.22,0.01,0.23,2.08,45,-7621,148348,6698,14319,7
40,DEF,149484,Tyrone,Mings,2561942,4,False,90,0,0,0,1,0,0,0,0,0,0,0,16,34.4,24.4,2.0,6.1,12,2,0,12,1,0.00,0.03,0.03,1.05,45,29760,186379,37792,8032,7
40,DEF,149484,Tyrone,Mings,2561945,1,False,31,0,0,0,1,0,0,0,0,0,0,0,-1,2.8,0.4,0.0,0.3,1,1,0,1,1,0.00,0.00,0.00,0.28,45,4786,190331,16295,11509,7
40,DEF,149484,Tyrone,Mings,2561957,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-31074,158097,2198,33272,7
40,DEF,149484,Tyrone,Mings,2561973,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-31654,127332,118,31772,7
40,DEF,149484,Tyrone,Mings,2561977,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-10288,118198,501,10789,7
40,DEF,149484,Tyrone,Mings,2561989,1,False,16,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.4,0.0,0.2,1,0,0,1,0,0.00,0.00,0.00,0.06,44,-5072,113569,1112,6184,7
40,DEF,149484,Tyrone,Mings,2561995,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,-11441,102218,85,11526,7
40,DEF,149484,Tyrone,Mings,2562010,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,-9274,92931,39,9313,7
40,DEF,149484,Tyrone,Mings,2562015,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,-5258,87886,35,5293,7
40,DEF,149484,Tyrone,Mings,2562027,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-2986,85291,35,3021,7
40,DEF,149484,Tyrone,Mings,2562036,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-3433,81916,56,3489,7
40,DEF,149484,Tyrone,Mings,2562054,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-5707,76231,50,5757,7
40,DEF,149484,Tyrone,Mings,2562056,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-2458,73902,51,2509,7
40,DEF,149484,Tyrone,Mings,2562068,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-1779,72136,51,1830,7
40,DEF,149484,Tyrone,Mings,2562075,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-1185,71029,40,1225,7
40,DEF,149484,Tyrone,Mings,2562086,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-746,70366,36,782,7
40,DEF,149484,Tyrone,Mings,2562099,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-649,69745,28,677,7
40,DEF,149484,Tyrone,Mings,2562105,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-147,69716,525,672,7
40,DEF,149484,Tyrone,Mings,2562123,1,False,15,0,0,0,0,0,0,0,0,0,0,0,4,7.0,0.0,0.0,0.7,3,0,0,3,0,0.00,0.00,0.00,0.13,43,225,70081,593,368,7
40,DEF,149484,Tyrone,Mings,2562125,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,987,71293,1442,455,7
40,DEF,149484,Tyrone,Mings,2562135,2,False,90,0,0,0,1,0,0,0,0,0,0,0,12,19.2,1.0,10.0,3.0,8,1,0,8,1,0.09,0.01,0.10,2.06,43,587,72007,1184,597,7
40,DEF,149484,Tyrone,Mings,2562145,12,False,90,0,1,1,0,0,0,0,0,0,0,3,33,13.4,0.7,9.0,2.3,4,4,1,5,1,0.14,0.00,0.14,0.50,43,1098,73379,1658,560,7
40,DEF,149484,Tyrone,Mings,2562155,2,False,90,0,0,0,1,0,0,0,0,0,0,0,12,24.0,21.5,11.0,5.7,8,1,0,8,1,0.09,0.24,0.33,1.35,43,16170,90614,17445,1275,7
40,DEF,149484,Tyrone,Mings,2562174,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,740,91068,5096,4356,7
40,DEF,149484,Tyrone,Mings,2562176,0,False,90,0,0,0,4,0,0,0,0,0,0,0,0,14.8,1.9,0.0,1.7,3,3,1,4,1,0.00,0.02,0.02,3.60,43,-2356,88313,1478,3834,7
40,DEF,149484,Tyrone,Mings,2562191,3,False,90,0,0,0,3,0,0,0,0,0,0,0,0,16.2,1.2,6.0,2.3,11,4,0,11,1,0.36,0.01,0.37,1.10,43,-1225,87401,1853,3078,7
40,DEF,149484,Tyrone,Mings,2562196,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,2442,92605,3313,871,7
40,DEF,149484,Tyrone,Mings,2562212,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,-1577,88503,981,2558,7
40,DEF,149484,Tyrone,Mings,2562215,1,False,90,0,0,0,3,0,0,0,0,0,0,0,4,16.2,1.6,35.0,5.3,6,4,0,6,1,0.07,0.02,0.09,1.73,43,-3380,83757,285,3665,7
40,DEF,149484,Tyrone,Mings,2562229,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,43,225,85990,1262,1037,7
40,DEF,149484,Tyrone,Mings,2562237,1,False,90,0,0,0,2,0,0,0,0,0,0,0,3,4.2,1.8,7.0,1.3,2,6,0,2,1,0.22,0.01,0.23,0.99,43,-1405,84183,341,1746,7
