element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
373,DEF,97032,Virgil,van Dijk,2561895,3,False,90,0,0,0,2,0,0,0,0,0,0,0,11,49.4,0.9,25.0,7.5,20,4,1,21,1,0.18,0.01,0.19,1.70,60,0,2230654,0,0,14
373,DEF,97032,Virgil,van Dijk,2561913,3,False,90,0,0,0,2,0,0,0,0,0,0,0,10,38.6,0.3,0.0,3.9,15,1,0,15,1,0.00,0.00,0.00,0.93,60,-10208,2591224,131727,141935,14
373,DEF,97032,Virgil,van Dijk,2561919,8,False,90,0,0,1,0,0,0,0,0,0,0,2,29,31.2,3.7,2.0,3.7,8,2,0,8,1,0.00,0.02,0.02,0.49,60,-16090,2734452,154150,170240,14
373,DEF,97032,Virgil,van Dijk,2561928,8,False,90,0,0,1,0,0,0,0,0,0,0,2,27,24.8,16.3,0.0,4.1,5,1,1,6,1,0.00,0.06,0.06,0.13,60,319318,3276265,450389,131071,14
373,DEF,97032,Virgil,van Dijk,2561940,4,False,90,0,0,0,1,0,0,0,0,0,0,0,14,22.6,1.2,2.0,2.6,10,3,0,10,1,0.00,0.01,0.01,0.70,61,181846,3521578,246827,64981,14
373,DEF,97032,Virgil,van Dijk,2561948,2,False,90,0,0,0,2,0,0,0,1,0,0,0,9,34.2,3.1,0.0,3.7,11,2,1,12,1,0.00,0.02,0.02,2.92,61,8497,3565642,179374,170877,14
373,DEF,97032,Virgil,van Dijk,2561959,1,False,90,0,0,0,2,0,0,0,0,0,0,0,8,19.0,0.9,0.0,2.0,7,3,0,7,1,0.00,0.00,0.00,1.00,61,-136261,3461419,82612,218873,14
373,DEF,97032,Virgil,van Dijk,2561969,3,False,90,0,0,0,2,0,0,0,0,0,0,0,11,36.4,3.0,23.0,6.2,14,2,1,15,1,0.23,0.02,0.25,1.34,61,-204409,3305713,50819,255228,14
373,DEF,97032,Virgil,van Dijk,2561978,3,False,90,0,0,0,3,0,0,0,0,0,0,0,7,29.4,13.6,8.0,5.1,14,3,2,16,1,0.00,0.03,0.03,2.75,60,-129944,3199414,39311,169255,14
373,DEF,97032,Virgil,van Dijk,2561989,5,False,90,0,0,1,0,0,0,0,1,0,0,0,23,22.6,1.8,0.0,2.4,5,4,1,6,1,0.00,0.02,0.02,0.41,60,-254704,2951374,22934,277638,14
