element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
27,MID,200641,Reiss,Nelson,2561903,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,12084,0,0,94
27,MID,200641,Reiss,Nelson,2561906,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1447,14436,1473,2920,94
27,MID,200641,Reiss,Nelson,2561919,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1896,14088,1028,2924,94
27,MID,200641,Reiss,Nelson,2561927,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,49,14826,2101,2052,94
27,MID,200641,Reiss,Nelson,2561939,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-208,14922,962,1170,94
27,MID,200641,Reiss,Nelson,2561946,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-870,14190,589,1459,94
27,MID,200641,Reiss,Nelson,2561958,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-980,13279,178,1158,94
27,MID,200641,Reiss,Nelson,2561974,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-289,13261,481,770,94
27,MID,200641,Reiss,Nelson,2561978,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-167,13198,271,438,94
27,MID,200641,Reiss,Nelson,2561987,1,False,15,0,0,0,0,0,0,0,0,0,0,0,7,4.8,1.6,9.0,1.5,0,3,0,3,0,0.06,0.03,0.09,0.04,48,-153,13143,309,462,94
27,MID,200641,Reiss,Nelson,2561996,1,False,1,0,0,0,0,0,0,0,0,0,0,0,5,4.2,0.6,0.0,0.5,0,1,2,3,0,0.00,0.02,0.02,0.00,48,-119,13121,246,365,94
27,MID,200641,Reiss,Nelson,2562007,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-81,13139,245,326,94
27,MID,200641,Reiss,Nelson,2562016,1,False,15,0,0,0,1,0,0,0,0,0,0,0,3,7.2,0.2,0.0,0.7,2,2,0,4,0,0.00,0.00,0.00,0.80,48,-126,13053,184,310,94
27,MID,200641,Reiss,Nelson,2562026,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-408,12663,24,432,94
27,MID,200641,Reiss,Nelson,2562043,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-93,12649,190,283,94
27,MID,200641,Reiss,Nelson,2562046,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-425,12246,178,603,94
27,MID,200641,Reiss,Nelson,2562064,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-377,11882,43,420,94
27,MID,200641,Reiss,Nelson,2562066,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,3.0,0.3,1,1,0,2,0,0.11,0.00,0.11,0.08,48,-29,11950,222,251,94
27,MID,200641,Reiss,Nelson,2562076,1,False,10,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1.1,0.0,0.1,0,2,0,2,0,0.00,0.00,0.00,0.19,48,33,12029,170,137,94
27,MID,200641,Reiss,Nelson,2562088,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,96,12122,229,133,94
27,MID,200641,Reiss,Nelson,2562097,1,False,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,4.0,0.3,0,3,0,3,0,0.44,0.02,0.46,0.10,48,51,12212,235,184,94
27,MID,200641,Reiss,Nelson,2562107,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,57,12336,256,199,94
27,MID,200641,Reiss,Nelson,2562117,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-2,12352,149,151,94
27,MID,200641,Reiss,Nelson,2562125,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-48,12332,152,200,94
27,MID,200641,Reiss,Nelson,2562143,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-49,12309,141,190,94
27,MID,200641,Reiss,Nelson,2562146,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-169,12167,126,295,94
27,MID,200641,Reiss,Nelson,2562156,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,24,12219,139,115,94
27,MID,200641,Reiss,Nelson,2562168,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,18,12279,112,94,94
27,MID,200641,Reiss,Nelson,2562175,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-103,12188,48,151,94
27,MID,200641,Reiss,Nelson,2562186,1,False,5,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.0,4.0,0.2,0,1,0,1,0,0.07,0.00,0.07,0.06,48,-197,11993,9,206,94
27,MID,200641,Reiss,Nelson,2562200,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-34,11972,28,62,94
27,MID,200641,Reiss,Nelson,2562206,1,False,45,0,0,0,1,0,0,0,0,0,0,0,5,5.6,13.8,5.0,2.4,0,3,1,4,0,0.03,0.02,0.05,0.74,48,35,12033,85,50,94
27,MID,200641,Reiss,Nelson,2562216,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,7,12064,72,65,94
27,MID,200641,Reiss,Nelson,2562231,4,False,17,0,1,0,0,0,0,0,0,0,0,0,13,20.4,14.3,4.0,3.9,0,0,1,1,0,0.00,0.02,0.02,0.02,48,16,12148,72,56,94
27,MID,200641,Reiss,Nelson,2562238,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,131,12265,192,61,94
27,MID,200641,Reiss,Nelson,2562250,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,24,12289,108,84,94
27,MID,200641,Reiss,Nelson,2562258,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,14,12309,79,65,94
27,MID,200641,Reiss,Nelson,2562269,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.5,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.99,48,27,12347,111,84,94
83,MID,533463,Dango,Ouattara,2561895,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,8768,0,0,94
83,MID,533463,Dango,Ouattara,2561907,13,False,83,1,0,1,0,0,0,0,0,0,0,3,33,50.4,3.7,56.0,11.0,5,6,4,15,1,0.77,0.02,0.79,1.10,60,-1755,7498,1041,2796,94
83,MID,533463,Dango,Ouattara,2561922,2,False,90,0,0,0,2,0,0,0,0,0,0,0,6,7.2,0.7,19.0,2.7,4,3,0,7,1,0.08,0.00,0.08,1.54,60,100898,167945,121225,20327,94
83,MID,533463,Dango,Ouattara,2561927,1,False,17,0,0,0,1,0,0,0,0,0,0,0,2,1.0,0.4,4.0,0.5,0,1,0,1,0,0.00,0.00,0.00,0.49,60,-13673,107177,26664,40337,94
83,MID,533463,Dango,Ouattara,2561939,1,False,25,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0.3,11.0,0.9,0,0,0,0,0,0.12,0.00,0.12,0.00,60,-9340,102067,11860,21200,94
83,MID,533463,Dango,Ouattara,2561946,2,False,74,0,0,0,1,0,0,0,0,0,0,0,6,3.6,11.1,27.0,4.2,2,1,0,3,1,0.42,0.26,0.68,1.02,60,-27218,73897,4719,31937,94
83,MID,533463,Dango,Ouattara,2561958,0,False,22,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.0,2.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,-13438,61811,1934,15372,94
83,MID,533463,Dango,Ouattara,2561974,3,False,75,0,0,1,0,0,0,0,0,0,0,0,8,8.0,32.7,33.0,7.4,1,6,0,7,1,0.46,0.07,0.53,0.29,60,-8721,54123,3094,11815,94
83,MID,533463,Dango,Ouattara,2561978,11,False,90,1,1,0,2,0,0,0,0,0,0,1,25,29.8,3.5,83.0,11.6,3,5,0,8,1,0.67,0.02,0.69,1.92,60,-5786,48552,1724,7510,94
83,MID,533463,Dango,Ouattara,2561987,2,False,74,0,0,0,2,0,0,0,0,0,0,0,10,5.6,4.5,4.0,1.4,4,2,0,6,1,0.06,0.01,0.07,0.65,60,15694,66138,20060,4366,94
83,MID,533463,Dango,Ouattara,2561996,4,False,90,0,1,0,1,0,0,0,1,0,0,0,13,3.0,3.3,11.0,1.7,2,2,1,5,1,0.05,0.01,0.06,0.42,60,-2154,63657,6620,8774,94
83,MID,533463,Dango,Ouattara,2562007,5,False,64,0,1,1,0,0,0,0,1,0,0,0,15,3.4,0.9,6.0,1.0,4,5,1,10,1,0.00,0.01,0.01,0.49,60,17222,84282,22755,5533,94
83,MID,533463,Dango,Ouattara,2562016,12,False,90,1,1,0,1,0,0,0,0,0,0,2,38,42.8,27.3,36.0,10.6,2,1,1,4,1,0.77,0.23,1.00,0.95,60,19822,148412,25649,5827,94
83,MID,533463,Dango,Ouattara,2562026,2,False,90,0,0,0,2,0,0,0,0,0,0,0,6,9.8,0.9,7.0,1.8,5,3,1,9,1,0.02,0.01,0.03,1.77,60,14001,115700,25746,11745,94
83,MID,533463,Dango,Ouattara,2562043,4,False,87,0,0,0,2,0,0,0,0,0,0,0,15,16.2,4.8,0.0,2.1,6,5,2,13,1,0.00,0.01,0.01,2.16,60,18843,134975,30425,11582,94
83,MID,533463,Dango,Ouattara,2562046,2,False,90,0,0,0,1,0,0,0,0,0,0,0,2,2.8,2.4,10.0,1.5,2,6,1,9,1,0.14,0.01,0.15,1.52,61,117051,296572,143298,26247,94
