element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
42,MID,485337,Evann,Guessand,2645197,1,False,27,0,0,0,0,0,0,0,0,0,0,0,3,3.2,1.8,7.0,1.2,0,0,1,1,0,0.03,0.02,0.05,0.14,55,0,3238,0,0,31
42,MID,485337,Evann,Guessand,2645209,1,False,27,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.3,0.0,0.3,1,0,0,1,0,0.00,0.01,0.01,0.20,55,-140,4594,483,623,31
153,DEF,220362,Axel,Disasi,2645204,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,5243,0,0,31
153,DEF,220362,Axel,Disasi,2645209,1,False,16,0,0,0,1,0,0,0,0,0,0,0,-2,1.2,0.0,0.0,0.1,0,1,1,1,0,0.00,0.00,0.00,0.20,45,-323,6037,525,848,31
198,GKP,172649,Dean,Henderson,2645197,2,False,90,0,0,0,2,0,0,0,0,0,3,0,14,28.2,0.0,0.0,2.8,3,13,0,0,1,0.00,0.00,0.00,1.12,50,0,171144,0,0,31
198,GKP,172649,Dean,Henderson,2645209,1,False,90,0,0,0,4,0,0,0,0,0,4,0,4,30.2,0.0,0.0,3.0,2,11,0,0,1,0.00,0.00,0.00,2.21,50,-7870,182716,5904,13774,31
199,GKP,121709,Walter,Benítez,2645197,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,10987,0,0,31
199,GKP,121709,Walter,Benítez,2645209,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-908,11403,468,1376,31
202,DEF,427623,Chris,Richards,2645197,3,False,90,0,0,0,2,0,0,0,0,0,0,0,13,42.6,0.7,0.0,4.3,14,1,2,16,1,0.00,0.00,0.00,1.12,50,0,66477,0,0,31
202,DEF,427623,Chris,Richards,2645209,0,False,90,0,0,0,4,0,0,0,0,0,0,0,-4,15.0,0.1,17.0,3.2,4,2,2,6,1,0.04,0.00,0.04,2.21,50,-2246,71981,4208,6454,31
