element,position,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team_code
168,MID,536916,Facundo,Buonanotte,2561897,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,20776,0,0,2
168,MID,536916,Facundo,Buonanotte,2561910,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-3953,17962,224,4177,2
168,MID,536916,Facundo,Buonanotte,2561916,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-2545,16118,1387,3932,2
168,MID,536916,Facundo,Buonanotte,2561927,1,False,45,0,0,0,1,0,0,0,0,0,0,0,4,5.6,25.1,8.0,3.9,0,2,1,3,1,0.00,0.09,0.09,0.55,49,-2532,14047,750,3282,2
168,MID,536916,Facundo,Buonanotte,2561941,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,209,14872,2459,2250,2
168,MID,536916,Facundo,Buonanotte,2561947,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-1757,13111,961,2718,2
168,MID,536916,Facundo,Buonanotte,2561959,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-395,12964,829,1224,2
168,MID,536916,Facundo,Buonanotte,2561971,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-671,12524,705,1376,2
168,MID,536916,Facundo,Buonanotte,2561979,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-746,11842,225,971,2
168,MID,536916,Facundo,Buonanotte,2561993,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,47,-682,11268,191,873,2
168,MID,536916,Facundo,Buonanotte,2561997,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,47,-447,10913,219,666,2
168,MID,536916,Facundo,Buonanotte,2562008,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,47,-345,10715,220,565,2
168,MID,536916,Facundo,Buonanotte,2562017,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,47,-379,10382,82,461,2
168,MID,536916,Facundo,Buonanotte,2562030,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-80,10382,163,243,2
168,MID,536916,Facundo,Buonanotte,2562035,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,120,10580,450,330,2
168,MID,536916,Facundo,Buonanotte,2562048,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-457,10133,287,744,2
168,MID,536916,Facundo,Buonanotte,2562062,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,15,10259,433,418,2
168,MID,536916,Facundo,Buonanotte,2562068,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,147,10663,586,439,2
168,MID,536916,Facundo,Buonanotte,2562078,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-31,10583,319,350,2
168,MID,536916,Facundo,Buonanotte,2562091,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,80,10645,335,255,2
168,MID,536916,Facundo,Buonanotte,2562101,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-63,10593,235,298,2
168,MID,536916,Facundo,Buonanotte,2562108,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,690,11365,1119,429,2
168,MID,536916,Facundo,Buonanotte,2562120,0,False,5,0,0,0,0,0,0,0,1,0,0,0,0,0.4,0.3,5.0,0.6,1,1,0,2,0,0.04,0.01,0.05,0.00,46,429,11821,798,369,2
168,MID,536916,Facundo,Buonanotte,2562128,1,False,19,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.3,6.0,0.5,0,0,0,0,0,0.00,0.00,0.00,1.31,46,147,12047,655,508,2
168,MID,536916,Facundo,Buonanotte,2562140,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,221,12298,694,473,2
168,MID,536916,Facundo,Buonanotte,2562147,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,134,12454,682,548,2
168,MID,536916,Facundo,Buonanotte,2562155,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-33,12451,483,516,2
168,MID,536916,Facundo,Buonanotte,2562170,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-120,12343,244,364,2
168,MID,536916,Facundo,Buonanotte,2562180,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-108,12254,263,371,2
168,MID,536916,Facundo,Buonanotte,2562189,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-60,12242,296,356,2
168,MID,536916,Facundo,Buonanotte,2562200,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-137,11982,129,266,2
168,MID,536916,Facundo,Buonanotte,2562211,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,-55,12127,257,312,2
168,MID,536916,Facundo,Buonanotte,2562220,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,46,77,12260,361,284,2
