season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436877,1,7,Aston_Villa,Away,96538,101188,Lucas Digne,lucas-digne,D,False,1.0,,2.0,14.0,14.0,27.0,2.0,3.0,3.0,1.0,,,1.0,,,3.0,5.0,,,0.13446,,,,0.0,,,,,1.0,1.0,,74.0,,1.0,,,,,,15.0,,7.2,,,,,1.0,,5.0,,3.0,,20.0,18.0,33.0,0,2.0,54.0,2.0,1.0,,
2024-25,12436877,1,7,Aston_Villa,Away,604232,165659,Diego Carlos,diego-carlos,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436877,1,7,Aston_Villa,Away,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,1.0,12.0,29.0,41.0,,2.0,1.0,,,,,,,,4.0,,,0.00700665,0.0733,,,0.0,,,,,1.0,1.0,,90.0,,,,,,,,5.0,,7.1,,,1.0,,2.0,,,,4.0,,15.0,30.0,45.0,1,1.0,55.0,1.0,1.0,,
2024-25,12436877,1,7,Aston_Villa,Away,833956,199796,Matty Cash,matty-cash,D,False,,,1.0,14.0,15.0,29.0,1.0,1.0,2.0,1.0,,,2.0,,,6.0,5.0,,,0.0110165,,,3.0,0.0,,,,,1.0,1.0,,82.0,,,1.0,,,,,10.0,,6.8,,,,,4.0,,1.0,,1.0,,20.0,15.0,34.0,0,3.0,57.0,,1.0,,1.0
2024-25,12436877,1,7,Aston_Villa,Away,864169,244954,Pau Torres,pau-torres,D,False,,,,18.0,29.0,47.0,,,1.0,,,,,,,,5.0,,,0.00992763,,,,0.0,,,,,,,,90.0,,2.0,,,,,,11.0,,7.3,,,,,3.0,1.0,1.0,,6.0,,25.0,32.0,56.0,0,4.0,70.0,1.0,,1.0,4.0
2024-25,12436877,1,7,Aston_Villa,Away,976263,441302,Ian Maatsen,ian-maatsen,D,True,,,1.0,3.0,2.0,5.0,,,2.0,,,,,,,,3.0,,,0.0391495,,,,0.0,,,,,,1.0,,16.0,,,,,,,,2.0,,7.1,,,,,,,,,1.0,1.0,3.0,4.0,7.0,0,3.0,12.0,,,,2.0
2024-25,12436877,1,7,Aston_Villa,Away,1152923,,Kosta Nedeljković,kosta-nedeljkovic,D,True,,,,3.0,2.0,5.0,1.0,,1.0,,,,,,,1.0,1.0,,,0.00077045,,,,0.0,,,,,,,,8.0,,,,,,,,2.0,,6.8,,,,,2.0,,,,,,4.0,2.0,6.0,0,1.0,12.0,1.0,,,1.0
2024-25,12436886,2,7,Aston_Villa,Home,96538,101188,Lucas Digne,lucas-digne,D,False,,,3.0,7.0,10.0,17.0,,1.0,3.0,,,,1.0,,,3.0,5.0,,,0.0292475,,,1.0,0.0,,,,,2.0,,,76.0,,,,,,,,8.0,,6.9,,,,,5.0,1.0,1.0,,6.0,,8.0,14.0,21.0,0,4.0,39.0,,,,3.0
2024-25,12436886,2,7,Aston_Villa,Home,604232,165659,Diego Carlos,diego-carlos,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436886,2,7,Aston_Villa,Home,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,,14.0,30.0,44.0,,1.0,2.0,,,,1.0,,,1.0,5.0,,,0.0070652,,,,0.0,,,,,1.0,,,90.0,,,,,,,,4.0,,6.7,,,,,1.0,,,,,,16.0,31.0,47.0,0,2.0,57.0,1.0,2.0,,1.0
