season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385483,1,7,Aston_Villa,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,25.0,10.0,35.0,,2.0,5.0,,,1.0,2.0,,,,5.0,4.0,,,0.0517167,0.1087,0.0,1.0,,,,,,1.0,1.0,81.0,,,,,,,,,18.0,,6.8,,,1.0,,,4.0,3.0,,1.0,1.0,37.0,11.0,45.0,2,,60.0,3.0,,2.0,
2022-23,10385483,1,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,False,,,4.0,33.0,13.0,46.0,,1.0,8.0,,,2.0,3.0,,,,4.0,8.0,,,0.0382418,0.0782,0.0,,,,,,,1.0,,90.0,,,,,,,,,17.0,,6.8,,,1.0,,,3.0,3.0,,7.0,,45.0,13.0,55.0,3,2.0,75.0,4.0,3.0,2.0,2.0
2022-23,10385483,1,7,Aston_Villa,Away,783126,195546,Emiliano Buendía,emiliano-buendia,M,True,,,2.0,24.0,3.0,27.0,,,1.0,,,,1.0,,,2.0,3.0,2.0,,,0.0851557,0.0,0.0,,,,,,,,1.0,45.0,,,,,,,,,6.0,,6.5,,,,,,,,,2.0,,27.0,3.0,30.0,0,,35.0,1.0,2.0,,
2022-23,10385483,1,7,Aston_Villa,Away,808590,215711,Leon Bailey,leon-bailey,M,False,3.0,,2.0,20.0,5.0,22.0,4.0,1.0,3.0,,,1.0,1.0,,,2.0,11.0,5.0,,,0.246459,0.0194,0.0,,,,,,,,1.0,90.0,,,,,,,,,20.0,,6.8,,,,,,6.0,9.0,,3.0,1.0,32.0,5.0,28.0,1,1.0,56.0,2.0,1.0,2.0,1.0
2022-23,10385483,1,7,Aston_Villa,Away,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,5.0,31.0,30.0,61.0,1.0,3.0,10.0,,,,2.0,,,1.0,10.0,7.0,,,0.0751237,0.0253,0.0,5.0,,,,,,,,82.0,,1.0,,,,,,,14.0,,6.8,,,1.0,,,2.0,,,6.0,,40.0,32.0,72.0,1,1.0,85.0,1.0,2.0,1.0,1.0
2022-23,10385483,1,7,Aston_Villa,Away,867887,230046,Douglas Luiz,douglas-luiz,M,True,,,4.0,12.0,3.0,15.0,,,,,,1.0,,,,,1.0,,,,0.0155532,0.0264,0.0,1.0,,,,,,,,8.0,,,,,,,,,,,6.6,,,,,,,,,4.0,,12.0,3.0,15.0,1,,17.0,,,,
2022-23,10385483,1,7,Aston_Villa,Away,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,3.0,18.0,11.0,29.0,1.0,,7.0,,,,,,,2.0,6.0,6.0,,,0.0713593,0.0862,0.3004,3.0,,,,,,,2.0,45.0,1.0,,,,,,,,6.0,,7.1,,,1.0,,,1.0,,,4.0,,21.0,11.0,32.0,2,3.0,45.0,,2.0,1.0,3.0
2022-23,10385503,2,7,Aston_Villa,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,1.0,20.0,10.0,30.0,3.0,,6.0,,,,,,,1.0,5.0,1.0,,,0.0116672,0.0,0.0,1.0,,,,,,,,60.0,,,,,,,,,11.0,,6.4,,,,,,,,,2.0,,25.0,12.0,37.0,0,1.0,46.0,2.0,,,1.0
2022-23,10385503,2,7,Aston_Villa,Home,250223,122806,John McGinn,john-mcginn,M,False,2.0,,3.0,31.0,12.0,41.0,,1.0,9.0,1.0,,1.0,,,,,1.0,11.0,,,0.188217,0.0571,0.0,2.0,,,,,,2.0,2.0,90.0,,1.0,,,,,,,10.0,,8.1,,,1.0,,,2.0,5.0,,5.0,,40.0,12.0,47.0,2,4.0,73.0,,4.0,2.0,1.0
2022-23,10385503,2,7,Aston_Villa,Home,783126,195546,Emiliano Buendía,emiliano-buendia,M,True,,,2.0,18.0,3.0,21.0,,,2.0,,,,,,,1.0,1.0,1.0,,,0.0893998,1.1392,0.9956,,,1.0,,,,,3.0,30.0,2.0,,,,,,,,7.0,,7.8,,,,,,,1.0,,2.0,,22.0,4.0,25.0,2,1.0,31.0,1.0,,,
2022-23,10385503,2,7,Aston_Villa,Home,808590,215711,Leon Bailey,leon-bailey,M,True,,,,2.0,1.0,3.0,,,,1.0,,,,,,,1.0,,,,0.0477871,0.0,0.0,,,,,,,,1.0,12.0,,,,,,,,,1.0,,6.7,,,,,,1.0,,,,1.0,2.0,1.0,3.0,0,,4.0,,,,
2022-23,10385503,2,7,Aston_Villa,Home,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,5.0,32.0,30.0,62.0,,2.0,9.0,,,,4.0,,,,5.0,5.0,,,0.0215242,0.0,0.0,,,,,,,2.0,,90.0,,2.0,,,,,,,16.0,,7.0,,,,,2.0,2.0,,,9.0,,42.0,34.0,76.0,0,2.0,90.0,1.0,,1.0,2.0
2022-23,10385503,2,7,Aston_Villa,Home,867887,230046,Douglas Luiz,douglas-luiz,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,7,Aston_Villa,Home,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,,43.0,16.0,59.0,2.0,1.0,4.0,,,,,,,2.0,7.0,5.0,,,0.0491204,0.0,0.0,1.0,,,,,,3.0,1.0,89.0,,,,,,,,,12.0,,6.6,,,,,1.0,4.0,,,1.0,,46.0,16.0,62.0,0,1.0,84.0,4.0,1.0,2.0,1.0
2022-23,10385520,3,7,Aston_Villa,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,,6.0,2.0,8.0,,1.0,1.0,,,1.0,1.0,,,,2.0,3.0,,,0.0048983,0.1193,0.547,1.0,,,,,,,,17.0,2.0,,,,,,,,1.0,,6.9,,,,,,1.0,1.0,,,,7.0,2.0,8.0,3,,15.0,,1.0,1.0,
2022-23,10385520,3,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,False,,,3.0,8.0,12.0,20.0,,1.0,6.0,,,,,,,2.0,5.0,4.0,,,0.0049262,0.0,0.0,3.0,,,,,,,,73.0,,,,,,,,,14.0,,6.3,,,,,,,,,5.0,,13.0,15.0,28.0,0,3.0,40.0,4.0,,,3.0
2022-23,10385520,3,7,Aston_Villa,Away,556904,184704,Marvelous Nakamba,marvelous-nakamba,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385520,3,7,Aston_Villa,Away,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,2.0,10.0,12.0,22.0,,,4.0,,,,1.0,,,2.0,4.0,5.0,,,0.0287548,0.205,0.0534,1.0,,,,,,,,73.0,1.0,,,,,,,,6.0,,6.9,,,,,,1.0,,,3.0,,14.0,12.0,26.0,1,3.0,37.0,,1.0,1.0,
2022-23,10385520,3,7,Aston_Villa,Away,808590,215711,Leon Bailey,leon-bailey,M,False,,,,6.0,3.0,9.0,2.0,1.0,1.0,1.0,,,1.0,,,2.0,8.0,2.0,,,0.031426,0.0868,0.0,2.0,1.0,,,,1.0,,2.0,66.0,,,,,,,,,15.0,,7.0,,,1.0,,1.0,2.0,3.0,,1.0,,13.0,5.0,15.0,1,,30.0,3.0,,1.0,
