playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,offsides,substituteOn,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,throwInsToOwnPlayer,substituteOff,handballsConceded,goalAssists,successfulLayoffs,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesConceded,successfulCornersIntoBox,lastPlayerTackle,attemptsFromSetPieces,unsuccessfulCornersIntoBox,goals,awayGoals,ownGoalScored,homeGoals,rightFootGoals,headedGoals,clearancesOffTheLine,foulWonPenalty,redCards2ndYellow,hitWoodwork,leftFootGoals,penaltiesTaken,penaltyGoals
1930,Luke Young,Defender,Queens Park Rangers,52,England,2009-10,61.0,0.0,,,81.0,16.0,14.0,125.0,475.0,,,38.0,7.0,,1288.0,20.0,76.0,1.0,58.0,331.0,,2.0,6.0,10.0,65.0,15.0,41.0,,6.0,0.0,137.0,,53.0,16.0,,175.0,14.0,99.0,18.0,0.0,,466.0,199.0,,,19.0,855.0,43.0,182.0,,4.0,44.0,34.0,7.0,1.0,2.0,48.0,3.0,2.0,12.0,1.0,2.0,7.0,7.0,20.0,10.0,1.0,12.0,9.0,1.0,3.0,38.0,4.0,8.0,19.0,31.0,131.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13310,Stephen Warnock,Defender,Burton Albion,587,England,2009-10,108.0,0.0,,,234.0,31.0,31.0,320.0,1248.0,,,74.0,10.0,,2686.0,36.0,147.0,3.0,109.0,846.0,,6.0,24.0,21.0,128.0,34.0,72.0,,25.0,0.0,255.0,,120.0,31.0,,531.0,31.0,181.0,38.0,0.0,,1201.0,547.0,,,82.0,2102.0,58.0,425.0,,3.0,86.0,88.0,20.0,1.0,1.0,79.0,9.0,2.0,48.0,1.0,,28.0,13.0,87.0,17.0,3.0,60.0,16.0,8.0,12.0,62.0,5.0,14.0,23.0,69.0,274.0,4.0,,3.0,8.0,19.0,1.0,1.0,8.0,1.0,1.0,9.0,,,,,,,,,,,,,
1764,Richard Dunne,Defender,Queens Park Rangers,52,Ireland,2009-10,116.0,0.0,,,203.0,37.0,37.0,297.0,1196.0,,,200.0,16.0,,3312.0,50.0,257.0,3.0,107.0,774.0,,6.0,8.0,43.0,390.0,36.0,66.0,,13.0,2.0,373.0,,153.0,37.0,,252.0,33.0,173.0,150.0,0.0,,1148.0,513.0,,,125.0,1934.0,89.0,647.0,,7.0,94.0,89.0,,4.0,5.0,87.0,18.0,1.0,1.0,,,,58.0,,20.0,4.0,1.0,11.0,13.0,2.0,67.0,7.0,50.0,41.0,83.0,5.0,1.0,2.0,,4.0,,2.0,2.0,,3.0,,,3.0,0.0,1.0,3.0,1.0,2.0,1.0,,,,,,
8380,James Collins,Defender,Ipswich Town,40,Wales,2009-10,129.0,0.0,,,165.0,30.0,29.0,268.0,966.0,,,195.0,12.0,,2637.0,80.0,171.0,1.0,56.0,617.0,,6.0,7.0,26.0,308.0,31.0,49.0,,13.0,2.0,300.0,,88.0,30.0,,221.0,30.0,105.0,115.0,0.0,,922.0,423.0,,,81.0,1523.0,71.0,479.0,,3.0,103.0,72.0,2.0,3.0,10.0,40.0,29.0,1.0,,,1.0,2.0,40.0,,11.0,,,4.0,19.0,6.0,29.0,3.0,52.0,31.0,65.0,2.0,,2.0,,,,2.0,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,,,,
58845,Ciaran Clark,Defender,Stoke City,110,Ireland,2009-10,4.0,0.0,,,3.0,1.0,1.0,5.0,33.0,,,5.0,1.0,,90.0,3.0,6.0,,4.0,27.0,,,,,7.0,,1.0,,1.0,0.0,10.0,,2.0,1.0,,3.0,,5.0,2.0,0.0,,33.0,9.0,,,1.0,51.0,2.0,25.0,,0.0,2.0,1.0,,,,3.0,1.0,,,,,,1.0,,1.0,,,,1.0,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
19115,Curtis Davies,Defender,Cheltenham Town,87,Sierra Leone,2009-10,6.0,0.0,,,11.0,2.0,2.0,15.0,37.0,,,6.0,,,180.0,4.0,8.0,1.0,6.0,22.0,,,,1.0,22.0,3.0,2.0,,1.0,2.0,14.0,,3.0,2.0,,5.0,2.0,8.0,2.0,0.0,,37.0,27.0,,,,76.0,2.0,17.0,,0.0,4.0,3.0,,,2.0,4.0,2.0,,,,,,3.0,,,,,,,,4.0,1.0,2.0,1.0,4.0,,,,,,,,,,1.0,,,1.0,1.0,,0.0,,1.0,,,,,,,
5750,Nicky Shorey,Defender,Colchester United,99,England,2009-10,21.0,0.0,,,98.0,12.0,12.0,122.0,500.0,,,12.0,5.0,,1080.0,9.0,40.0,1.0,37.0,345.0,,2.0,8.0,6.0,31.0,15.0,12.0,,3.0,0.0,61.0,,65.0,12.0,,182.0,14.0,49.0,3.0,0.0,,483.0,207.0,,,33.0,812.0,23.0,208.0,,1.0,24.0,36.0,9.0,2.0,1.0,27.0,2.0,1.0,18.0,,,12.0,4.0,34.0,10.0,4.0,28.0,6.0,1.0,3.0,17.0,7.0,5.0,2.0,23.0,103.0,,1.0,1.0,,8.0,,,2.0,,1.0,6.0,,,,,,,1.0,,,,,,
6808,Habib Beye,Defender,Aston Villa,7,Senegal,2009-10,17.0,1.0,,,31.0,6.0,5.0,43.0,151.0,,,10.0,1.0,,442.0,3.0,17.0,1.0,10.0,101.0,,1.0,3.0,2.0,32.0,7.0,14.0,,1.0,0.0,34.0,,7.0,6.0,,50.0,6.0,24.0,7.0,0.0,,147.0,95.0,,,7.0,304.0,8.0,61.0,,0.0,12.0,10.0,3.0,,,8.0,,,4.0,1.0,1.0,3.0,1.0,24.0,1.0,4.0,4.0,8.0,,1.0,7.0,1.0,3.0,5.0,10.0,45.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
17468,Carlos Cuellar,Defender,Norwich City,45,Spain,2009-10,136.0,1.0,,,246.0,36.0,36.0,358.0,1163.0,,,128.0,15.0,,3239.0,48.0,235.0,4.0,155.0,733.0,,3.0,14.0,25.0,297.0,30.0,88.0,,13.0,0.0,371.0,,130.0,36.0,,388.0,26.0,243.0,80.0,0.0,,1156.0,643.0,,,72.0,2137.0,95.0,432.0,,6.0,112.0,91.0,15.0,3.0,5.0,133.0,10.0,1.0,29.0,,,15.0,33.0,120.0,29.0,6.0,29.0,23.0,5.0,6.0,104.0,9.0,28.0,32.0,72.0,162.0,,2.0,1.0,2.0,,1.0,,,1.0,,,2.0,0.0,,2.0,,2.0,3.0,,1.0,,,,
45262,Shane Lowry,Defender,Johor Darul Ta'zim,10981,Australia,2009-10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
