matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292810,1,2022-08-05 20:00:00,3,Arsenal,Away,197.0,19.0,1.0,2.0,1.0,1.0,1.0,165.0,1.0,,4.0,4.0,6.0,26.0,360.0,1.0,,12.0,10.0,14.0,6.0,,1.0,,1.0,,1.0,,,,,8.0,,,,,,,5.0,9.0,1.0,8.0,2.0,77.0,64.0,1.0,1.0,1.0,,17.0,4.0,16.0,,,5.0,2.0,3.0,,15.0,1.0,53.0,72.0,,24.0,11.0,,,,,,,,27.0,53.0,11.0,16.0,1.0,,4.0,1.0,1.0,147.0,1.0,,1.0,,1.0,,2.0,,,1.0,11.0,,9.0,9.0,2.0,4.0,120.0,65.0,39.0,3.0,,2.0,5.0,2.0,418.0,6.0,1.0,,43.0,44.0,22.0,,,,,129.0,129.0,5.0,28.0,22.0,43.7,,,,,17.0,0.0,94.0,2.0,,2.0,,,4.0,,,3.0,20.0,96.0,343.0,11.0,7.0,218.0,35.0,24.0,16.0,5.0,11.0,6.0,,133.0,4.0,231.0,2.0,,13.0,7.0,49.0,2.0,438.0,1.0,0.0,10.0,29.0,,14.0,2.0,652.0,31.0,19.0,13.0,5.0,16.0,0.0
2292820,2,2022-08-13 15:00:00,3,Arsenal,Home,145.0,11.0,1.0,4.0,3.0,1.0,1.0,245.0,2.0,1.0,3.0,3.0,1.0,15.0,386.0,,1.0,14.0,14.0,19.0,9.0,2.0,3.0,,,,,1.0,,,1.0,12.0,,,,1.0,,2.0,9.0,6.0,1.0,15.0,4.0,65.0,57.0,3.0,3.0,2.0,1.0,8.0,4.0,3.0,,,6.0,7.0,4.0,,7.0,,44.0,47.0,1.0,11.0,6.0,,,,,,,,16.0,52.0,15.0,9.0,3.0,,3.0,1.0,,155.0,3.0,,1.0,3.0,,,3.0,3.0,,,6.0,2.0,8.0,8.0,,3.0,122.0,62.0,37.0,2.0,1.0,5.0,9.0,7.0,442.0,1.0,1.0,1.0,81.0,62.0,30.0,,,,,117.0,117.0,4.0,22.0,24.0,49.9,1.0,,,,18.0,0.0,120.0,1.0,,1.0,1.0,,8.0,1.0,,4.0,6.0,148.0,368.0,8.0,14.0,165.0,27.0,11.0,16.0,5.0,17.0,12.0,,188.0,2.0,314.0,,1.0,15.0,1.0,41.0,2.0,462.0,,0.0,19.0,8.0,2.0,15.0,1.0,621.0,35.0,12.0,11.0,6.0,6.0,0.0
2292830,3,2022-08-20 17:30:00,3,Arsenal,Away,280.0,14.0,1.0,5.0,4.0,,1.0,242.0,2.0,,1.0,2.0,2.0,17.0,517.0,1.0,,11.0,12.0,15.0,6.0,1.0,5.0,1.0,,,,,,,,8.0,,,,,,1.0,7.0,4.0,2.0,11.0,3.0,99.0,60.0,2.0,2.0,1.0,1.0,11.0,4.0,7.0,,2.0,4.0,9.0,2.0,1.0,9.0,2.0,51.0,52.0,1.0,20.0,9.0,,1.0,,,,,,20.0,52.0,10.0,12.0,,,3.0,1.0,,176.0,2.0,,1.0,1.0,1.0,,4.0,2.0,,,9.0,,10.0,10.0,,2.0,154.0,66.0,44.0,3.0,2.0,4.0,5.0,6.0,561.0,,,,61.0,78.0,23.0,,,,,118.0,118.0,6.0,17.0,33.0,58.2,,,,1.0,20.0,0.0,151.0,1.0,,1.0,,1.0,4.0,1.0,,5.0,11.0,110.0,505.0,11.0,9.0,294.0,30.0,20.0,25.0,4.0,16.0,12.0,1.0,148.0,1.0,302.0,,,10.0,3.0,36.0,3.0,580.0,1.0,0.0,14.0,14.0,,13.0,1.0,773.0,18.0,16.0,12.0,4.0,8.0,0.0
2292840,4,2022-08-27 17:30:00,3,Arsenal,Home,249.0,28.0,,5.0,5.0,2.0,1.0,265.0,8.0,,4.0,3.0,3.0,42.0,509.0,1.0,1.0,16.0,22.0,11.0,14.0,,1.0,,1.0,,1.0,,,1.0,,19.0,,,,,,1.0,5.0,9.0,2.0,16.0,6.0,80.0,60.0,2.0,1.0,1.0,,15.0,10.0,4.0,,1.0,9.0,6.0,6.0,1.0,15.0,2.0,56.0,51.0,,5.0,1.0,1.0,,,,,,,22.0,68.0,6.0,12.0,,,3.0,1.0,1.0,192.0,2.0,,1.0,2.0,,,10.0,1.0,2.0,,1.0,1.0,7.0,7.0,,5.0,160.0,80.0,59.0,2.0,1.0,3.0,13.0,8.0,569.0,2.0,1.0,,66.0,83.0,48.0,,,,,143.0,143.0,8.0,15.0,30.0,72.0,,,3.0,,28.0,0.0,163.0,2.0,,2.0,,,4.0,2.0,,3.0,14.0,149.0,487.0,15.0,16.0,268.0,50.0,5.0,22.0,6.0,19.0,13.0,,203.0,2.0,346.0,2.0,,4.0,3.0,59.0,1.0,595.0,2.0,0.0,22.0,15.0,2.0,17.0,2.0,793.0,52.0,15.0,13.0,9.0,11.0,0.0
2292851,5,2022-08-31 19:30:00,3,Arsenal,Home,198.0,24.0,3.0,3.0,,1.0,,233.0,1.0,,9.0,4.0,5.0,28.0,428.0,,,12.0,10.0,11.0,12.0,2.0,7.0,1.0,,1.0,1.0,,,,,13.0,,,,,,1.0,3.0,3.0,1.0,14.0,8.0,80.0,59.0,2.0,2.0,1.0,3.0,4.0,7.0,5.0,,,10.0,7.0,4.0,,9.0,,41.0,46.0,3.0,10.0,6.0,,,,,,,,17.0,62.0,10.0,14.0,2.0,,2.0,2.0,1.0,168.0,1.0,,1.0,1.0,,,5.0,2.0,,,6.0,,8.0,8.0,1.0,9.0,124.0,66.0,44.0,3.0,,4.0,11.0,9.0,482.0,,1.0,,73.0,71.0,39.0,,,,,132.0,132.0,5.0,24.0,21.0,58.9,,,,,11.0,0.0,132.0,2.0,,2.0,1.0,1.0,6.0,1.0,,4.0,3.0,123.0,412.0,4.0,15.0,217.0,35.0,10.0,19.0,7.0,20.0,13.0,1.0,162.0,3.0,307.0,,,16.0,5.0,51.0,1.0,504.0,,0.0,22.0,10.0,1.0,15.0,2.0,699.0,51.0,18.0,12.0,10.0,7.0,0.0
2292865,6,2022-09-04 16:30:00,3,Arsenal,Away,159.0,21.0,2.0,4.0,3.0,1.0,,233.0,1.0,2.0,7.0,3.0,1.0,30.0,388.0,1.0,,19.0,10.0,3.0,12.0,2.0,2.0,,,,1.0,,,,,11.0,,,,,,2.0,7.0,7.0,3.0,9.0,7.0,78.0,54.0,2.0,2.0,1.0,,6.0,5.0,3.0,,1.0,5.0,9.0,4.0,,8.0,1.0,38.0,38.0,,6.0,3.0,,1.0,,,,,,26.0,60.0,9.0,13.0,1.0,,6.0,1.0,1.0,153.0,,,,,,,3.0,1.0,,1.0,3.0,1.0,6.0,6.0,1.0,7.0,123.0,70.0,49.0,2.0,,8.0,6.0,3.0,440.0,1.0,,,60.0,80.0,41.0,,,,,125.0,125.0,6.0,17.0,24.0,60.5,,,,,16.0,0.0,111.0,2.0,1.0,3.0,1.0,,8.0,,,4.0,14.0,132.0,368.0,6.0,14.0,168.0,39.0,6.0,17.0,3.0,16.0,14.0,,182.0,1.0,313.0,,2.0,11.0,2.0,53.0,,465.0,1.0,0.0,16.0,14.0,1.0,20.0,3.0,630.0,47.0,18.0,8.0,5.0,8.0,0.0
2292871,7,2023-03-01 19:45:00,3,Arsenal,Home,312.0,26.0,,2.0,2.0,,,345.0,5.0,2.0,4.0,1.0,5.0,31.0,655.0,1.0,2.0,20.0,15.0,11.0,7.0,,1.0,,,,,,,,2.0,14.0,,,,,,,4.0,5.0,3.0,14.0,1.0,124.0,60.0,4.0,1.0,3.0,,8.0,5.0,10.0,,1.0,5.0,10.0,3.0,,11.0,3.0,42.0,36.0,,10.0,5.0,,,,,,,,19.0,83.0,5.0,12.0,3.0,,,1.0,,188.0,4.0,,3.0,4.0,,,5.0,4.0,,,5.0,,7.0,7.0,1.0,5.0,206.0,73.0,59.0,1.0,1.0,3.0,8.0,5.0,725.0,1.0,,,93.0,101.0,33.0,,,,,143.0,143.0,8.0,23.0,24.0,73.1,,,,,23.0,0.0,230.0,4.0,1.0,5.0,2.0,,5.0,2.0,,5.0,12.0,175.0,635.0,8.0,11.0,337.0,49.0,10.0,7.0,1.0,15.0,14.0,,225.0,2.0,426.0,,2.0,8.0,6.0,55.0,4.0,748.0,1.0,0.0,15.0,7.0,3.0,22.0,0.0,912.0,32.0,18.0,6.0,5.0,7.0,0.0
2292881,8,2022-09-18 12:00:00,3,Arsenal,Away,174.0,14.0,1.0,1.0,,,,336.0,1.0,,4.0,1.0,2.0,13.0,509.0,,,11.0,21.0,8.0,8.0,1.0,1.0,,,,,,,,,12.0,,,,,,,7.0,4.0,1.0,8.0,5.0,104.0,61.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,,,3.0,3.0,1.0,1.0,13.0,,54.0,40.0,2.0,19.0,14.0,,,,,,,,23.0,85.0,10.0,10.0,1.0,,2.0,2.0,,172.0,3.0,1.0,2.0,2.0,1.0,,6.0,2.0,1.0,1.0,14.0,,6.0,6.0,1.0,4.0,156.0,83.0,54.0,3.0,1.0,4.0,8.0,7.0,573.0,,2.0,,55.0,109.0,25.0,,,,,132.0,132.0,5.0,21.0,27.0,63.9,,,,,8.0,0.0,160.0,2.0,,2.0,1.0,,4.0,,,5.0,10.0,138.0,498.0,2.0,12.0,190.0,41.0,19.0,18.0,3.0,9.0,6.0,,186.0,2.0,411.0,1.0,,7.0,3.0,42.0,1.0,592.0,,0.0,13.0,12.0,,18.0,2.0,754.0,21.0,10.0,10.0,3.0,9.0,0.0
2292891,9,2022-10-01 12:30:00,3,Arsenal,Home,145.0,16.0,,7.0,7.0,,,373.0,2.0,2.0,4.0,1.0,4.0,23.0,511.0,,,17.0,7.0,9.0,15.0,,,,1.0,,1.0,,,1.0,,21.0,,,,,,,7.0,4.0,3.0,11.0,11.0,71.0,54.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,,,5.0,13.0,8.0,,11.0,2.0,37.0,43.0,3.0,15.0,7.0,,,,,,,,16.0,84.0,10.0,10.0,1.0,,2.0,,1.0,165.0,2.0,,,2.0,,,3.0,3.0,,,7.0,1.0,6.0,6.0,1.0,4.0,155.0,51.0,38.0,2.0,2.0,7.0,10.0,9.0,547.0,2.0,3.0,,94.0,79.0,32.0,1.0,1.0,1.0,,109.0,109.0,7.0,20.0,23.0,64.7,,,,2.0,9.0,0.0,174.0,2.0,,2.0,,,9.0,,,5.0,11.0,220.0,494.0,2.0,17.0,157.0,28.0,15.0,15.0,4.0,25.0,21.0,,253.0,5.0,433.0,,2.0,7.0,4.0,37.0,1.0,565.0,1.0,0.0,22.0,14.0,,18.0,2.0,750.0,42.0,16.0,10.0,5.0,10.0,0.0
2292901,10,2022-10-09 16:30:00,3,Arsenal,Home,129.0,21.0,,1.0,1.0,,,174.0,2.0,,5.0,,2.0,25.0,302.0,,1.0,8.0,10.0,13.0,2.0,,,1.0,,,,,,,,10.0,1.0,,,,,,7.0,5.0,3.0,10.0,1.0,64.0,50.0,2.0,,3.0,,8.0,3.0,4.0,,1.0,4.0,4.0,1.0,,8.0,2.0,39.0,46.0,,31.0,13.0,,1.0,,,,,,25.0,70.0,11.0,9.0,3.0,,3.0,1.0,,154.0,2.0,,2.0,2.0,,1.0,4.0,2.0,,1.0,13.0,,6.0,6.0,1.0,5.0,88.0,68.0,33.0,3.0,,1.0,3.0,7.0,362.0,3.0,,,72.0,52.0,28.0,,,,1.0,132.0,132.0,3.0,20.0,20.0,44.0,,,,,13.0,0.0,80.0,1.0,,2.0,,1.0,1.0,,,3.0,14.0,97.0,283.0,8.0,4.0,145.0,50.0,31.0,15.0,3.0,9.0,6.0,2.0,147.0,2.0,250.0,,,8.0,2.0,56.0,3.0,386.0,4.0,0.0,11.0,16.0,3.0,14.0,1.0,574.0,46.0,16.0,8.0,4.0,10.0,0.0
