season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576151,1,3,Arsenal,Away,188365,98745,Héctor Bellerín,hector-bellerin,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576151,1,3,Arsenal,Away,208988,92371,Pablo Marí,pablo-mari,D,False,,,3.0,22.0,28.0,50.0,1.0,5.0,5.0,,,,2.0,,,3.0,7.0,,,,,,,,,1.0,,,90.0,,,,,,,,11.0,,6.5,,,1.0,,7.0,,,,9.0,,27.0,33.0,60.0,1,1.0,73.0,1.0,1.0,,
2021-22,9576151,1,3,Arsenal,Away,227942,101184,Calum Chambers,calum-chambers,D,False,1.0,,,18.0,31.0,48.0,,2.0,10.0,,,1.0,,,1.0,2.0,5.0,,,1.0,,,,,,,1.0,,81.0,,,,,,,,15.0,,6.7,,,1.0,,2.0,,2.0,,3.0,,25.0,35.0,58.0,2,2.0,83.0,1.0,1.0,,1.0
2021-22,9576151,1,3,Arsenal,Away,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576151,1,3,Arsenal,Away,366592,192895,Kieran Tierney,kieran-tierney,D,False,5.0,,2.0,42.0,9.0,46.0,,,2.0,,,1.0,1.0,,,5.0,2.0,,,,,,,,,,6.0,,90.0,1.0,,,,,,,20.0,,6.9,,,1.0,,1.0,5.0,11.0,,4.0,,51.0,12.0,52.0,3,,91.0,,1.0,1.0,
2021-22,9576151,1,3,Arsenal,Away,793228,156074,Rob Holding,rob-holding,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576151,1,3,Arsenal,Away,846036,198869,Ben White,ben-white,D,False,,,3.0,16.0,40.0,56.0,5.0,3.0,5.0,,,,,,1.0,7.0,5.0,,,1.0,,,,,,1.0,,,90.0,,,,,,,,9.0,,6.4,,,,,1.0,,,,6.0,,20.0,42.0,62.0,0,1.0,73.0,2.0,1.0,,
2021-22,9576151,1,3,Arsenal,Away,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,3.0,3.0,6.0,1.0,1.0,1.0,,,,,,1.0,3.0,3.0,,,1.0,,,,,,,,,9.0,,,,,,,,4.0,,6.5,,,1.0,,1.0,,,,,,3.0,5.0,8.0,1,,19.0,,2.0,,
2021-22,9576412,2,3,Arsenal,Home,142148,111457,Sead Kolašinac,sead-kolasinac,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576412,2,3,Arsenal,Home,208988,92371,Pablo Marí,pablo-mari,D,False,,,1.0,14.0,15.0,29.0,2.0,,5.0,1.0,,,1.0,,,4.0,4.0,,,1.0,,,,,,2.0,1.0,,90.0,,4.0,,,,,,4.0,,7.4,,,,,3.0,,,,2.0,,16.0,16.0,32.0,0,4.0,49.0,1.0,,,3.0
2021-22,9576412,2,3,Arsenal,Home,227942,101184,Calum Chambers,calum-chambers,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576412,2,3,Arsenal,Home,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576412,2,3,Arsenal,Home,366592,192895,Kieran Tierney,kieran-tierney,D,False,,,2.0,14.0,2.0,16.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,66.0,,,,,,,,14.0,,6.3,,,,,,,4.0,,4.0,,22.0,4.0,22.0,0,,36.0,1.0,,,
2021-22,9576412,2,3,Arsenal,Home,793228,156074,Rob Holding,rob-holding,D,False,,,1.0,6.0,19.0,25.0,6.0,3.0,6.0,,1.0,,,,,7.0,5.0,,,1.0,,,,,,,,,90.0,,5.0,,,,,,13.0,,6.9,,,1.0,,3.0,,,,7.0,,14.0,22.0,36.0,1,2.0,51.0,2.0,,,2.0
2021-22,9576412,2,3,Arsenal,Home,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,3.0,2.0,5.0,,1.0,,,,,1.0,,,2.0,3.0,,,,,,,,,,,,24.0,,1.0,,,,,,5.0,,6.7,,,,,,2.0,2.0,,,,6.0,2.0,6.0,0,1.0,17.0,1.0,,1.0,
2021-22,9576260,3,3,Arsenal,Away,142148,111457,Sead Kolašinac,sead-kolasinac,D,False,,,,,11.0,11.0,,,2.0,,,,,,,2.0,,,,2.0,,,,,,4.0,,,90.0,,,,,,,,1.0,,5.8,,,,,1.0,,,,,,1.0,11.0,12.0,0,,19.0,,,,
2021-22,9576260,3,3,Arsenal,Away,208988,92371,Pablo Marí,pablo-mari,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576260,3,3,Arsenal,Away,227942,101184,Calum Chambers,calum-chambers,D,False,,,3.0,7.0,12.0,19.0,1.0,,4.0,,,,1.0,,,3.0,3.0,,,1.0,,,,,,,,,90.0,,3.0,,,,,,7.0,,6.6,,,,,7.0,,1.0,,5.0,,10.0,15.0,24.0,0,3.0,43.0,,,,2.0
2021-22,9576260,3,3,Arsenal,Away,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,True,,,,2.0,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,19.0,,,,,,,,2.0,,6.4,,,,,,,,,,,3.0,,3.0,0,,5.0,1.0,1.0,,
2021-22,9576260,3,3,Arsenal,Away,366592,192895,Kieran Tierney,kieran-tierney,D,False,1.0,,,4.0,3.0,6.0,3.0,,6.0,,,,,,,3.0,2.0,,,,,,,,,,1.0,,90.0,,1.0,,,,,,9.0,,6.1,,,,,7.0,,1.0,,4.0,,9.0,4.0,12.0,0,,34.0,1.0,2.0,,
