season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,substitute.1,totalShots
2010-11,1379599,1,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,True,0.0,0.0,14.0,0.0,,,0.0
2010-11,1379599,1,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379599,1,3,Arsenal,Away,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379604,2,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,True,1.0,0.0,28.0,0.0,,,0.0
2010-11,1379604,2,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1379604,2,3,Arsenal,Home,25991,38401,Carlos Vela,carlos-vela,F,True,0.0,0.0,24.0,0.0,,,0.0
2010-11,1379615,3,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,0.0,34.0,0.0,,,0.0
2010-11,1379615,3,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,56.0,0.0,,,0.0
2010-11,1379615,3,3,Arsenal,Away,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379792,4,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,1.0,80.0,0.0,,,0.0
2010-11,1379792,4,3,Arsenal,Home,25991,38401,Carlos Vela,carlos-vela,F,True,0.0,1.0,10.0,0.0,,,0.0
2010-11,1379808,5,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379808,5,3,Arsenal,Away,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379812,6,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379812,6,3,Arsenal,Home,25991,38401,Carlos Vela,carlos-vela,F,True,0.0,0.0,24.0,0.0,,,0.0
2010-11,1379823,7,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379823,7,3,Arsenal,Away,25991,38401,Carlos Vela,carlos-vela,F,True,0.0,0.0,3.0,0.0,,,0.0
2010-11,1379832,8,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,1.0,79.0,0.0,,,0.0
2010-11,1379832,8,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,11.0,0.0,,,0.0
2010-11,1379832,8,3,Arsenal,Home,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379845,9,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,84.0,0.0,,,0.0
2010-11,1379845,9,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,1.0,6.0,0.0,,,0.0
2010-11,1379852,10,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379852,10,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,11.0,0.0,,,0.0
2010-11,1379852,10,3,Arsenal,Home,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379862,11,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,True,0.0,0.0,33.0,0.0,,,0.0
2010-11,1379862,11,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,57.0,0.0,,,0.0
2010-11,1379862,11,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,17.0,0.0,,,0.0
2010-11,1379876,12,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,True,,,,,,,
2010-11,1379876,12,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,2.0,90.0,0.0,,,0.0
2010-11,1379876,12,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,1.0,0.0,,,0.0
2010-11,1379884,13,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,True,,,,,,,
2010-11,1379884,13,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,1.0,0.0,89.0,0.0,,,0.0
2010-11,1379892,14,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,True,0.0,0.0,22.0,0.0,,,0.0
2010-11,1379892,14,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,1.0,68.0,0.0,,,0.0
2010-11,1379902,15,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,True,,,,,,,
2010-11,1379902,15,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,1.0,1.0,90.0,0.0,,,0.0
2010-11,1379902,15,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1379912,16,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,True,1.0,0.0,27.0,0.0,,,0.0
2010-11,1379912,16,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379912,16,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1379926,17,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,True,0.0,0.0,26.0,0.0,,,0.0
2010-11,1379926,17,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379926,17,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1588346,18,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,10.0,0.0,,,0.0
2010-11,1588346,18,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,False,1.0,0.0,80.0,0.0,,,0.0
2010-11,1379942,19,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,0.0,76.0,0.0,,,0.0
2010-11,1379942,19,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,14.0,0.0,,,0.0
2010-11,1379942,19,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1379961,20,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379961,20,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1379961,20,3,Arsenal,Away,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379962,21,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1379962,21,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1379972,22,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379972,22,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,,,
2010-11,1379972,22,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,9.0,0.0,,,0.0
2010-11,1379990,23,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,1.0,2.0,90.0,0.0,,,0.0
2010-11,1379990,23,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,,,
2010-11,1379990,23,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1379990,23,3,Arsenal,Away,25991,38401,Carlos Vela,carlos-vela,F,True,,,,,,,
2010-11,1379992,24,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,3.0,86.0,0.0,1.0,,0.0
2010-11,1379992,24,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,4.0,0.0,,,0.0
2010-11,1379992,24,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1380002,25,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,1.0,0.0,90.0,0.0,,,0.0
2010-11,1380002,25,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,,,
2010-11,1380002,25,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,21.0,0.0,,,0.0
2010-11,1380016,26,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,2.0,90.0,0.0,,,0.0
2010-11,1380016,26,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,,,
2010-11,1380016,26,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1380022,27,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,2.0,71.0,0.0,,,0.0
2010-11,1380022,27,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,19.0,0.0,,,0.0
2010-11,1380022,27,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,19.0,0.0,,,0.0
2010-11,1380038,28,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1380038,28,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,8.0,0.0,,,0.0
2010-11,1380042,29,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,29.0,0.0,,,0.0
2010-11,1380042,29,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1380060,30,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1380060,30,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,1.0,0.0,44.0,0.0,,,0.0
2010-11,1380060,30,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,33.0,0.0,,,0.0
2010-11,1380062,31,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1380062,31,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,17.0,0.0,,,0.0
2010-11,1380062,31,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,12.0,0.0,,,0.0
2010-11,1380074,32,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,1.0,1.0,90.0,0.0,,,0.0
2010-11,1380074,32,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,,,
2010-11,1380074,32,3,Arsenal,Away,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,,,,,,,
2010-11,1380082,33,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1380082,33,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,,,
2010-11,1380082,33,3,Arsenal,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,0.0,17.0,0.0,,,0.0
2010-11,1380095,34,3,Arsenal,Away,1,12297,Robin van Persie,robin-van-persie,F,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1380095,34,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,0.0,0.0,25.0,0.0,,,0.0
2010-11,1380102,35,3,Arsenal,Home,1,12297,Robin van Persie,robin-van-persie,F,False,1.0,0.0,90.0,0.0,,,0.0
