season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896967,1,3,Arsenal,Away,103335,80201,Bernd Leno,bernd-leno,G,False,,,1.0,1.0,29.0,30.0,,,5.0,,,,,,,,1.0,,,,,,,,,,,90.0,,,,,,,,,,7.4,,2.0,,,,,,,1.0,,1.0,29.0,30.0,0,1.0,36.0,,,,
2020-21,8896967,1,3,Arsenal,Away,225096,113534,Matt Macey,matt-macey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896947,2,3,Arsenal,Home,103335,80201,Bernd Leno,bernd-leno,G,False,,1.0,2.0,1.0,27.0,28.0,,1.0,7.0,,,,,,,,1.0,,1.0,,,,,,,,,90.0,,,,,,,,3.0,1.0,6.5,1.0,2.0,,,2.0,,,1.0,4.0,,4.0,27.0,31.0,0,,42.0,,,,
2020-21,8896947,2,3,Arsenal,Home,225096,113534,Matt Macey,matt-macey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896930,3,3,Arsenal,Away,103335,80201,Bernd Leno,bernd-leno,G,False,,,3.0,1.0,33.0,34.0,,1.0,8.0,,,,,,,,1.0,,,,,,1.0,,,,,90.0,,,,,,,,3.0,1.0,6.9,3.0,5.0,,,1.0,,,,6.0,,2.0,35.0,37.0,0,,52.0,,1.0,,
2020-21,8896930,3,3,Arsenal,Away,187023,115918,Rúnar Alex Rúnarsson,runar-alex-runarsson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896901,4,3,Arsenal,Home,103335,80201,Bernd Leno,bernd-leno,G,False,,1.0,3.0,1.0,36.0,37.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,90.0,,,,,,,,7.0,,6.4,,1.0,,,1.0,,,1.0,10.0,,7.0,37.0,44.0,0,,49.0,,1.0,,
2020-21,8896901,4,3,Arsenal,Home,187023,115918,Rúnar Alex Rúnarsson,runar-alex-runarsson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896916,5,3,Arsenal,Away,103335,80201,Bernd Leno,bernd-leno,G,False,,,7.0,2.0,39.0,41.0,,,5.0,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,7.0,,7.0,3.0,4.0,,,,,,,14.0,,7.0,41.0,48.0,0,,57.0,,,,
2020-21,8896916,5,3,Arsenal,Away,187023,115918,Rúnar Alex Rúnarsson,runar-alex-runarsson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
