playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,gkUnsuccessfulDistribution,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,goals,awayGoals,homeGoals,rightFootGoals,headedGoals,otherGoals,foulWonPenalty,substituteOn,penaltiesTaken,hitWoodwork,leftFootGoals,lastPlayerTackle,setPiecesGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,forwardPasses,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,clearancesOffTheLine,ownGoalScored
59282,Ashley Sammons,Midfielder,Birmingham,41,England,2009-10,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,Barry Ferguson,Midfielder,Birmingham,41,Scotland,2009-10,0.0,37.0,1.0,7.0,107.0,2.0,5.0,2.0,60.0,12.0,18.0,344.0,60.0,37.0,435.0,13.0,2168.0,1.0,5.0,52.0,10.0,3.0,3328.0,2.0,21.0,142.0,7.0,111.0,1543.0,1.0,14.0,3.0,2.0,17.0,8.0,80.0,45.0,86.0,42.0,0.0,249.0,267.0,37.0,18.0,2.0,915.0,38.0,1.0,18.0,26.0,197.0,31.0,2106.0,10.0,4.0,533.0,42.0,9.0,12.0,1.0,1.0,42.0,106.0,4.0,190.0,2618.0,13.0,1.0,53.0,821.0,5.0,91.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18804,Cameron Jerome,Forward,Birmingham,41,England,2009-10,0.0,32.0,0.0,5.0,320.0,9.0,17.0,32.0,29.0,61.0,7.0,297.0,76.0,32.0,311.0,27.0,779.0,19.0,,293.0,6.0,9.0,2684.0,25.0,161.0,220.0,5.0,88.0,459.0,,120.0,3.0,3.0,36.0,1.0,30.0,33.0,159.0,39.0,6.0,540.0,97.0,32.0,7.0,38.0,383.0,28.0,,27.0,101.0,247.0,132.0,779.0,29.0,27.0,463.0,22.0,20.0,6.0,,,47.0,19.0,,9.0,1268.0,6.0,12.0,9.0,94.0,2.0,14.0,37.0,3.0,11.0,6.0,5.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37051,Christian Benitez,Forward,Birmingham,41,Ecuador,2009-10,0.0,30.0,0.0,1.0,201.0,2.0,16.0,24.0,10.0,38.0,5.0,101.0,70.0,21.0,104.0,10.0,471.0,39.0,1.0,48.0,4.0,2.0,1934.0,19.0,40.0,98.0,3.0,90.0,361.0,,109.0,,1.0,25.0,,3.0,25.0,161.0,39.0,2.0,299.0,92.0,30.0,1.0,61.0,284.0,22.0,,10.0,131.0,251.0,8.0,469.0,14.0,21.0,248.0,9.0,41.0,1.0,,,21.0,12.0,,6.0,859.0,6.0,9.0,1.0,85.0,1.0,3.0,18.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
18004,Colin Doyle,Goalkeeper,Birmingham,41,Ireland,2009-10,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28468,Craig Gardner,Midfielder,Birmingham,41,England,2009-10,0.0,14.0,0.0,4.0,82.0,5.0,9.0,6.0,39.0,11.0,6.0,99.0,11.0,10.0,118.0,39.0,327.0,1.0,9.0,25.0,1.0,12.0,904.0,3.0,11.0,71.0,4.0,57.0,200.0,5.0,16.0,2.0,2.0,8.0,3.0,14.0,19.0,71.0,12.0,0.0,153.0,48.0,14.0,11.0,19.0,135.0,15.0,,43.0,37.0,128.0,14.0,320.0,5.0,9.0,209.0,28.0,6.0,3.0,2.0,,24.0,21.0,3.0,9.0,594.0,18.0,3.0,12.0,86.0,1.0,19.0,24.0,1.0,1.0,0.0,1.0,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,
77815,Dan Preston,Defender,Birmingham,41,England,2009-10,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11269,David Murphy,Defender,Birmingham,41,England,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6547,Franck Queudrue,Defender,Birmingham,41,France,2009-10,0.0,6.0,0.0,0.0,16.0,,1.0,1.0,19.0,1.0,,35.0,,6.0,58.0,1.0,183.0,,,16.0,2.0,,495.0,,8.0,39.0,,31.0,110.0,,1.0,3.0,,1.0,5.0,47.0,4.0,8.0,10.0,0.0,55.0,28.0,6.0,2.0,,51.0,4.0,,2.0,1.0,39.0,8.0,160.0,,1.0,83.0,17.0,2.0,6.0,,,4.0,14.0,,15.0,299.0,5.0,1.0,22.0,74.0,,23.0,13.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
9111,Garry O'Connor,Forward,Birmingham,41,Scotland,2009-10,0.0,10.0,0.0,2.0,77.0,2.0,5.0,4.0,6.0,12.0,2.0,66.0,20.0,5.0,67.0,2.0,190.0,9.0,,73.0,1.0,2.0,554.0,10.0,47.0,38.0,,12.0,118.0,,29.0,,,9.0,,5.0,7.0,30.0,5.0,2.0,115.0,16.0,10.0,,6.0,90.0,7.0,,2.0,21.0,42.0,26.0,190.0,8.0,5.0,94.0,6.0,1.0,2.0,,,4.0,8.0,,5.0,294.0,,2.0,1.0,35.0,,1.0,9.0,,1.0,1.0,0.0,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
