playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,gkUnsuccessfulDistribution,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,goals,awayGoals,homeGoals,rightFootGoals,headedGoals,otherGoals,foulWonPenalty,substituteOn,penaltiesTaken,hitWoodwork,leftFootGoals,lastPlayerTackle,setPiecesGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,forwardPasses,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,clearancesOffTheLine,ownGoalScored
59282,Ashley Sammons,Midfielder,Birmingham,41,England,2009-10,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,Barry Ferguson,Midfielder,Birmingham,41,Scotland,2009-10,0.0,37.0,1.0,7.0,107.0,2.0,5.0,2.0,60.0,12.0,18.0,344.0,60.0,37.0,435.0,13.0,2168.0,1.0,5.0,52.0,10.0,3.0,3328.0,2.0,21.0,142.0,7.0,111.0,1543.0,1.0,14.0,3.0,2.0,17.0,8.0,80.0,45.0,86.0,42.0,0.0,249.0,267.0,37.0,18.0,2.0,915.0,38.0,1.0,18.0,26.0,197.0,31.0,2106.0,10.0,4.0,533.0,42.0,9.0,12.0,1.0,1.0,42.0,106.0,4.0,190.0,2618.0,13.0,1.0,53.0,821.0,5.0,91.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28468,Craig Gardner,Midfielder,Birmingham,41,England,2009-10,0.0,14.0,0.0,4.0,82.0,5.0,9.0,6.0,39.0,11.0,6.0,99.0,11.0,10.0,118.0,39.0,327.0,1.0,9.0,25.0,1.0,12.0,904.0,3.0,11.0,71.0,4.0,57.0,200.0,5.0,16.0,2.0,2.0,8.0,3.0,14.0,19.0,71.0,12.0,0.0,153.0,48.0,14.0,11.0,19.0,135.0,15.0,,43.0,37.0,128.0,14.0,320.0,5.0,9.0,209.0,28.0,6.0,3.0,2.0,,24.0,21.0,3.0,9.0,594.0,18.0,3.0,12.0,86.0,1.0,19.0,24.0,1.0,1.0,0.0,1.0,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,
4445,James McFadden,Midfielder,Birmingham,41,Scotland,2009-10,0.0,36.0,0.0,6.0,332.0,15.0,20.0,20.0,88.0,35.0,21.0,281.0,51.0,32.0,316.0,61.0,835.0,9.0,64.0,130.0,5.0,32.0,2653.0,13.0,78.0,260.0,5.0,208.0,499.0,13.0,58.0,10.0,2.0,40.0,4.0,25.0,33.0,254.0,52.0,6.0,592.0,193.0,36.0,28.0,87.0,410.0,28.0,,126.0,173.0,462.0,52.0,813.0,15.0,33.0,654.0,60.0,68.0,4.0,7.0,,47.0,73.0,41.0,20.0,1680.0,18.0,16.0,14.0,141.0,2.0,35.0,61.0,3.0,5.0,2.0,3.0,2.0,,,,4.0,3.0,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,
58745,Jay O'Shea,Midfielder,Birmingham,41,Ireland,2009-10,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,1.0,2.0,,,,,,8.0,,,,,,2.0,,,,,,,,,4.0,,0.0,4.0,,1.0,,1.0,2.0,,,1.0,2.0,4.0,,2.0,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
49438,Jordon Mutch,Midfielder,Birmingham,41,England,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18129,Keith Fahey,Midfielder,Birmingham,41,Ireland,2009-10,0.0,34.0,0.0,2.0,99.0,6.0,5.0,9.0,46.0,17.0,12.0,153.0,34.0,18.0,184.0,31.0,682.0,,21.0,51.0,4.0,13.0,1694.0,2.0,32.0,109.0,6.0,90.0,480.0,5.0,34.0,1.0,2.0,15.0,2.0,30.0,24.0,67.0,26.0,0.0,208.0,108.0,34.0,16.0,22.0,313.0,18.0,,49.0,44.0,157.0,19.0,678.0,8.0,9.0,295.0,30.0,18.0,4.0,1.0,,8.0,59.0,14.0,18.0,1062.0,3.0,7.0,15.0,198.0,,31.0,33.0,2.0,,,,,,,1.0,16.0,,1.0,,,,,,,,,,,,,,,,,,,,,
153,Lee Bowyer,Midfielder,Birmingham,41,England,2009-10,0.0,35.0,0.0,8.0,156.0,8.0,10.0,19.0,98.0,37.0,21.0,226.0,91.0,34.0,300.0,25.0,1200.0,2.0,2.0,47.0,9.0,8.0,3011.0,6.0,34.0,183.0,7.0,170.0,807.0,,57.0,,3.0,27.0,5.0,36.0,42.0,122.0,64.0,6.0,339.0,151.0,35.0,30.0,8.0,503.0,35.0,,28.0,43.0,292.0,13.0,1191.0,18.0,15.0,397.0,68.0,8.0,15.0,,,51.0,67.0,2.0,93.0,1707.0,4.0,3.0,35.0,405.0,4.0,74.0,59.0,2.0,5.0,3.0,2.0,4.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
1247,Lee Carsley,Midfielder,Birmingham,41,Ireland,2009-10,0.0,7.0,0.0,1.0,14.0,,,1.0,4.0,4.0,,17.0,1.0,3.0,25.0,1.0,99.0,,,2.0,,,352.0,,1.0,7.0,,6.0,66.0,,1.0,,1.0,,1.0,24.0,6.0,13.0,2.0,0.0,21.0,18.0,7.0,,,33.0,6.0,,1.0,6.0,19.0,1.0,96.0,3.0,,48.0,4.0,,8.0,,,5.0,14.0,,8.0,171.0,,4.0,8.0,41.0,,8.0,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
51860,Míchel,Midfielder,Birmingham,41,Spain,2009-10,0.0,9.0,0.0,1.0,33.0,,,1.0,26.0,2.0,1.0,25.0,7.0,3.0,32.0,4.0,192.0,,,8.0,,,305.0,1.0,6.0,38.0,,36.0,137.0,,2.0,,,2.0,,6.0,7.0,27.0,6.0,0.0,71.0,25.0,9.0,8.0,1.0,80.0,7.0,,4.0,9.0,63.0,2.0,191.0,1.0,,48.0,18.0,4.0,1.0,,,10.0,11.0,,23.0,271.0,,3.0,2.0,80.0,,7.0,10.0,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
