matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855172,1,2016-08-14 13:30:00,91,Bournemouth,Home,181.0,25.0,,3.0,3.0,1.0,1.0,234.0,3.0,,5.0,4.0,7.0,37.0,412.0,,,24.0,8.0,8.0,5.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,4.0,8.0,3.0,6.0,3.0,81.0,63.0,,,,1.0,19.0,4.0,8.0,,,4.0,14.0,8.0,1.0,19.0,4.0,50.0,44.0,1.0,5.0,2.0,1.0,,61.0,7.0,10.0,,,2.0,1.0,,146.0,1.0,,1.0,1.0,,,6.0,1.0,2.0,,2.0,,10.0,10.0,,5.0,120.0,59.0,43.0,2.0,,1.0,6.0,3.0,458.0,2.0,3.0,,87.0,89.0,26.0,,,,,,146.0,146.0,6.0,22.0,30.0,47.4,,,,,19.0,0.0,136.0,3.0,1.0,4.0,,,,2.0,,3.0,115.0,393.0,8.0,7.0,192.0,46.0,7.0,21.0,1.0,24.0,23.0,,156.0,3.0,315.0,2.0,,11.0,7.0,58.0,3.0,483.0,,0.0,9.0,15.0,,26.0,0.0,677.0,14.0,19.0,13.0,4.0,12.0,0.0
855191,2,2016-08-21 16:00:00,91,Bournemouth,Away,170.0,18.0,3.0,3.0,,1.0,,153.0,4.0,1.0,5.0,5.0,5.0,31.0,320.0,,1.0,17.0,17.0,24.0,5.0,3.0,2.0,,,,,,,,,,,5.0,,,,,,,,7.0,9.0,7.0,4.0,4.0,67.0,53.0,,,,6.0,14.0,2.0,10.0,,,6.0,5.0,3.0,,14.0,,55.0,51.0,6.0,27.0,22.0,,,56.0,15.0,15.0,,,1.0,1.0,,145.0,,,,,,,12.0,,1.0,2.0,22.0,,14.0,14.0,3.0,5.0,99.0,91.0,53.0,1.0,,1.0,7.0,5.0,381.0,5.0,1.0,,74.0,46.0,24.0,,,,,,138.0,138.0,2.0,24.0,19.0,53.2,,,,,14.0,0.0,99.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,57.0,305.0,1.0,8.0,192.0,30.0,30.0,6.0,6.0,15.0,9.0,,100.0,4.0,233.0,1.0,1.0,28.0,5.0,75.0,1.0,410.0,,1.0,8.0,10.0,3.0,22.0,1.0,583.0,15.0,13.0,4.0,6.0,8.0,0.0
855193,3,2016-08-27 15:00:00,91,Bournemouth,Away,120.0,10.0,,2.0,2.0,1.0,,128.0,3.0,,2.0,7.0,5.0,32.0,246.0,,1.0,11.0,23.0,8.0,6.0,,,,2.0,,,3.0,,,,,,5.0,,,,,,,2.0,3.0,16.0,8.0,5.0,5.0,47.0,45.0,1.0,1.0,,2.0,7.0,3.0,14.0,1.0,,4.0,6.0,1.0,,16.0,3.0,65.0,46.0,2.0,38.0,17.0,,,62.0,10.0,14.0,1.0,,6.0,3.0,3.0,139.0,1.0,,1.0,,1.0,,12.0,,,1.0,19.0,,9.0,9.0,1.0,3.0,71.0,74.0,35.0,10.0,,2.0,5.0,3.0,295.0,8.0,2.0,,52.0,39.0,21.0,,1.0,1.0,1.0,,125.0,125.0,2.0,27.0,12.0,40.6,,2.0,,1.0,7.0,0.0,69.0,3.0,1.0,3.0,,,,4.0,,3.0,71.0,236.0,2.0,7.0,142.0,25.0,52.0,10.0,2.0,12.0,10.0,,108.0,3.0,196.0,,,25.0,5.0,74.0,2.0,326.0,,0.0,10.0,17.0,1.0,13.0,1.0,514.0,18.0,9.0,7.0,4.0,10.0,0.0
855202,4,2016-09-10 15:00:00,91,Bournemouth,Home,164.0,18.0,1.0,5.0,4.0,1.0,1.0,240.0,7.0,,2.0,4.0,15.0,33.0,399.0,,1.0,18.0,16.0,17.0,7.0,1.0,1.0,1.0,,,,,,,,,,11.0,,,,,,,,3.0,6.0,6.0,8.0,4.0,75.0,64.0,,1.0,,,21.0,2.0,5.0,,,10.0,15.0,4.0,,9.0,2.0,45.0,58.0,,31.0,23.0,,2.0,59.0,9.0,11.0,1.0,,5.0,2.0,,141.0,1.0,,1.0,1.0,,,10.0,1.0,,,26.0,,13.0,13.0,4.0,3.0,134.0,63.0,35.0,5.0,,4.0,5.0,5.0,452.0,4.0,4.0,,69.0,95.0,40.0,,,,,,143.0,143.0,6.0,29.0,24.0,63.5,,,,1.0,21.0,0.0,127.0,2.0,,2.0,,,1.0,5.0,,3.0,134.0,379.0,9.0,9.0,183.0,30.0,37.0,22.0,6.0,27.0,21.0,1.0,174.0,1.0,321.0,,,26.0,16.0,68.0,1.0,477.0,,0.0,12.0,15.0,2.0,23.0,1.0,697.0,31.0,16.0,15.0,10.0,14.0,0.0
855217,5,2016-09-17 15:00:00,91,Bournemouth,Away,148.0,8.0,1.0,3.0,2.0,1.0,,104.0,7.0,,6.0,8.0,5.0,32.0,249.0,,,17.0,6.0,3.0,6.0,,,,,,,,,,,,,6.0,,,,1.0,,,,7.0,11.0,9.0,3.0,3.0,44.0,63.0,,,,3.0,14.0,1.0,14.0,,1.0,5.0,4.0,1.0,,19.0,7.0,56.0,45.0,3.0,10.0,4.0,,1.0,27.0,11.0,7.0,,,1.0,1.0,,119.0,,,,,,,10.0,,,,5.0,1.0,15.0,15.0,3.0,6.0,77.0,45.0,28.0,5.0,,3.0,3.0,2.0,293.0,5.0,4.0,,49.0,42.0,14.0,,,,,,118.0,118.0,7.0,31.0,15.0,35.8,1.0,,,1.0,14.0,0.0,80.0,3.0,4.0,7.0,,,,3.0,,3.0,47.0,228.0,5.0,6.0,180.0,10.0,11.0,27.0,5.0,11.0,6.0,,66.0,4.0,151.0,1.0,,27.0,6.0,56.0,2.0,320.0,,0.0,6.0,14.0,,18.0,1.0,495.0,17.0,7.0,21.0,5.0,10.0,0.0
855222,6,2016-09-24 15:00:00,91,Bournemouth,Home,137.0,17.0,,2.0,2.0,3.0,,197.0,4.0,,3.0,7.0,12.0,29.0,332.0,,,22.0,15.0,13.0,8.0,,1.0,,,,,,,,,,,10.0,,,,,,1.0,1.0,6.0,6.0,7.0,6.0,6.0,70.0,69.0,,,,3.0,19.0,4.0,6.0,,,5.0,4.0,5.0,,14.0,1.0,56.0,54.0,3.0,25.0,14.0,,,65.0,10.0,13.0,,,2.0,2.0,,170.0,1.0,,,1.0,,,10.0,1.0,,1.0,15.0,2.0,11.0,11.0,,3.0,93.0,74.0,43.0,3.0,1.0,4.0,5.0,1.0,396.0,5.0,3.0,,73.0,94.0,22.0,,,,,,154.0,154.0,4.0,27.0,34.0,52.8,1.0,,,,19.0,0.0,89.0,1.0,1.0,2.0,,,,7.0,,3.0,88.0,319.0,9.0,9.0,158.0,24.0,29.0,22.0,4.0,15.0,11.0,,142.0,5.0,279.0,,,35.0,12.0,72.0,1.0,422.0,,0.0,12.0,18.0,,26.0,2.0,638.0,20.0,17.0,10.0,5.0,10.0,0.0
855240,7,2016-10-01 15:00:00,91,Bournemouth,Away,136.0,13.0,,2.0,2.0,1.0,,165.0,3.0,,5.0,1.0,6.0,31.0,299.0,,,15.0,18.0,14.0,6.0,,1.0,,,1.0,,1.0,,,,,,9.0,,,,1.0,2.0,,,6.0,9.0,8.0,4.0,7.0,56.0,52.0,2.0,1.0,1.0,4.0,17.0,3.0,8.0,,,5.0,10.0,3.0,,9.0,2.0,55.0,56.0,4.0,21.0,12.0,,,56.0,12.0,16.0,1.0,,4.0,2.0,1.0,154.0,1.0,,1.0,1.0,,,7.0,2.0,1.0,1.0,12.0,3.0,7.0,7.0,,5.0,89.0,60.0,27.0,4.0,,4.0,3.0,2.0,356.0,5.0,2.0,,62.0,43.0,27.0,,,,,,144.0,144.0,2.0,28.0,14.0,52.0,3.0,2.0,,,17.0,0.0,83.0,4.0,1.0,5.0,,,,6.0,,3.0,92.0,284.0,11.0,7.0,160.0,33.0,22.0,21.0,5.0,20.0,15.0,,128.0,6.0,242.0,1.0,,14.0,7.0,67.0,2.0,382.0,,0.0,11.0,15.0,,22.0,4.0,585.0,12.0,14.0,12.0,5.0,14.0,0.0
855242,8,2016-10-15 15:00:00,91,Bournemouth,Home,197.0,9.0,1.0,3.0,2.0,,1.0,208.0,4.0,,9.0,5.0,4.0,34.0,402.0,,,7.0,8.0,13.0,12.0,1.0,2.0,,,1.0,1.0,2.0,,,,,,15.0,1.0,,,1.0,,1.0,2.0,2.0,4.0,7.0,13.0,9.0,76.0,66.0,1.0,,3.0,1.0,16.0,7.0,8.0,,,5.0,4.0,1.0,2.0,13.0,1.0,47.0,46.0,1.0,30.0,22.0,,,48.0,8.0,14.0,1.0,,6.0,4.0,2.0,144.0,4.0,1.0,4.0,2.0,2.0,,9.0,2.0,5.0,1.0,24.0,2.0,24.0,24.0,3.0,9.0,124.0,59.0,38.0,4.0,2.0,4.0,13.0,10.0,438.0,1.0,2.0,,54.0,61.0,24.0,,,,,1.0,107.0,107.0,6.0,19.0,30.0,49.5,2.0,,,2.0,16.0,0.0,115.0,1.0,2.0,3.0,,,,5.0,,3.0,102.0,388.0,6.0,17.0,216.0,16.0,34.0,21.0,3.0,12.0,9.0,,127.0,2.0,255.0,5.0,,14.0,5.0,56.0,,459.0,,0.0,22.0,10.0,,10.0,0.0,667.0,33.0,12.0,10.0,5.0,7.0,0.0
855252,9,2016-10-22 12:30:00,91,Bournemouth,Home,114.0,10.0,,2.0,2.0,1.0,,120.0,3.0,,8.0,8.0,10.0,24.0,232.0,,,15.0,4.0,7.0,7.0,,2.0,,,,,,,,,,,6.0,,,,,,,,4.0,9.0,7.0,7.0,1.0,59.0,71.0,,,,1.0,20.0,4.0,10.0,,2.0,7.0,7.0,3.0,,13.0,3.0,41.0,54.0,1.0,32.0,16.0,,,59.0,10.0,15.0,,,,,,139.0,,,,,,,8.0,,,1.0,18.0,1.0,19.0,19.0,2.0,8.0,59.0,70.0,29.0,4.0,,3.0,4.0,1.0,294.0,6.0,7.0,,51.0,71.0,23.0,,,,,,156.0,156.0,4.0,32.0,26.0,38.4,,,,,20.0,0.0,66.0,1.0,3.0,4.0,,1.0,,3.0,,3.0,50.0,217.0,11.0,7.0,133.0,21.0,37.0,14.0,5.0,15.0,10.0,,97.0,3.0,205.0,,,39.0,11.0,68.0,1.0,323.0,,0.0,8.0,23.0,1.0,19.0,2.0,566.0,21.0,22.0,9.0,7.0,16.0,0.0
855265,10,2016-10-29 15:00:00,91,Bournemouth,Away,152.0,17.0,2.0,5.0,3.0,2.0,,291.0,6.0,2.0,3.0,3.0,10.0,26.0,438.0,,3.0,22.0,11.0,16.0,11.0,3.0,4.0,,1.0,,,1.0,,,,,1.0,12.0,,,,1.0,,,1.0,,5.0,6.0,7.0,11.0,70.0,65.0,3.0,3.0,,3.0,21.0,7.0,13.0,,1.0,9.0,13.0,2.0,,21.0,1.0,52.0,59.0,3.0,14.0,8.0,,,65.0,7.0,7.0,,,3.0,,1.0,150.0,,,,,,,10.0,,1.0,1.0,8.0,2.0,13.0,13.0,3.0,4.0,154.0,63.0,35.0,4.0,,6.0,8.0,3.0,504.0,2.0,3.0,,73.0,78.0,38.0,,,,,,147.0,147.0,3.0,26.0,30.0,59.6,1.0,,,,21.0,0.0,152.0,1.0,,1.0,,,,8.0,,3.0,156.0,421.0,9.0,14.0,170.0,34.0,14.0,21.0,6.0,21.0,15.0,,205.0,2.0,377.0,1.0,2.0,14.0,11.0,53.0,,526.0,2.0,0.0,18.0,16.0,4.0,24.0,1.0,726.0,38.0,15.0,20.0,9.0,13.0,0.0
