season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352250,1,91,Bournemouth,Home,84844,69752,Neto,neto,G,False,,,6.0,4.0,23.0,27.0,,1.0,10.0,,,,,,,,,1.0,,,0.00529456,0.0,0.0,,,,-0.2972,,,,,,90.0,,,,,,,,,12.0,,6.4,1.0,1.0,,,1.0,,,,18.0,,16.0,23.0,39.0,0,,46.0,,,,
2023-24,11352250,1,91,Bournemouth,Home,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352367,2,91,Bournemouth,Away,84844,69752,Neto,neto,G,False,,1.0,6.0,2.0,11.0,13.0,,1.0,6.0,,,,,,,,,2.0,,,0.00021168,,,,,,1.8707,,,,,,90.0,,,,,1.0,,1.0,,8.0,1.0,8.3,5.0,8.0,,,1.0,1.0,,1.0,13.0,,9.0,12.0,21.0,0,,36.0,,,1.0,
2023-24,11352367,2,91,Bournemouth,Away,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352437,3,91,Bournemouth,Home,84844,69752,Neto,neto,G,False,,,8.0,4.0,17.0,21.0,,,7.0,,,,,,,,,,,1.0,0.00049956,0.0,0.0,,,,0.8663,,,,,,90.0,,,,,,,,,17.0,,7.0,4.0,4.0,,,,,,,19.0,,13.0,23.0,36.0,0,,46.0,,,,
2023-24,11352437,3,91,Bournemouth,Home,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352543,4,91,Bournemouth,Away,84844,69752,Neto,neto,G,False,,,9.0,7.0,5.0,12.0,,,10.0,,,,,,,,1.0,,,,0.0023525,0.0,0.0,1.0,,,-0.4644,1.0,,,,,90.0,,,,,,,,,19.0,,7.1,4.0,6.0,,,,,,,28.0,,24.0,7.0,31.0,0,,42.0,,,,
2023-24,11352543,4,91,Bournemouth,Away,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352600,5,91,Bournemouth,Home,84844,69752,Neto,neto,G,False,,,1.0,1.0,18.0,19.0,,,6.0,,,,,,,,,,,,0.00011277,0.0,0.0,,,,1.9862,1.0,,,,,90.0,,,,,,,,,5.0,,8.4,5.0,6.0,,,1.0,,,,4.0,,4.0,19.0,23.0,0,,37.0,,,,
2023-24,11352600,5,91,Bournemouth,Home,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352629,6,91,Bournemouth,Away,84844,69752,Neto,neto,G,False,,,4.0,3.0,7.0,10.0,,,6.0,,,,,,,,,,,,0.0013673,0.0,0.0,,,,-0.7384,,,,,,90.0,,,,,,,,,18.0,,5.9,,2.0,,,1.0,,,,22.0,,18.0,10.0,28.0,0,,32.0,,,,
2023-24,11352629,6,91,Bournemouth,Away,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352637,7,91,Bournemouth,Home,84844,69752,Neto,neto,G,False,,,4.0,2.0,15.0,17.0,,,7.0,,,,,,,,,,,,0.0003675,0.0,0.0,,,,0.7451,1.0,,1.0,,,90.0,,,,,2.0,,,,7.0,,7.3,4.0,4.0,,,,,,,11.0,,8.0,16.0,24.0,0,,35.0,,,,
2023-24,11352637,7,91,Bournemouth,Home,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352651,8,91,Bournemouth,Away,84844,69752,Neto,neto,G,False,,1.0,3.0,2.0,22.0,24.0,,,15.0,,,,,,,,,,,,0.00052119,0.0,0.0,,,,-1.3757,,,,,,90.0,,,,,,,,,12.0,3.0,7.2,4.0,5.0,,,5.0,,,1.0,14.0,,13.0,23.0,36.0,0,,59.0,,,,
2023-24,11352651,8,91,Bournemouth,Away,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352657,9,91,Bournemouth,Home,84844,69752,Neto,neto,G,False,,2.0,6.0,3.0,13.0,16.0,,1.0,12.0,,,,,,1.0,,,1.0,,,0.00087631,,,,,,-0.6822,2.0,,,,,90.0,,,,,,,,,12.0,1.0,7.4,2.0,5.0,,,1.0,,,2.0,16.0,,10.0,18.0,28.0,0,,42.0,,,,
2023-24,11352657,9,91,Bournemouth,Home,815202,215531,Ionuț Radu,ionut-radu,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352668,10,91,Bournemouth,Home,815202,215531,Ionuț Radu,ionut-radu,G,False,,1.0,5.0,3.0,11.0,14.0,,,6.0,,,,,,,,,,,,0.00041005,,,,,,-0.7137,1.0,,,,,90.0,,,,,,,,,6.0,,6.8,1.0,3.0,,,,,,1.0,11.0,,6.0,14.0,20.0,0,,27.0,,,,
2023-24,11352668,10,91,Bournemouth,Home,856720,229600,Mark Travers,mark-travers,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
