season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385491,1,94,Brentford,Away,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385491,1,94,Brentford,Away,581310,154561,David Raya,david-raya,G,False,,,7.0,6.0,16.0,22.0,,,11.0,,,,,,,,,,,,0.00234136,0.0,0.0,,,,-1.2252,3.0,,,,,90.0,,,,,,,,9.0,,6.5,1.0,3.0,,,,,,,15.0,,13.0,17.0,30.0,0,,46.0,,,,
2022-23,10385510,2,94,Brentford,Home,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385510,2,94,Brentford,Home,581310,154561,David Raya,david-raya,G,False,,1.0,11.0,9.0,4.0,13.0,,2.0,10.0,,,,,,,,,2.0,,,0.00199206,0.0,0.0,,,,0.3763,2.0,,,,,90.0,,,,,,,,26.0,,7.6,2.0,4.0,,,1.0,,,1.0,36.0,,33.0,6.0,39.0,0,,50.0,,,,
2022-23,10385539,3,94,Brentford,Away,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385539,3,94,Brentford,Away,581310,154561,David Raya,david-raya,G,False,,1.0,12.0,10.0,30.0,40.0,,1.0,8.0,,,,,,,,,1.0,,,0.0048081,0.0,0.0,,,,-0.0821,2.0,,,,,90.0,,,,,,,,24.0,1.0,7.1,3.0,6.0,,,1.0,,,1.0,35.0,,28.0,35.0,63.0,0,,77.0,,,,
2022-23,10385556,4,94,Brentford,Home,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385556,4,94,Brentford,Home,581310,154561,David Raya,david-raya,G,False,,,6.0,4.0,25.0,29.0,,,9.0,,,,,,,,,1.0,,,0.00116955,0.0,0.0,,,,0.4289,1.0,,,,,90.0,,,,,,,,4.0,,7.4,3.0,6.0,,,,,,,9.0,,6.0,27.0,33.0,0,,48.0,,1.0,,
2022-23,10385588,5,94,Brentford,Away,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385588,5,94,Brentford,Away,581310,154561,David Raya,david-raya,G,False,,1.0,12.0,3.0,20.0,23.0,,,6.0,,,,,,,,,,,,0.00346902,0.0,0.0,,,,-0.0708,,,,,,90.0,,,,,,,,11.0,,6.6,1.0,3.0,,,,,,1.0,23.0,,14.0,20.0,34.0,0,,42.0,,,,
