playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,ownGoalScored,drops,fiftyFifty,totalTackles,totalShots,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,totalTouchesInOppositionBox,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,oboxBlocked,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,shotsBlockedInBox,leftFootGoals,headedGoals,iboxBlocked,cornersWon,tacklesWon,successfulDribbles,shotsBlockedOutsideBox,handballsConceded,goalAssists,secondGoalAssists,throughBalls,successfulLayoffs,foulWonPenalty,rightFootGoals,hitWoodwork,clearancesOffTheLine,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,redCards2ndYellow
220695,Paris Maghoma,Midfielder,Brentford,94,England,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128295,Christian Nørgaard,Midfielder,Arsenal,3,Denmark,2021-22,205.0,2.866,0.0,,,265.0,35.0,35.0,334.0,1665.0,2.0,,118.0,6.0,,3059.0,68.0,210.0,11.0,,67.0,160.0,1257.0,,4.0,45.6972,25.0,18.0,56.0,51.0,137.0,386.0,,33.0,0.0,415.0,39.0,1.0,,602.0,270.0,35.0,,621.0,40.0,297.0,50.0,0.0,,1577.0,410.0,,,383.0,56.0,74.0,2181.0,34.0,713.0,39.0,,8.0,69.0,87.0,,,139.0,109.0,20.0,80.0,10.0,61.0,49.0,9.0,10.0,35.0,11.0,9.0,64.0,294.0,3.0,5.0,3.8123,3.0,7.0,9.0,3.8187,3.0,,2.0,,3.0,5.0,5.0,,5.0,1.0,1.0,5.0,6.0,60.0,18.0,2.0,2.0,4.0,,6.0,17.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
207283,Mathias Jensen,Midfielder,Brentford,94,Denmark,2021-22,100.0,3.3831,0.0,,,113.0,31.0,19.0,168.0,706.0,0.0,,23.0,1.0,,1600.0,16.0,61.0,7.0,,42.0,54.0,469.0,,4.0,26.7038,34.0,6.0,11.0,30.0,84.0,199.0,,6.0,0.0,161.0,29.0,0.0,,227.0,100.0,31.0,,349.0,23.0,138.0,7.0,0.0,,661.0,272.0,,,147.0,19.0,69.0,1021.0,17.0,220.0,12.0,,0.0,55.0,37.0,,,51.0,33.0,14.0,26.0,18.0,27.0,15.0,9.0,48.0,24.0,9.0,3.0,22.0,133.0,5.0,11.0,3.1101,10.0,5.0,5.0,1.5901,,3.0,3.0,12.0,31.0,4.0,4.0,,2.0,,,2.0,12.0,18.0,15.0,3.0,,1.0,,3.0,9.0,,,,,1.0,,1.0,47.0,19.0,25.0,,,,,,
183656,Josh Dasilva,Midfielder,Brentford,94,England,2021-22,15.0,0.2824,1.0,,,14.0,9.0,2.0,15.0,87.0,0.0,,4.0,,,252.0,1.0,15.0,1.0,,5.0,12.0,71.0,,,3.0238,3.0,,6.0,4.0,14.0,10.0,,3.0,0.0,30.0,3.0,0.0,,29.0,23.0,9.0,,38.0,3.0,26.0,3.0,1.0,,84.0,33.0,,,24.0,4.0,1.0,138.0,,35.0,3.0,,0.0,1.0,5.0,,,12.0,2.0,,4.0,3.0,7.0,1.0,4.0,3.0,9.0,,,1.0,24.0,2.0,1.0,0.0773,1.0,1.0,,,,,,7.0,1.0,,,,1.0,,,1.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
428580,Frank Onyeka,Midfielder,Brentford,94,Nigeria,2021-22,93.0,0.4156,0.0,,,50.0,20.0,12.0,62.0,313.0,0.0,,37.0,1.0,,1050.0,21.0,76.0,3.0,,22.0,60.0,240.0,,1.0,15.4035,4.0,2.0,13.0,19.0,72.0,85.0,,25.0,0.0,169.0,14.0,0.0,,96.0,69.0,20.0,,124.0,16.0,132.0,16.0,0.0,,312.0,116.0,,,69.0,33.0,11.0,519.0,6.0,128.0,25.0,,4.0,12.0,15.0,,,48.0,25.0,11.0,18.0,11.0,16.0,8.0,6.0,11.0,20.0,6.0,2.0,14.0,63.0,7.0,11.0,0.7988,1.0,5.0,5.0,0.9777,,,1.0,8.0,1.0,3.0,3.0,,4.0,,,4.0,5.0,17.0,11.0,1.0,,,,,7.0,1.0,,1.0,,2.0,1.0,2.0,,,,,,,,,
80607,Christian Eriksen,Midfielder,Manchester United,1,Denmark,2021-22,37.0,2.7745,0.0,,,62.0,11.0,10.0,104.0,544.0,1.0,,11.0,4.0,,938.0,6.0,29.0,2.0,,15.0,24.0,380.0,,3.0,11.846,26.0,2.0,12.0,10.0,31.0,147.0,,3.0,1.0,66.0,8.0,0.0,,199.0,69.0,11.0,,294.0,8.0,55.0,5.0,0.0,,499.0,196.0,,,103.0,5.0,60.0,767.0,5.0,179.0,4.0,,1.0,42.0,20.0,,,18.0,13.0,15.0,9.0,18.0,13.0,7.0,8.0,53.0,17.0,6.0,1.0,9.0,95.0,5.0,,1.5152,7.0,7.0,9.0,1.4644,1.0,,6.0,1.0,33.0,3.0,3.0,,1.0,1.0,,1.0,9.0,6.0,8.0,6.0,,4.0,1.0,4.0,1.0,,,,,5.0,,5.0,54.0,18.0,29.0,5.0,5.0,0.2197,,,
450539,Myles Peart-Harris,Midfielder,Brentford,94,England,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432160,Shandon Baptiste,Midfielder,Luton Town,102,Grenada,2021-22,54.0,0.5073,1.0,,,34.0,22.0,9.0,44.0,298.0,1.0,,25.0,,,905.0,18.0,51.0,4.0,,13.0,44.0,245.0,,,12.6379,9.0,,11.0,15.0,36.0,67.0,,11.0,0.0,105.0,10.0,0.0,,85.0,62.0,22.0,,146.0,11.0,80.0,7.0,0.0,,297.0,96.0,,,84.0,6.0,9.0,462.0,8.0,109.0,3.0,,0.0,10.0,10.0,,,31.0,14.0,7.0,12.0,7.0,16.0,10.0,9.0,7.0,21.0,3.0,,11.0,62.0,2.0,6.0,0.7267,1.0,5.0,4.0,0.3957,1.0,1.0,2.0,13.0,1.0,1.0,1.0,,3.0,1.0,,3.0,4.0,4.0,19.0,2.0,,,,,2.0,,,,,2.0,,2.0,,,,,,,,,1.0
204580,Vitaly Janelt,Midfielder,Brentford,94,Germany,2021-22,88.0,1.9666,0.0,,,153.0,31.0,27.0,210.0,950.0,3.0,,59.0,5.0,,2307.0,25.0,132.0,8.0,,33.0,98.0,688.0,,3.0,32.8626,23.0,10.0,30.0,37.0,63.0,251.0,,25.0,0.0,220.0,16.0,1.0,,341.0,143.0,31.0,,407.0,29.0,161.0,34.0,0.0,,919.0,299.0,,,204.0,26.0,52.0,1321.0,31.0,339.0,15.0,,3.0,57.0,60.0,,,64.0,61.0,20.0,31.0,18.0,47.0,29.0,2.0,34.0,13.0,8.0,7.0,28.0,154.0,9.0,14.0,2.3636,4.0,10.0,12.0,2.5584,4.0,3.0,5.0,4.0,6.0,5.0,5.0,2.0,5.0,3.0,1.0,5.0,7.0,32.0,13.0,5.0,1.0,,1.0,4.0,8.0,,,,,3.0,1.0,3.0,12.0,1.0,11.0,,,,,,
481405,Mads Bidstrup,Midfielder,FC Red Bull Salzburg,857,Denmark,2021-22,5.0,0.0009,0.0,,,3.0,4.0,,3.0,13.0,0.0,,,,,37.0,,1.0,,,1.0,1.0,10.0,,,0.4238,,,2.0,,5.0,2.0,,,0.0,6.0,,0.0,,4.0,3.0,4.0,,2.0,,6.0,,0.0,,13.0,6.0,,,5.0,1.0,,21.0,,8.0,,,0.0,,2.0,,,3.0,1.0,,2.0,,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461558,Max Haygarth,Midfielder,Altrincham,295,England,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
