season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827867,1,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,1.0,9.0,1.0,10.0,3.0,3.0,1.0,,,,,,,,4.0,7.0,,,2.0,,,,,,,,90.0,,,,,,,10.0,,6.7,,,1.0,,3.0,1.0,,,1.0,2.0,14.0,2.0,16.0,1,1.0,32.0,3.0,3.0,,
2018-19,7827867,1,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827867,1,36,Brighton_and_Hove_Albion,Away,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,1.0,,1.0,2.0,2.0,3.0,,,1.0,,,,,,,2.0,3.0,1.0,,,1.0,,,,,,1.0,,19.0,,,,,,,3.0,,6.8,,,,,,1.0,2.0,,1.0,,3.0,2.0,3.0,0,,8.0,,,1.0,
2018-19,7827896,2,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,9.0,5.0,14.0,9.0,6.0,4.0,,,,1.0,,,3.0,21.0,8.0,,,9.0,,1.0,,,,,,89.0,1.0,,,,,,16.0,,6.9,,,,,,,1.0,,1.0,2.0,19.0,6.0,24.0,1,1.0,36.0,2.0,1.0,,
2018-19,7827896,2,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827896,2,36,Brighton_and_Hove_Albion,Home,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827908,3,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,,8.0,7.0,15.0,6.0,7.0,1.0,,,,,,,1.0,11.0,9.0,,,3.0,,,,,,1.0,,90.0,,,,,,,9.0,,6.5,,,,,3.0,2.0,,,,2.0,13.0,7.0,20.0,0,1.0,32.0,2.0,,1.0,
2018-19,7827908,3,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,2.0,3.0,5.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,15.0,,,,,,,3.0,,6.5,,,,,,,,,,,3.0,4.0,7.0,0,,9.0,,1.0,,
2018-19,7827908,3,36,Brighton_and_Hove_Albion,Away,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,,,,2.0,2.0,4.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,14.0,,,,,,,3.0,,6.5,,,,,1.0,1.0,,,1.0,,4.0,2.0,6.0,0,1.0,10.0,,,,1.0
2018-19,7827914,4,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,8.0,1.0,9.0,7.0,8.0,,,,,1.0,,,,12.0,13.0,,,3.0,,2.0,,,1.0,,,90.0,3.0,,,,,1.0,15.0,,8.8,,,3.0,,,1.0,,,,,16.0,3.0,19.0,6,,38.0,4.0,5.0,,
2018-19,7827914,4,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,3.0,,3.0,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,16.0,1.0,,,,,,2.0,,6.7,,,,,,,,,,1.0,4.0,,4.0,1,,7.0,,1.0,,
2018-19,7827914,4,36,Brighton_and_Hove_Albion,Home,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,,,,3.0,2.0,5.0,,,2.0,,,,,,,1.0,3.0,2.0,,,1.0,,,,,,,,16.0,,,,,,,3.0,,6.4,,,,,,1.0,1.0,,,1.0,4.0,2.0,5.0,0,1.0,14.0,,1.0,,1.0
2018-19,7827924,5,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,,15.0,3.0,18.0,6.0,5.0,,,,,,,,1.0,10.0,7.0,,,3.0,,1.0,,,,1.0,,90.0,1.0,1.0,,,,,10.0,,7.1,,,,,,,1.0,,,2.0,21.0,3.0,23.0,1,1.0,34.0,2.0,1.0,,1.0
2018-19,7827924,5,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,2.0,1.0,3.0,,1.0,1.0,,1.0,,,,,,1.0,2.0,,,1.0,,,,,,1.0,,14.0,1.0,,,,,,7.0,,6.4,,,,,,,,,,,2.0,4.0,6.0,1,,13.0,4.0,1.0,,
2018-19,7827924,5,36,Brighton_and_Hove_Albion,Away,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,,,,7.0,,7.0,,,1.0,,,1.0,,,,,2.0,1.0,,,1.0,,,,1.0,,,,19.0,,,,,,,2.0,,6.8,,,2.0,,,1.0,,,,,8.0,,8.0,3,1.0,14.0,,,,1.0
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,1.0,7.0,4.0,11.0,4.0,4.0,1.0,,,,,,,3.0,8.0,7.0,,,4.0,,,,,,,,90.0,,,1.0,,,,18.0,,5.9,,,,,,1.0,,,1.0,,18.0,5.0,23.0,0,,33.0,3.0,2.0,1.0,
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,2.0,1.0,3.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,11.0,,,,,,,3.0,,6.4,,,,,,,,,,1.0,3.0,1.0,4.0,0,,6.0,2.0,,,
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
