season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896998,1,36,Brighton_and_Hove_Albion,Home,17054,39155,Adam Lallana,adam-lallana,M,False,,,,12.0,4.0,16.0,2.0,1.0,2.0,,,,1.0,,,1.0,4.0,3.0,,,,,,,,1.0,2.0,,45.0,,,,,,,,3.0,,6.7,,,,,1.0,1.0,,,,,13.0,5.0,18.0,0,,24.0,,1.0,1.0,
2020-21,8896998,1,36,Brighton_and_Hove_Albion,Home,21299,40845,Dale Stephens,dale-stephens,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896998,1,36,Brighton_and_Hove_Albion,Home,48480,60307,Pascal Groß,pascal-gro,M,True,,,3.0,7.0,5.0,12.0,,,3.0,,,,,,,,,1.0,,,,,,,,1.0,,,11.0,,,,,,,,1.0,,6.9,,,,,,,,,3.0,,8.0,5.0,13.0,0,1.0,15.0,,,,1.0
2020-21,8896998,1,36,Brighton_and_Hove_Albion,Home,301288,109345,Solly March,solly-march,M,False,1.0,,5.0,25.0,15.0,39.0,1.0,,4.0,,,1.0,,,,,5.0,6.0,,,2.0,,,,,2.0,1.0,,90.0,,,,,,,,19.0,,7.0,,,,,1.0,5.0,6.0,,8.0,,37.0,17.0,48.0,1,2.0,80.0,2.0,1.0,3.0,
2020-21,8896998,1,36,Brighton_and_Hove_Albion,Home,844842,227127,Yves Bissouma,yves-bissouma,M,False,,,8.0,25.0,21.0,46.0,1.0,2.0,8.0,,,,1.0,,,,6.0,7.0,,,2.0,,,,,3.0,,,90.0,,,,,,,,14.0,,6.9,,,2.0,,1.0,2.0,,,11.0,,34.0,23.0,57.0,2,3.0,71.0,1.0,2.0,,3.0
2020-21,8896998,1,36,Brighton_and_Hove_Albion,Home,871822,235382,Steven Alzate,steven-alzate,M,False,,,5.0,20.0,8.0,28.0,,,4.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,2.0,,79.0,1.0,,,,,,,7.0,,6.8,,,,,1.0,2.0,,,5.0,,24.0,10.0,34.0,2,,42.0,,,1.0,
2020-21,8896922,2,36,Brighton_and_Hove_Albion,Away,17054,39155,Adam Lallana,adam-lallana,M,True,,,,8.0,4.0,12.0,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,12.0,,,,,,,,2.0,,6.6,,,,,3.0,1.0,,,,,9.0,4.0,13.0,0,,19.0,,,,
2020-21,8896922,2,36,Brighton_and_Hove_Albion,Away,48480,60307,Pascal Groß,pascal-gro,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896922,2,36,Brighton_and_Hove_Albion,Away,301288,109345,Solly March,solly-march,M,False,,,1.0,15.0,15.0,30.0,,1.0,3.0,,,,,,,,1.0,4.0,,,,,,,,,1.0,,78.0,,,,,,,,14.0,,6.9,,,,,,1.0,2.0,,6.0,,22.0,18.0,38.0,0,3.0,54.0,1.0,,,1.0
2020-21,8896922,2,36,Brighton_and_Hove_Albion,Away,844842,227127,Yves Bissouma,yves-bissouma,M,False,,,7.0,25.0,21.0,46.0,1.0,2.0,10.0,,,,,,,1.0,4.0,5.0,,,1.0,,,,,,,,89.0,,,,,,,,9.0,,6.7,,,2.0,,1.0,1.0,,,10.0,,26.0,24.0,50.0,2,1.0,65.0,2.0,2.0,,1.0
