playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,fiftyFifty,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,oboxTarget,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,handballsConceded,expectedGoals,goals,cornersTakenInclShortCorners,successfulCornersIntoBox,shotsBlockedInBox,leftFootGoals,iboxBlocked,unsuccessfulCornersIntoBox,clearancesOffTheLine,headedGoals,foulWonPenalty,penaltiesConceded,rightFootGoals,secondGoalAssists,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,otherGoals
232792,Tariq Lamptey,Defender,Brighton and Hove Albion,36,Ghana,2021-22,0.0,0.0,4.0,114.0,2.8711,42.0,,36.0,,2.0,73.0,30.0,18.0,16.0,87.0,614.0,0.0,,34.0,3.0,,1556.0,122.0,3.0,37.0,115.0,521.0,,1.0,21.1211,19.0,,20.0,21.0,87.0,28.0,,50.0,0.0,236.0,10.0,0.0,,114.0,100.0,30.0,,,11.0,345.0,18.0,202.0,7.0,,610.0,279.0,25.0,,,277.0,27.0,6.0,1104.0,6.0,201.0,11.0,,14.0,29.0,19.0,4.0,4.0,0.5686,15.0,2.0,5.0,74.0,3.0,4.0,14.0,2.0,19.0,2.0,2.0,27.0,41.0,14.0,2.0,32.0,74.0,53.0,11.0,15.0,29.0,3.0,21.0,195.0,47.0,9.0,4.0,3.0,0.8438,,,,,,,,,,,,,,,,,,,,,
179268,Marc Cucurella,Defender,Chelsea,8,Spain,2021-22,0.0,0.0,6.0,132.0,2.818,59.0,,93.0,,5.0,252.0,35.0,30.0,35.0,343.0,1901.0,0.0,,76.0,8.0,,3092.0,191.0,11.0,104.0,151.0,1504.0,,2.0,39.2615,41.0,5.0,65.0,39.0,96.0,755.0,,30.0,0.0,323.0,28.0,1.0,,659.0,247.0,35.0,,,31.0,938.0,28.0,247.0,40.0,,1890.0,551.0,62.0,,,119.0,28.0,54.0,2827.0,49.0,649.0,11.0,,91.0,122.0,25.0,4.0,3.0,0.3719,14.0,1.0,3.0,79.0,3.0,2.0,,1.0,29.0,1.0,1.0,36.0,52.0,31.0,1.0,27.0,86.0,42.0,11.0,19.0,28.0,14.0,30.0,368.0,303.0,3.0,2.0,1.0,0.6767,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,
110735,Adam Webster,Defender,Brighton and Hove Albion,36,England,2021-22,0.0,0.0,5.0,41.0,0.3192,31.0,,26.0,,3.0,127.0,22.0,14.0,16.0,219.0,1152.0,1.0,,72.0,4.0,,1431.0,96.0,9.0,15.0,40.0,866.0,,1.0,17.9463,1.0,9.0,62.0,20.0,25.0,174.0,,4.0,0.0,137.0,8.0,1.0,,540.0,89.0,22.0,,,18.0,351.0,11.0,65.0,56.0,,1130.0,237.0,8.0,,,354.0,16.0,67.0,1355.0,27.0,583.0,8.0,,92.0,70.0,1.0,1.0,3.0,0.7561,7.0,,,5.0,,1.0,6.0,,1.0,1.0,1.0,16.0,13.0,1.0,,2.0,5.0,3.0,4.0,2.0,10.0,17.0,17.0,84.0,16.0,3.0,1.0,,0.8994,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,
83299,Lewis Dunk,Defender,Brighton and Hove Albion,36,England,2021-22,1.0,1.0,2.0,54.0,0.4076,38.0,,10.0,,,106.0,29.0,17.0,29.0,226.0,1945.0,1.0,,118.0,10.0,,2574.0,99.0,9.0,8.0,18.0,1583.0,,3.0,32.1947,3.0,9.0,111.0,32.0,17.0,753.0,,4.0,0.0,153.0,4.0,0.0,,653.0,170.0,29.0,,,2.0,448.0,23.0,35.0,81.0,1.0,1882.0,248.0,8.0,,,390.0,9.0,136.0,2219.0,38.0,1272.0,1.0,,120.0,68.0,1.0,6.0,7.0,1.6429,13.0,,,2.0,,,,,1.0,6.0,6.0,37.0,38.0,,,,2.0,3.0,6.0,3.0,4.0,28.0,27.0,149.0,6.0,,,1.0,1.3471,1.0,,,6.0,,6.0,,1.0,1.0,,,,,,,,,,,,
442229,Michal Karbownik,Defender,Brighton and Hove Albion,36,Poland,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61933,Shane Duffy,Defender,Norwich City U21,12946,Ireland,2021-22,0.0,0.0,7.0,47.0,0.1853,22.0,,15.0,,,68.0,18.0,14.0,15.0,130.0,1029.0,0.0,,92.0,4.0,,1434.0,86.0,1.0,9.0,21.0,834.0,,2.0,17.3143,4.0,4.0,75.0,19.0,20.0,267.0,,5.0,1.0,133.0,6.0,1.0,,319.0,68.0,18.0,,,3.0,221.0,18.0,41.0,65.0,,1017.0,140.0,12.0,,,385.0,15.0,65.0,1230.0,22.0,679.0,9.0,,62.0,37.0,1.0,6.0,6.0,0.2914,16.0,,,,1.0,,3.0,1.0,1.0,4.0,4.0,27.0,32.0,2.0,1.0,,,,10.0,1.0,1.0,18.0,16.0,58.0,6.0,,,,0.9781,1.0,,,6.0,,6.0,,1.0,1.0,,,,,,,,,,,,
433589,Haydon Roberts,Defender,Reading,108,England,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111478,Joël Veltman,Defender,Brighton and Hove Albion,36,Netherlands,2021-22,0.0,0.0,6.0,125.0,1.3052,57.0,,74.0,,3.0,209.0,34.0,40.0,33.0,321.0,1584.0,0.0,,86.0,8.0,,2881.0,183.0,11.0,61.0,126.0,1199.0,,3.0,37.5131,16.0,11.0,85.0,39.0,96.0,166.0,,38.0,0.0,308.0,30.0,1.0,,721.0,182.0,34.0,,,26.0,556.0,28.0,222.0,57.0,,1550.0,487.0,48.0,,,487.0,39.0,64.0,2317.0,61.0,715.0,24.0,,112.0,105.0,8.0,6.0,3.0,0.2306,6.0,1.0,,34.0,,2.0,1.0,,8.0,2.0,2.0,29.0,27.0,70.0,,16.0,34.0,26.0,3.0,4.0,16.0,16.0,45.0,210.0,168.0,7.0,2.0,1.0,0.7262,1.0,,,4.0,,4.0,,,,1.0,1.0,1.0,1.0,,,,,,,,
448496,Ed Turns,Defender,Exeter City,71,Wales,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445548,Odeluga Offiah,Defender,Brighton and Hove Albion,36,England,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
