playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,goalKicks,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalAssists,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,expectedGoalsFreekick,overruns,throughBalls,successfulLayoffs,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,successfulCornersIntoBox,homeGoals,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,shotsBlockedOutsideBox,rightFootGoals,redCards2ndYellow,hitWoodwork,secondGoalAssists,setPiecesGoals,handballsConceded,penaltiesTaken,headedGoals,penaltyGoals,foulWonPenalty,throwInsToOppositionPlayer,lastPlayerTackle,ownGoalScored
110735,Adam Webster,Defender,Brighton,36,England,2024-25,24.0,0.2652,0.0,2.0,1.0,0.0319,10.0,3.0,38.0,14.0,11.0,85.0,2.0,721.0,1.0,43.0,3.0,31.0,3.0,1.0,888.0,1.0,7.0,37.0,3.0,1.0,12.0,13.0,599.0,15.0,3.0,10.5157,3.0,4.0,40.0,11.0,2.0,17.0,276.0,2.0,0.0,61.0,7.0,274.0,35.0,14.0,4.0,2.0,239.0,8.0,2.0,3.0,2.0,30.0,24.0,0.0,43.0,648.0,2.0,1.0,97.0,6.0,1.0,9.0,115.0,7.0,20.0,1.0,37.0,56.0,840.0,3.0,14.0,397.0,3.0,0.2468,1.0,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547720,Charlie Tasker,Defender,Brighton,36,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439135,Eiran Cashin,Defender,Brighton,36,Ireland,2024-25,3.0,0.0044,0.0,,,,,,2.0,2.0,,4.0,1.0,27.0,,,2.0,3.0,,,19.0,,1.0,2.0,,,,,22.0,,,1.5652,,,2.0,2.0,,2.0,11.0,,0.0,5.0,,16.0,1.0,2.0,,1.0,11.0,2.0,1.0,1.0,,2.0,2.0,0.0,,27.0,,,6.0,,,,,,,,1.0,,32.0,,1.0,12.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231416,Ferdi Kadioglu,Defender,Brighton,36,Turkey,2024-25,20.0,0.2734,0.0,2.0,1.0,0.0429,10.0,2.0,17.0,6.0,5.0,22.0,5.0,150.0,1.0,,1.0,4.0,1.0,,388.0,,1.0,19.0,2.0,,1.0,16.0,124.0,9.0,1.0,7.3864,5.0,,17.0,8.0,1.0,19.0,34.0,3.0,0.0,39.0,,40.0,14.0,6.0,4.0,3.0,70.0,6.0,5.0,5.0,1.0,35.0,3.0,0.0,,148.0,1.0,1.0,44.0,6.0,3.0,2.0,36.0,5.0,8.0,,4.0,40.0,242.0,4.0,3.0,62.0,4.0,0.4364,1.0,5.0,5.0,,,,,,,,,,,,,,4.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,4.0,,,0.0,,,,,,12.0,1.0,1.0,,,,,,,,,,3.0,,
604988,Freddie Simmonds,Defender,Brighton,36,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223434,Igor Julio,Defender,Brighton,36,Brazil,2024-25,22.0,0.2686,0.0,,,,5.0,1.0,33.0,13.0,10.0,52.0,3.0,713.0,,25.0,3.0,14.0,1.0,,960.0,,6.0,24.0,1.0,,15.0,16.0,633.0,1.0,2.0,15.8122,2.0,5.0,38.0,17.0,,16.0,317.0,6.0,0.0,46.0,10.0,218.0,42.0,13.0,,1.0,221.0,16.0,3.0,1.0,,32.0,8.0,0.0,25.0,676.0,1.0,,61.0,5.0,5.0,14.0,112.0,9.0,4.0,,28.0,66.0,831.0,2.0,10.0,441.0,4.0,0.0477,4.0,19.0,24.0,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,2.0,,
589100,Jacob Slater,Defender,Brighton,36,Ireland,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469142,Jan Paul van Hecke,Defender,Brighton,36,Netherlands,2024-25,104.0,1.4368,1.0,4.0,5.0,0.8571,45.0,13.0,143.0,34.0,33.0,261.0,6.0,2265.0,,26.0,1.0,134.0,7.0,3.0,2959.0,3.0,51.0,156.0,5.0,,22.0,73.0,1867.0,34.0,8.0,43.2813,15.0,13.0,139.0,47.0,2.0,53.0,346.0,24.0,0.0,260.0,15.0,870.0,131.0,34.0,16.0,4.0,831.0,42.0,6.0,11.0,2.0,126.0,83.0,0.0,26.0,2135.0,8.0,2.0,293.0,29.0,5.0,22.0,939.0,25.0,24.0,,137.0,110.0,2645.0,2.0,43.0,1178.0,15.0,1.3573,6.0,118.0,65.0,,,1.0,,,,,,,,,,,5.0,,,4.0,3.0,1.0,0.0,2.0,,1.0,5.0,,,1.0,1.0,,,,,7.0,2.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,
111478,Joël Veltman,Defender,Brighton,36,Netherlands,2024-25,73.0,1.3264,0.0,2.0,1.0,0.489,43.0,4.0,102.0,21.0,19.0,136.0,16.0,774.0,,,2.0,41.0,5.0,1.0,1699.0,1.0,19.0,112.0,2.0,1.0,36.0,90.0,606.0,10.0,5.0,22.8571,6.0,4.0,62.0,24.0,1.0,54.0,84.0,44.0,0.0,185.0,15.0,277.0,68.0,21.0,14.0,5.0,324.0,22.0,16.0,12.0,1.0,144.0,22.0,0.0,,732.0,3.0,6.0,216.0,29.0,4.0,7.0,275.0,27.0,19.0,,32.0,138.0,1192.0,5.0,23.0,322.0,11.0,0.4675,5.0,34.0,44.0,,,,,,,,,,,,,,8.0,,1.0,2.0,1.0,,,1.0,,,8.0,,,,,,,,,99.0,1.0,,,1.0,,,5.0,,,,,29.0,,
83299,Lewis Dunk,Defender,Brighton,36,England,2024-25,50.0,1.0385,0.0,3.0,3.0,0.7282,17.0,9.0,76.0,25.0,23.0,166.0,5.0,1934.0,2.0,54.0,2.0,83.0,3.0,3.0,2083.0,3.0,31.0,79.0,3.0,,17.0,27.0,1678.0,21.0,7.0,34.6563,6.0,17.0,78.0,42.0,2.0,19.0,726.0,11.0,0.0,129.0,10.0,584.0,104.0,25.0,7.0,1.0,592.0,39.0,5.0,4.0,2.0,46.0,52.0,0.0,54.0,1813.0,6.0,4.0,188.0,10.0,,18.0,470.0,7.0,13.0,,90.0,154.0,2151.0,2.0,34.0,1176.0,3.0,0.8107,5.0,90.0,40.0,,,,,,,,,,,,,,,0.0868,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,10.0,1.0,,,,,,,,,,,,,1.0
