playerId,displayName,firstName,lastName,shirtNumber,position,preferredFoot,nationality,isoCode,birthDate,birthCountry,age,height_cm,weight_kg,joinDate,onLoan
489639,Bart Verbruggen,Bart,Verbruggen,1,Goalkeeper,Right,Netherlands,NL,2002-08-18,Netherlands,24,193.0,89.0,2023-07-03,False
49262,Jason Steele,Jason,Steele,23,Goalkeeper,Right,England,GB-ENG,1990-08-18,England,36,188.0,79.0,2018-07-01,False
209288,Tom McGill,Tom,McGill,38,Goalkeeper,Right,Canada,CA,2000-03-25,Canada,26,185.0,80.0,2021-02-02,False
222694,Pascal Struijk,Pascal,Struijk,4,Defender,Left,Netherlands,NL,1999-08-11,Belgium,27,190.0,79.0,2026-06-30,False
83299,Lewis Dunk,Lewis,Dunk,5,Defender,Right,England,GB-ENG,1991-11-21,England,34,192.0,88.0,2009-07-01,False
512123,Jaouen Hadjam,Jaouen,Hadjam,6,Defender,Left,Algeria,DZ,2003-03-26,France,23,185.0,82.0,2026-08-25,False
451490,Costinha,João Pedro,Loureiro da Costa,20,Defender,Right,Portugal,PT,2000-03-26,Portugal,26,181.0,76.0,2026-06-15,False
204120,Olivier Boscagli,Olivier,Boscagli,21,Defender,Left,France,FR,1997-11-18,,28,181.0,68.0,2025-07-02,False
231416,Ferdi Kadioglu,Ferdi,Kadioglu,24,Defender,Right,Turkey,TR,1999-10-07,Netherlands,26,174.0,68.0,2024-08-27,False
465730,Maxim De Cuyper,Maxim,De Cuyper,29,Defender,Left,Belgium,BE,2000-12-22,Belgium,25,182.0,71.0,2025-07-05,False
454490,Michael Svoboda,Michael,Svoboda,30,Defender,Right,Austria,AT,1998-10-15,Austria,27,195.0,86.0,2026-07-02,False
610799,Luka Vuskovic,Luka,Vuskovic,44,Defender,Right,Croatia,HR,2007-02-24,Croatia,19,193.0,86.0,2026-07-14,False
451340,Kaoru Mitoma,Kaoru,Mitoma,7,Midfielder,Right,Japan,JP,1997-05-20,Japan,29,178.0,73.0,2021-08-09,False
532529,Jack Hinshelwood,Jack,Hinshelwood,8,Midfielder,Right,England,GB-ENG,2005-04-11,England,21,181.0,76.0,2022-12-30,False
60307,Pascal Groß,Pascal,Groß,13,Midfielder,Right,Germany,DE,1991-06-15,Germany,35,181.0,78.0,2026-01-02,False
592984,Chema Andrés,José María,Andrés Baixauli,14,Midfielder,Right,Spain,ES,2005-04-25,Spain,21,190.0,82.0,2026-09-01,False
514254,Diego Gómez,Diego,Gómez,25,Midfielder,Right,Paraguay,PY,2003-03-27,Paraguay,23,185.0,77.0,2025-01-01,False
509416,Yasin Ayari,Yasin,Ayari,26,Midfielder,Right,Sweden,SE,2003-10-06,Sweden,22,172.0,69.0,2023-01-30,False
467779,Mats Wieffer,Mats,Wieffer,27,Midfielder,Right,Netherlands,NL,1999-11-16,Netherlands,26,189.0,78.0,2024-07-06,False
219249,Matt O'Riley,Matt,O'Riley,33,Midfielder,Left,Denmark,DK,2000-11-21,England,25,187.0,77.0,2024-08-26,False
611695,Malick Yalcouyé,Malick,Yalcouyé,35,Midfielder,Right,Cote d’Ivoire,CI,2005-11-18,Mali,20,169.0,,2024-07-12,False
596049,Shane Nti,Shane,Nti,51,Midfielder,,England,GB-ENG,2007-05-07,England,19,,,2026-08-26,False
608181,Stefanos Tzimas,Stefanos,Tzimas,9,Forward,Both,Greece,GR,2006-01-06,Greece,20,186.0,77.0,2025-02-03,False
463067,Georginio Rutter,Georginio,Rutter,10,Forward,Left,France,FR,2002-04-20,France,24,182.0,83.0,2024-08-19,False
592031,Yankuba Minteh,Yankuba,Minteh,11,Forward,Left,Gambia,GM,2004-07-22,Gambia,22,180.0,65.0,2024-07-01,False
538007,Promise David,Promise,David,12,Forward,Right,Canada,CA,2001-07-03,Canada,25,195.0,91.0,2026-08-18,True
612855,Ibrahim Osman,Ibrahim,Osman,15,Forward,Right,Ghana,GH,2004-11-29,Ghana,21,179.0,64.0,2024-07-01,False
647850,Charalampos Kostoulas,Charalampos,Kostoulas,19,Forward,Right,Greece,GR,2007-05-30,Greece,19,185.0,,2025-07-01,False
487117,Evan Ferguson,Evan,Ferguson,28,Forward,Right,Ireland,IE,2004-10-19,Republic of Ireland,21,183.0,78.0,2021-08-23,False
700308,Zadok Yohanna,Zadok,Yohanna,36,Forward,Left,Nigeria,NG,2007-06-29,Nigeria,19,184.0,,2026-06-15,False
471551,Femi Azeez,Femi,Azeez,39,Forward,Left,Nigeria,NG,2001-06-05,England,25,181.0,69.0,2026-09-01,False
556637,Nehemiah Oriola,Nehemiah,Oriola,49,Forward,Right,England,GB-ENG,2007-06-11,England,19,,,2025-10-17,False
