season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,substitute.1,totalShots
2009-10,1062471,1,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062471,1,90,Burnley,Away,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062471,1,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062471,1,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,18.0,0.0,,0.0
2009-10,1062471,1,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062476,2,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,1.0,0.0,90.0,0.0,,0.0
2009-10,1062476,2,90,Burnley,Home,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062476,2,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062476,2,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062476,2,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,17.0,0.0,,0.0
2009-10,1062486,3,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,1.0,90.0,0.0,,0.0
2009-10,1062486,3,90,Burnley,Home,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062486,3,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062486,3,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,6.0,0.0,,0.0
2009-10,1062486,3,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062497,4,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062497,4,90,Burnley,Away,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062497,4,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,16.0,0.0,,0.0
2009-10,1062497,4,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,12.0,0.0,,0.0
2009-10,1062497,4,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,32.0,0.0,,0.0
2009-10,1062507,5,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062507,5,90,Burnley,Away,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062507,5,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062507,5,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062507,5,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,15.0,0.0,,0.0
2009-10,1062517,6,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,1.0,0.0,90.0,0.0,,0.0
2009-10,1062517,6,90,Burnley,Home,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,28.0,0.0,,0.0
2009-10,1062517,6,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062517,6,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062517,6,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,62.0,0.0,,0.0
2009-10,1062532,7,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062532,7,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062532,7,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,9.0,0.0,,0.0
2009-10,1062532,7,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062537,8,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062537,8,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,,,,,,
2009-10,1062537,8,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062546,9,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,1.0,0.0,90.0,0.0,,0.0
2009-10,1062546,9,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,12.0,0.0,,0.0
2009-10,1062546,9,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062556,10,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062556,10,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,8.0,0.0,,0.0
2009-10,1062556,10,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062556,10,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062567,11,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062567,11,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,1.0,0.0,18.0,0.0,,0.0
2009-10,1062567,11,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,5.0,0.0,,0.0
2009-10,1062579,12,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062579,12,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,1.0,29.0,0.0,,0.0
2009-10,1062579,12,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062579,12,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,28.0,0.0,,0.0
2009-10,1062586,13,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062586,13,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,21.0,0.0,,0.0
2009-10,1062586,13,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062586,13,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,9.0,0.0,,0.0
2009-10,1062601,14,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062601,14,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,20.0,0.0,,0.0
2009-10,1062601,14,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062610,15,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062610,15,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062610,15,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,17.0,0.0,,0.0
2009-10,1062616,16,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,1.0,90.0,0.0,,0.0
2009-10,1062616,16,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,13.0,0.0,,0.0
2009-10,1062616,16,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,0.0,0.0,4.0,0.0,,0.0
2009-10,1062616,16,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062626,17,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062626,17,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062626,17,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062626,17,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,20.0,0.0,,0.0
2009-10,1062643,18,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062643,18,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062643,18,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062643,18,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,23.0,0.0,,0.0
2009-10,1062646,19,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,1.0,0.0,90.0,0.0,,0.0
2009-10,1062646,19,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062646,19,90,Burnley,Home,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062646,19,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062658,20,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,85.0,0.0,,0.0
2009-10,1062658,20,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062658,20,90,Burnley,Away,76607,,Fernando Guerrero,fernando-guerrero,M,True,,,,,,
2009-10,1062658,20,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1280323,21,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,True,0.0,0.0,19.0,0.0,,0.0
2009-10,1280323,21,90,Burnley,Home,20993,40145,Jack Cork,jack-cork,M,False,0.0,0.0,46.0,0.0,,0.0
2009-10,1280323,21,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,44.0,0.0,,0.0
2009-10,1062679,22,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062679,22,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,73.0,0.0,,0.0
2009-10,1062679,22,90,Burnley,Away,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,0.0,0.0,17.0,0.0,,0.0
2009-10,1062684,23,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062684,23,90,Burnley,Away,9906,20491,Chris McCann,chris-mccann,M,False,0.0,0.0,12.0,0.0,,0.0
2009-10,1062684,23,90,Burnley,Away,38075,55038,Kevin McDonald,kevin-mcdonald,M,True,0.0,0.0,78.0,0.0,,0.0
2009-10,1062696,24,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062696,24,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,60.0,0.0,,0.0
2009-10,1062696,24,90,Burnley,Home,2280184,,Joey Gudjonsson,joey-gudjonsson,M,True,,,,,,
2009-10,1062706,25,90,Burnley,Home,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062706,25,90,Burnley,Home,20993,40145,Jack Cork,jack-cork,M,True,,,,,,
2009-10,1062706,25,90,Burnley,Home,38075,55038,Kevin McDonald,kevin-mcdonald,M,False,0.0,0.0,90.0,0.0,,0.0
2009-10,1062715,26,90,Burnley,Away,9900,3735,Wade Elliott,wade-elliott,M,False,0.0,0.0,55.0,0.0,,0.0
2009-10,1062715,26,90,Burnley,Away,20993,40145,Jack Cork,jack-cork,M,True,0.0,0.0,35.0,0.0,,0.0
