playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,goals,rightFootGoals,leftFootGoals,headedGoals,cornersTakenInclShortCorners,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,unsuccessfulCornersIntoBox,successfulCornersIntoBox,penaltiesConceded,ownGoalScored,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals
17349,Aaron Lennon,Midfielder,Burnley,90,England,2017-18,127.0,7.0,1.2717,0.0,7.0,5.0,0.7815,37.0,7.0,120.0,29.0,2.0,18.0,2.0,22.0,140.0,31.0,468.0,1.0,2.0,7.0,31.0,1.0,1.0,7.0,3.0,1916.0,3.0,3.0,19.0,81.0,5.0,65.0,69.0,320.0,46.0,3.0,16.5737,9.0,2.0,16.0,30.0,3.0,108.0,52.0,20.0,208.0,27.0,152.0,82.0,29.0,1.0,13.0,22.0,229.0,25.0,31.0,3.0,177.0,12.0,0.0,466.0,2.0,15.0,254.0,24.0,15.0,6.0,127.0,21.0,19.0,8.0,137.0,797.0,13.0,14.0,1.0,2.0,13.0,106.0,19.0,1.0,0.5866,2.0,20.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28609,Adam Legzdins,Goalkeeper,Burnley,90,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234483,Aiden O'Neill,Midfielder,Burnley,90,Australia,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,Burnley,90,Denmark,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44699,Ashley Barnes,Forward,Burnley,90,England,2017-18,340.0,4.0,1.7794,0.0,9.0,22.0,8.2423,21.0,51.0,179.0,36.0,,41.0,,21.0,200.0,12.0,510.0,26.0,3.0,15.0,316.0,3.0,2.0,4.0,11.0,2157.0,11.0,7.0,227.0,189.0,3.0,38.0,100.0,307.0,100.0,,30.777,17.0,2.0,18.0,23.0,6.0,113.0,101.0,71.0,529.0,21.0,165.0,87.0,36.0,2.0,7.0,9.0,218.0,20.0,12.0,6.0,213.0,89.0,0.0,499.0,29.0,12.0,346.0,14.0,16.0,5.0,128.0,53.0,2.0,3.0,116.0,926.0,2.0,7.0,,3.0,12.0,96.0,14.0,8.0,6.6936,10.0,21.0,27.0,3.0,9.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
60551,Ashley Westwood,Midfielder,Burnley,90,England,2017-18,39.0,2.0,0.6653,0.0,5.0,1.0,0.0189,13.0,3.0,58.0,19.0,1.0,9.0,,12.0,110.0,9.0,599.0,,2.0,7.0,15.0,1.0,1.0,3.0,,1107.0,,,5.0,34.0,1.0,11.0,24.0,425.0,7.0,,19.4773,7.0,6.0,16.0,17.0,3.0,34.0,167.0,10.0,73.0,8.0,199.0,84.0,19.0,1.0,3.0,2.0,254.0,16.0,10.0,3.0,58.0,10.0,0.0,589.0,2.0,,136.0,10.0,2.0,9.0,143.0,13.0,19.0,64.0,90.0,727.0,,2.0,,2.0,23.0,238.0,9.0,,0.6416,2.0,52.0,18.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
51927,Ben Mee,Defender,Burnley,90,England,2017-18,108.0,,0.3929,0.0,4.0,8.0,0.8471,33.0,21.0,127.0,29.0,,2.0,,29.0,253.0,3.0,1071.0,3.0,,,195.0,9.0,1.0,,7.0,2610.0,7.0,,78.0,178.0,2.0,17.0,61.0,705.0,42.0,1.0,36.7203,6.0,24.0,208.0,27.0,4.0,30.0,311.0,29.0,286.0,9.0,507.0,153.0,29.0,1.0,13.0,,262.0,25.0,3.0,4.0,91.0,117.0,0.0,1049.0,13.0,5.0,275.0,20.0,3.0,42.0,187.0,14.0,33.0,113.0,66.0,1517.0,5.0,,,,78.0,556.0,10.0,,1.8544,5.0,126.0,69.0,,,,,,,0.0124,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
103914,Charlie Taylor,Defender,Burnley,90,England,2017-18,37.0,6.0,0.1727,0.0,,,,16.0,,51.0,11.0,,,,10.0,108.0,20.0,326.0,,,1.0,35.0,2.0,,6.0,,949.0,,,12.0,59.0,2.0,27.0,36.0,204.0,2.0,16.0,13.3785,4.0,11.0,39.0,12.0,,25.0,92.0,12.0,96.0,8.0,161.0,57.0,11.0,,12.0,10.0,94.0,10.0,20.0,,61.0,23.0,0.0,325.0,,4.0,172.0,4.0,8.0,5.0,8.0,7.0,15.0,14.0,65.0,616.0,92.0,,,,40.0,130.0,4.0,,,3.0,57.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60689,Chris Wood,Forward,Burnley,90,New Zealand,2017-18,168.0,,0.5272,0.0,5.0,24.0,8.4475,7.0,34.0,162.0,24.0,1.0,55.0,,20.0,165.0,5.0,415.0,27.0,1.0,4.0,188.0,4.0,2.0,,12.0,1633.0,12.0,18.0,105.0,112.0,1.0,17.0,29.0,246.0,75.0,,20.0258,10.0,,16.0,11.0,4.0,63.0,95.0,16.0,280.0,8.0,124.0,46.0,24.0,2.0,4.0,4.0,174.0,10.0,5.0,4.0,92.0,83.0,0.0,412.0,10.0,9.0,271.0,3.0,6.0,4.0,82.0,18.0,,4.0,114.0,648.0,,13.0,1.0,1.0,,76.0,2.0,3.0,7.2887,1.0,3.0,20.0,1.0,10.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
15982,Dean Marney,Midfielder,Burnley,90,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
