playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulPassesOwnHalf,unsuccessfulLongPasses,goalKicks,cleanSheets,penaltiesConceded,ownGoalScored,successfulLaunches,rightFootGoals,gkSuccessfulDistribution,blocks,clearancesOffTheLine,unsuccessfulLaunches,throwInsToOppositionPlayer,lastPlayerTackle,throughBalls,shotsOnTargetOutsideBox,oboxTarget,hitWoodwork,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,cornersTakenInclShortCorners,leftFootGoals,foulWonPenalty,redCards2ndYellow,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals
180804,Axel Tuanzebe,Defender,Burnley,90,DR Congo,2025-26,42.0,,0.1401,0.0,,1.0,,0.8886,14.0,2.0,45.0,14.0,,,14.0,88.0,1.0,569.0,1.0,1.0,0.0,,,46.0,,,1202.0,,,24.0,38.0,,10.0,16.0,459.0,2.0,3.0,30.4027,,83.0,26.0,,18.0,137.0,2.0,0.0,80.0,4.0,1.0,197.0,40.0,14.0,6.0,,130.0,26.0,,1.0,,,34.0,22.0,0.0,561.0,1.0,,92.0,8.0,,192.0,13.0,11.0,22.0,43.0,723.0,3.0,2.0,,351.0,2.0,,0.606,1.0,36.0,43.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,11.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461188,Bashir Humphreys,Defender,Burnley,90,England,2025-26,75.0,3.0,0.6823,0.0,4.0,3.0,,0.5771,27.0,5.0,81.0,20.0,,1.0,17.0,154.0,15.0,851.0,,2.0,,2.0,3.0,58.0,3.0,3.0,1578.0,3.0,1.0,32.0,69.0,3.0,28.0,43.0,648.0,24.0,2.0,31.6331,9.0,84.0,33.0,2.0,43.0,215.0,10.0,0.0,144.0,11.0,,371.0,69.0,20.0,9.0,6.0,285.0,30.0,,15.0,12.0,2.0,86.0,26.0,0.0,838.0,2.0,5.0,210.0,18.0,6.0,175.0,14.0,11.0,49.0,90.0,1161.0,37.0,4.0,2.0,415.0,4.0,,0.4155,6.0,63.0,73.0,,2.0,,,14.0,,,19.0,5.0,43.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
478969,Hjalmar Ekdal,Defender,Burnley,90,Sweden,2025-26,47.0,,0.2734,0.0,2.0,1.0,,0.1203,24.0,4.0,54.0,19.0,,1.0,17.0,102.0,1.0,681.0,,2.0,,1.0,2.0,84.0,,1.0,1539.0,1.0,,32.0,83.0,5.0,18.0,31.0,549.0,21.0,2.0,32.3502,4.0,125.0,34.0,2.0,15.0,147.0,7.0,0.0,130.0,11.0,,227.0,49.0,19.0,8.0,2.0,157.0,29.0,,1.0,6.0,2.0,46.0,52.0,0.0,673.0,3.0,1.0,116.0,16.0,2.0,247.0,5.0,12.0,30.0,60.0,925.0,2.0,2.0,1.0,422.0,3.0,,0.2552,0.0,38.0,48.0,,2.0,,,7.0,,,13.0,1.0,24.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
208912,Joe Worrall,Defender,Burnley,90,England,2025-26,27.0,,0.0244,0.0,,,,,4.0,1.0,16.0,11.0,,,5.0,30.0,,155.0,,,,,6.0,42.0,,,497.0,,,21.0,25.0,1.0,5.0,4.0,120.0,7.0,2.0,8.6686,,60.0,11.0,,6.0,37.0,1.0,0.0,52.0,4.0,,56.0,10.0,11.0,1.0,,19.0,10.0,,,,,10.0,21.0,0.0,150.0,1.0,,37.0,3.0,,49.0,4.0,5.0,5.0,13.0,253.0,1.0,1.0,,106.0,1.0,,0.08,0.0,6.0,14.0,,,,,2.0,,,7.0,,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
241231,Jordan Beyer,Defender,Burnley,90,Germany,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58621,Kyle Walker,Defender,Burnley,90,England,2025-26,123.0,6.0,1.3391,0.0,3.0,,1.0,,56.0,1.0,183.0,36.0,2.0,2.0,35.0,326.0,26.0,1441.0,,1.0,,2.0,1.0,92.0,7.0,,3097.0,,1.0,45.0,138.0,6.0,76.0,91.0,1021.0,10.0,6.0,64.1794,11.0,102.0,66.0,1.0,78.0,93.0,22.0,0.0,261.0,33.0,,530.0,155.0,36.0,23.0,14.0,551.0,60.0,,30.0,28.0,1.0,169.0,47.0,0.0,1388.0,1.0,9.0,563.0,33.0,13.0,617.0,32.0,45.0,94.0,201.0,2232.0,195.0,3.0,2.0,571.0,19.0,,0.1581,9.0,94.0,143.0,,4.0,,,8.0,,,10.0,1.0,62.0,126.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
549329,Lucas Pires,Defender,Burnley,90,Brazil,2025-26,67.0,5.0,1.4784,1.0,6.0,4.0,3.0,0.3453,29.0,10.0,63.0,20.0,,6.0,15.0,90.0,32.0,560.0,,6.0,,4.0,5.0,12.0,9.0,2.0,1406.0,2.0,,9.0,54.0,5.0,36.0,51.0,456.0,22.0,1.0,27.9365,20.0,39.0,29.0,2.0,58.0,269.0,4.0,0.0,121.0,23.0,,152.0,86.0,20.0,7.0,10.0,269.0,24.0,,47.0,22.0,2.0,109.0,3.0,1.0,548.0,6.0,9.0,210.0,22.0,18.0,42.0,15.0,20.0,14.0,97.0,959.0,87.0,,4.0,210.0,13.0,,0.5839,1.0,27.0,27.0,,1.0,,,2.0,,,6.0,1.0,17.0,21.0,1.0,2.0,2.0,2.0,1.0,4.0,,,14.0,,20.0,,,,,,,,,,,,,,,,
477717,Maxime Estève,Defender,Burnley,90,France,2025-26,71.0,2.0,0.6579,0.0,1.0,1.0,1.0,0.0811,44.0,9.0,92.0,34.0,,,34.0,177.0,4.0,1347.0,,,,,,118.0,2.0,1.0,2937.0,1.0,1.0,38.0,139.0,4.0,23.0,59.0,1118.0,30.0,6.0,67.8422,7.0,221.0,70.0,1.0,33.0,432.0,12.0,0.0,210.0,14.0,,462.0,114.0,34.0,18.0,2.0,324.0,66.0,,4.0,5.0,1.0,92.0,80.0,0.0,1319.0,8.0,2.0,199.0,26.0,3.0,335.0,13.0,37.0,52.0,118.0,1787.0,3.0,6.0,,848.0,7.0,,0.7226,1.0,61.0,85.0,9.0,1.0,,2.0,13.0,,9.0,33.0,1.0,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
589117,Murray Campbell,Defender,Burnley,90,Scotland,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494960,Quilindschy Hartman,Defender,Burnley,90,Netherlands,2025-26,57.0,8.0,1.9932,0.0,2.0,3.0,,0.1879,52.0,7.0,110.0,21.0,5.0,6.0,21.0,179.0,42.0,736.0,,1.0,,,,28.0,11.0,,1830.0,,,18.0,70.0,1.0,63.0,60.0,522.0,26.0,5.0,40.2035,15.0,66.0,40.0,2.0,39.0,312.0,3.0,0.0,127.0,21.0,,254.0,69.0,21.0,20.0,7.0,258.0,39.0,,65.0,13.0,2.0,99.0,10.0,0.0,718.0,4.0,11.0,313.0,32.0,5.0,33.0,13.0,31.0,35.0,137.0,1198.0,83.0,5.0,,310.0,7.0,,0.3357,1.0,52.0,69.0,,2.0,,,6.0,,,4.0,,34.0,37.0,,1.0,3.0,3.0,,3.0,,,17.0,,21.0,,,,,,,,,,,,,,,,
