season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437085,1,31,Crystal_Palace,Home,20278,19188,Scott Dann,scott-dann,D,False,,,5.0,7.0,31.0,38.0,3.0,,9.0,,,,,,,,3.0,4.0,,,,,,,,3.0,,,90.0,,,,,,,,6.0,,6.8,,,1.0,,2.0,3.0,,,9.0,,10.0,34.0,44.0,1,1.0,55.0,,,3.0,
2017-18,7437085,1,31,Crystal_Palace,Home,32124,49413,James Tomkins,james-tomkins,D,True,,,,4.0,6.0,10.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,12.0,,,,,,,,1.0,,6.4,,,1.0,,,,,,1.0,,5.0,6.0,11.0,1,,13.0,,,,
2017-18,7437085,1,31,Crystal_Palace,Home,39183,55494,Joel Ward,joel-ward,D,False,1.0,,3.0,10.0,9.0,18.0,,1.0,7.0,,,,1.0,,,2.0,3.0,9.0,,,,,,,,3.0,,1.0,90.0,,,1.0,,,,,16.0,,7.0,,,,,1.0,,5.0,,6.0,,18.0,12.0,25.0,0,6.0,61.0,2.0,2.0,,
2017-18,7437085,1,31,Crystal_Palace,Home,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,4.0,,2.0,21.0,13.0,30.0,,,4.0,,,1.0,1.0,,,2.0,7.0,6.0,,,4.0,,,,,2.0,4.0,,90.0,1.0,,,,,,,20.0,,7.6,,,1.0,,1.0,2.0,10.0,,4.0,,35.0,14.0,39.0,3,2.0,78.0,,2.0,2.0,
2017-18,7437085,1,31,Crystal_Palace,Home,795260,201084,Timothy Fosu-Mensah,timothy-fosu-mensah,D,False,,,3.0,11.0,17.0,28.0,3.0,3.0,4.0,,,,,,,1.0,4.0,7.0,,,,,,,,2.0,,1.0,78.0,,,,,,,,11.0,,6.9,,,,,4.0,,,,8.0,,17.0,21.0,38.0,0,4.0,50.0,,,,
2017-18,7437733,2,31,Crystal_Palace,Away,20278,19188,Scott Dann,scott-dann,D,False,,,4.0,7.0,9.0,16.0,2.0,2.0,3.0,,,,,,,,3.0,3.0,,,1.0,,,,,4.0,,,90.0,,,,,,,,9.0,,7.0,,,,,10.0,,,,7.0,2.0,15.0,9.0,24.0,0,1.0,40.0,,,,
2017-18,7437733,2,31,Crystal_Palace,Away,32124,49413,James Tomkins,james-tomkins,D,False,,,4.0,4.0,9.0,13.0,2.0,2.0,3.0,,,,1.0,,,,4.0,5.0,,,1.0,,,,,4.0,,,90.0,,,,,,,,3.0,,7.2,,,1.0,,4.0,,,,6.0,,6.0,10.0,16.0,1,2.0,29.0,,1.0,,
2017-18,7437733,2,31,Crystal_Palace,Away,39183,55494,Joel Ward,joel-ward,D,False,,,2.0,6.0,7.0,13.0,1.0,1.0,4.0,,,,2.0,,,,5.0,3.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,18.0,,6.3,,,,,3.0,1.0,2.0,,8.0,,14.0,9.0,21.0,0,1.0,53.0,2.0,1.0,,
2017-18,7437733,2,31,Crystal_Palace,Away,39472,58786,Martin Kelly,martin-kelly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437733,2,31,Crystal_Palace,Away,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,,,2.0,6.0,5.0,11.0,,1.0,9.0,,,,1.0,,,2.0,4.0,6.0,,,,,,,,5.0,,,84.0,,2.0,,,,,,14.0,,6.9,,,,,2.0,1.0,,,6.0,1.0,12.0,7.0,19.0,0,4.0,41.0,1.0,1.0,,
