season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352254,1,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,1.0,,,22.0,12.0,33.0,,1.0,4.0,1.0,,1.0,,,,8.0,11.0,5.0,,,0.451391,0.0912,0.0239,2.0,1.0,,,,,1.0,2.0,,90.0,1.0,,,,,,23.0,,7.2,,,,,,2.0,5.0,,2.0,1.0,33.0,13.0,41.0,2,1.0,72.0,2.0,2.0,1.0,
2023-24,11352254,1,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,False,,,,9.0,1.0,10.0,4.0,3.0,2.0,,1.0,1.0,,,,1.0,7.0,11.0,,,0.135752,1.0058,1.3107,1.0,,1.0,,,,,2.0,,90.0,3.0,,,,,,12.0,,8.0,,,3.0,,,3.0,,,,1.0,12.0,1.0,13.0,7,3.0,40.0,7.0,3.0,2.0,1.0
2023-24,11352254,1,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352346,2,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,13.0,4.0,17.0,3.0,2.0,2.0,,,2.0,1.0,,,,8.0,9.0,,,0.0318898,0.1443,0.0,3.0,,,,,,,1.0,,90.0,,,,,,,9.0,,7.0,,,1.0,,1.0,3.0,3.0,,,,19.0,4.0,20.0,3,2.0,40.0,1.0,4.0,1.0,2.0
2023-24,11352346,2,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,False,,,,14.0,,14.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,8.0,3.0,,,0.0648306,0.4295,0.1333,3.0,,,,,,,1.0,,90.0,1.0,,,,,,10.0,,6.5,,,1.0,,3.0,3.0,2.0,,,,19.0,1.0,18.0,3,,32.0,2.0,,1.0,
2023-24,11352456,3,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,20.0,9.0,29.0,4.0,2.0,5.0,,1.0,2.0,,,,,10.0,12.0,,,0.0393489,0.205,0.1992,3.0,1.0,,,,,,3.0,,90.0,1.0,,,,,,14.0,,7.3,,,2.0,,,7.0,3.0,,,1.0,25.0,10.0,32.0,5,2.0,62.0,4.0,4.0,4.0,
2023-24,11352456,3,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,False,,,,5.0,3.0,8.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,0.00859022,0.0808,0.2911,,,,,,,,,,71.0,1.0,,,,,,8.0,,6.7,,,,,1.0,1.0,,,1.0,1.0,8.0,4.0,12.0,2,,22.0,3.0,,1.0,
2023-24,11352456,3,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,True,,,,2.0,,2.0,1.0,,,,,,,,,,2.0,,,,0.0078394,0.0,0.0,1.0,,,,,,,,,19.0,,,,,,,3.0,,6.5,,,,,,,,,,,3.0,,3.0,0,,5.0,2.0,,,
2023-24,11352578,4,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,1.0,,,12.0,12.0,23.0,3.0,3.0,12.0,,1.0,,2.0,,,3.0,14.0,14.0,,,0.0608774,0.4734,0.2005,3.0,,,,,,1.0,1.0,,90.0,2.0,,,,,,21.0,,6.7,,,,,,3.0,5.0,,1.0,,21.0,16.0,32.0,2,6.0,60.0,2.0,5.0,,1.0
2023-24,11352578,4,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,False,,,,8.0,3.0,11.0,5.0,1.0,3.0,,,1.0,,,,2.0,11.0,2.0,,,0.0290623,0.7643,1.5525,2.0,,2.0,,,,1.0,,,89.0,3.0,,,,,,11.0,,8.6,,,3.0,,,3.0,,,,,10.0,4.0,14.0,7,,32.0,3.0,,1.0,
