season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089874,1,31,Crystal_Palace,Home,631,11554,Julián Speroni,julian-speroni,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089874,1,31,Crystal_Palace,Home,16620,20066,Wayne Hennessey,wayne-hennessey,G,False,,1.0,7.0,6.0,2.0,8.0,,1.0,6.0,,,,,,,,,1.0,,,,,,2.0,,,,,90.0,,,,,,,18.0,1.0,6.8,1.0,2.0,,,1.0,,,1.0,25.0,,21.0,5.0,26.0,0,,36.0,,1.0,,
2016-17,7090030,2,31,Crystal_Palace,Away,631,11554,Julián Speroni,julian-speroni,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090030,2,31,Crystal_Palace,Away,16620,20066,Wayne Hennessey,wayne-hennessey,G,False,,1.0,7.0,7.0,,7.0,,,9.0,,,,,,,,,,,,,,,2.0,,,,,90.0,,,,,,,21.0,,6.9,3.0,4.0,,,2.0,,,1.0,28.0,,25.0,3.0,28.0,0,,41.0,,,,
2016-17,7090024,3,31,Crystal_Palace,Home,631,11554,Julián Speroni,julian-speroni,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090024,3,31,Crystal_Palace,Home,27029,44413,Steve Mandanda,steve-mandanda,G,False,,,12.0,10.0,12.0,22.0,,,5.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,6.0,2.0,6.7,2.0,2.0,,,2.0,,,,18.0,,16.0,12.0,28.0,0,,38.0,,,,
2016-17,7090034,4,31,Crystal_Palace,Away,16620,20066,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090034,4,31,Crystal_Palace,Away,27029,44413,Steve Mandanda,steve-mandanda,G,False,,,9.0,6.0,9.0,15.0,,1.0,8.0,,,,,,,,,2.0,,,,,,2.0,,,,,90.0,,,,,,,10.0,,6.8,2.0,3.0,,,,1.0,,,18.0,,14.0,10.0,24.0,0,,33.0,,1.0,1.0,
2016-17,7090044,5,31,Crystal_Palace,Home,16620,20066,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090044,5,31,Crystal_Palace,Home,27029,44413,Steve Mandanda,steve-mandanda,G,False,,,9.0,7.0,11.0,18.0,,,10.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,14.0,,6.6,1.0,3.0,,,,,,,22.0,,17.0,14.0,31.0,0,,38.0,,,,
