playerId,playerName,position,team_name,team_id,nationality,season,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,savesMade,duels,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,savesMadeCaught,totalLossesOfPossession,aerialDuels,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,unsuccessfulShortPasses,substituteOn,cleanSheets,penaltiesFaced,goalsConcededOutsideBox,groundDuelsWon,savesFromPenalty,punches,penaltyGoalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,goalkeeperSmother,drops,groundDuels,penaltiesConceded,putthroughBlockedDistribution,totalFoulsConceded,substituteOff,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,goals,offsides,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,interceptions,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,expectedGoals,successfulCrossesOpenPlay,blockedShots,throughBalls,goalAssists,successfulLayoffs,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,oboxTarget,rightFootGoals,leftFootGoals,iboxBlocked,blocks,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,unsuccessfulLayoffs,handballsConceded,foulWonPenalty,ownGoalScored,expectedGoalsFreekick,setPiecesGoals,penaltiesTaken,freekickTotal,attemptsFromSetPieces,penaltyGoals,hitWoodwork,secondGoalAssists,clearancesOffTheLine,redCards2ndYellow
55494,Joel Ward,Defender,Crystal Palace,31,England,2018-19,10.5016,2.0,0.1027,31.0,14.0,0.0,,,71.0,118.0,31.0,7.0,,7.0,73.0,6.0,10.0,52.0,190.0,18.0,0.0,,188.0,,82.0,32.0,,,25.0,9.0,551.0,343.0,37.0,10.0,65.0,129.0,,1.0,17.0,18.0,34.0,,35.0,1.0,,,4.0,19.0,,,,20.0,27.0,6.0,,,39.0,,7.0,8.0,,1.0,0.7507,12.0,2.0,7.0,1.0,1.0,14.0,5.0,12.0,2.0,2.0,5.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,10.0,20.0,45.0,2.0,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,Galatasaray,208,Netherlands,2018-19,42.8978,7.0,3.659,80.0,46.0,0.0,,,169.0,666.0,216.0,36.0,,36.0,698.0,36.0,39.0,326.0,1610.0,10.0,0.0,,1573.0,,480.0,22.0,,,49.0,68.0,3197.0,2388.0,94.0,35.0,597.0,1216.0,,3.0,78.0,118.0,75.0,,248.0,,11.0,,7.0,84.0,,,4.0,63.0,645.0,14.0,,,147.0,,57.0,12.0,3.0,11.0,2.8977,48.0,35.0,26.0,3.0,10.0,12.0,65.0,47.0,33.0,24.0,24.0,20.0,,31.0,24.0,16.0,24.0,22.0,40.0,250.0,269.0,9.0,2.6077,5.0,10.0,5.0,2.0,4.0,4.0,2.0,3.0,11.0,5.0,5.0,1.0,6.0,3.0,1.0,2.0,6.0,9.0,1.0,4.0,,,,,,,,,,,,,,
49413,James Tomkins,Defender,Crystal Palace,31,England,2018-19,32.1283,15.0,0.9532,182.0,37.0,0.0,,,261.0,394.0,111.0,29.0,,29.0,258.0,29.0,32.0,188.0,1111.0,91.0,0.0,,1068.0,,207.0,182.0,,,390.0,126.0,2562.0,1481.0,138.0,44.0,665.0,797.0,,6.0,105.0,57.0,123.0,,83.0,,9.0,,5.0,47.0,,,3.0,32.0,231.0,12.0,,,79.0,,17.0,16.0,3.0,7.0,1.1747,33.0,19.0,1.0,1.0,1.0,91.0,51.0,,6.0,13.0,13.0,2.0,1.0,1.0,12.0,3.0,20.0,2.0,34.0,96.0,2.0,9.0,1.4387,,3.0,,1.0,,,,1.0,,5.0,5.0,,3.0,1.0,,,3.0,10.0,,,1.0,,,,,,,,,,,,,
19188,Scott Dann,Defender,Reading,108,England,2018-19,8.7761,4.0,0.0715,44.0,10.0,0.0,,,59.0,140.0,29.0,10.0,,10.0,62.0,7.0,8.0,72.0,264.0,26.0,0.0,,245.0,,77.0,42.0,,,36.0,14.0,661.0,360.0,35.0,13.0,130.0,178.0,,1.0,34.0,22.0,24.0,,38.0,3.0,2.0,,2.0,9.0,,,,8.0,77.0,,,,17.0,,7.0,4.0,,1.0,0.0332,6.0,4.0,,,,16.0,9.0,,1.0,4.0,4.0,,,,3.0,3.0,2.0,3.0,5.0,11.0,1.0,3.0,0.2333,,2.0,,1.0,,,,,,1.0,1.0,,2.0,,,,2.0,12.0,,,,1.0,,,,,,,,,,,,
40784,Mamadou Sakho,Defender,Crystal Palace,31,France,2018-19,32.6203,6.0,0.2549,132.0,35.0,0.0,,,152.0,636.0,192.0,27.0,,27.0,378.0,27.0,30.0,150.0,1321.0,51.0,0.0,,1286.0,,171.0,88.0,,,197.0,59.0,2417.0,1632.0,96.0,15.0,793.0,1112.0,,2.0,51.0,57.0,56.0,,99.0,,9.0,,5.0,45.0,,,4.0,19.0,434.0,13.0,,,64.0,2.0,14.0,5.0,1.0,1.0,,25.0,4.0,,,,37.0,11.0,,6.0,10.0,9.0,2.0,,,3.0,,16.0,9.0,41.0,54.0,6.0,1.0,0.4448,,,,,1.0,,,,,1.0,1.0,,,,,,,16.0,,,,,,,,,,,,,,,,
79228,Pape Souaré,Defender,Ebbsfleet United,585,Senegal,2018-19,,,0.0001,,,0.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,3.0,,0.0,,3.0,,,,,,,1.0,1.0,5.0,1.0,,2.0,2.0,,0.0,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214590,Aaron Wan-Bissaka,Defender,West Ham United,21,DR Congo,2018-19,41.9678,23.0,1.1934,129.0,46.0,1.0,,,377.0,655.0,206.0,35.0,,35.0,522.0,35.0,38.0,314.0,1165.0,43.0,1.0,,1161.0,,540.0,73.0,,,300.0,34.0,3135.0,2286.0,249.0,82.0,341.0,817.0,,4.0,116.0,124.0,128.0,,198.0,,12.0,,8.0,206.0,,,4.0,98.0,75.0,16.0,,,304.0,1.0,87.0,23.0,,,,129.0,4.0,44.0,,2.0,30.0,30.0,59.0,11.0,33.0,39.0,29.0,,44.0,4.0,17.0,90.0,61.0,84.0,135.0,283.0,17.0,0.4617,12.0,5.0,1.0,3.0,2.0,1.0,,,12.0,,,,4.0,,,,4.0,16.0,,1.0,,1.0,,,,,,,,,,,,
235599,Nikola Tavares,Defender,Barnet,34,Croatia,2018-19,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,Salford City,3448,England,2018-19,17.8306,10.0,0.0848,85.0,21.0,0.0,,,96.0,182.0,42.0,13.0,,13.0,89.0,12.0,17.0,88.0,357.0,35.0,0.0,,347.0,,96.0,61.0,,,92.0,36.0,1110.0,525.0,57.0,21.0,181.0,233.0,,2.0,49.0,23.0,39.0,,39.0,1.0,3.0,,4.0,22.0,,,1.0,13.0,60.0,1.0,,,35.0,,10.0,6.0,,1.0,0.2059,21.0,3.0,1.0,,,26.0,6.0,,1.0,6.0,8.0,1.0,,1.0,2.0,1.0,13.0,,11.0,23.0,,3.0,0.4309,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,12.0,,,,,,1.0,,,,,,,,,,
221272,Sam Woods,Defender,Bromley,2050,England,2018-19,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
