playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,aerialDuelsLost,penaltiesConceded,crossesNotClaimed,tacklesLost,totalFoulsConceded,interceptions,substituteOff,foulAttemptedTackle,successfulCrossesOpenPlay,blockedShots,overruns,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,goals,offsides,awayGoals,iboxTarget,shotsOnTargetInBox,homeGoals,leftFootGoals,lastPlayerTackle,clearancesOffTheLine,handballsConceded,expectedGoalsFreekick,shotsOnTargetOutsideBox,oboxTarget,rightFootGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,unsuccessfulLayoffs,hitWoodwork,headedGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,setPiecesGoals,foulWonPenalty,redCards2ndYellow
443661,Michael Olise,Midfielder,FC Bayern München,156,France,2023-24,110.0,4.9872,0.0,,19.0,,93.0,19.0,14.0,103.0,609.0,,,22.0,1.0,,1277.0,109.0,2.0,102.0,481.0,,1.0,18.881,,1.0,9.0,19.0,95.0,57.0,,43.0,2.0,219.0,150.0,68.0,19.0,,369.0,17.0,197.0,7.0,0.0,,570.0,299.0,10.0,,,240.0,25.0,1078.0,1.0,162.0,,0.0,10.0,21.0,5.0,15.0,,,9.0,13.0,11.0,6.0,8.0,8.0,21.0,11.0,36.0,7.0,6.0,27.0,9.0,25.0,44.0,84.0,1.0,30.0,12.0,21.0,33.0,72.0,66.0,12.0,15.0,26.0,40.0,,162.0,9.0,9.0,5.5103,21.0,6.2525,19.0,10.0,2.0,4.0,6.0,6.0,6.0,9.0,,,,0.1873,5.0,5.0,,4.0,4.0,,,,1.0,9.0,28.0,41.0,1.0,1.0,,,
152551,Jefferson Lerma,Midfielder,Crystal Palace,31,Colombia,2023-24,116.0,1.9956,0.0,,42.0,,167.0,28.0,27.0,216.0,1225.0,,,105.0,4.0,,2403.0,147.0,3.0,78.0,969.0,,2.0,35.5879,,4.0,64.0,46.0,80.0,363.0,,25.0,0.0,263.0,403.0,174.0,28.0,,507.0,43.0,158.0,69.0,0.0,,1195.0,279.0,25.0,,,260.0,40.0,1586.0,23.0,505.0,,8.0,49.0,70.0,1.0,36.0,,,17.0,43.0,36.0,5.0,31.0,3.0,5.0,1.0,29.0,8.0,1.0,11.0,3.0,3.0,39.0,41.0,,23.0,2.0,19.0,6.0,11.0,20.0,2.0,20.0,10.0,11.0,12.0,199.0,6.0,3.0,2.6538,9.0,1.0839,19.0,1.0,4.0,0.0,4.0,4.0,1.0,,2.0,,1.0,,4.0,4.0,1.0,,,,1.0,3.0,,,,,,,,,
232413,Eberechi Eze,Midfielder,Arsenal,3,England,2023-24,176.0,5.555,0.0,,35.0,,117.0,27.0,24.0,129.0,791.0,,,36.0,2.0,,2064.0,164.0,1.0,152.0,635.0,,3.0,25.7024,,2.0,4.0,28.0,152.0,235.0,,48.0,2.0,340.0,190.0,135.0,27.0,,458.0,27.0,304.0,12.0,0.0,,735.0,405.0,17.0,,,117.0,27.0,1442.0,,239.0,,3.0,12.0,23.0,3.0,24.0,1.0,,18.0,27.0,11.0,12.0,17.0,8.0,28.0,7.0,55.0,7.0,4.0,15.0,13.0,35.0,45.0,113.0,2.0,50.0,15.0,25.0,64.0,72.0,112.0,15.0,21.0,20.0,69.0,2.0,249.0,3.0,13.0,9.1243,34.0,10.3305,24.0,11.0,11.0,3.0,11.0,11.0,8.0,2.0,,,2.0,0.6646,12.0,12.0,9.0,12.0,12.0,,5.0,,,20.0,39.0,71.0,1.0,1.0,1.0,1.0,
86417,Jeffrey Schlupp,Midfielder,Crystal Palace,31,Ghana,2023-24,93.0,1.4062,0.0,,38.0,,62.0,29.0,17.0,78.0,323.0,,,39.0,1.0,,1356.0,92.0,,70.0,239.0,,3.0,18.773,,1.0,18.0,25.0,76.0,81.0,,15.0,1.0,185.0,90.0,54.0,29.0,,153.0,25.0,146.0,22.0,0.0,,319.0,174.0,24.0,,,65.0,6.0,591.0,5.0,94.0,,1.0,16.0,18.0,12.0,17.0,,,14.0,24.0,8.0,15.0,22.0,2.0,4.0,3.0,15.0,,2.0,8.0,4.0,2.0,21.0,27.0,,17.0,,11.0,20.0,8.0,43.0,,4.0,8.0,17.0,2.0,87.0,,4.0,1.8336,11.0,2.8487,9.0,2.0,,2.0,5.0,5.0,0.0,2.0,,,,,4.0,4.0,,,,,1.0,,,,,,,,,,
108413,Will Hughes,Midfielder,Crystal Palace,31,England,2023-24,109.0,1.7913,0.0,,61.0,,98.0,30.0,23.0,124.0,846.0,,,30.0,5.0,,1898.0,112.0,3.0,100.0,712.0,,1.0,27.2089,,2.0,20.0,38.0,91.0,215.0,,30.0,0.0,221.0,262.0,121.0,30.0,,385.0,35.0,191.0,12.0,0.0,,798.0,198.0,33.0,,,185.0,10.0,1176.0,19.0,347.0,,6.0,26.0,37.0,7.0,18.0,,,28.0,39.0,22.0,15.0,33.0,2.0,2.0,1.0,6.0,2.0,1.0,5.0,,10.0,35.0,18.0,,20.0,2.0,22.0,3.0,20.0,30.0,2.0,3.0,4.0,9.0,14.0,184.0,,,0.3238,3.0,0.3432,27.0,,1.0,,,,,,,,1.0,,3.0,3.0,,,,,1.0,,,6.0,11.0,17.0,,,,,
496221,Adam Wharton,Midfielder,Crystal Palace,31,England,2023-24,66.0,1.5084,0.0,,48.0,,85.0,16.0,15.0,106.0,562.0,,,20.0,2.0,,1305.0,79.0,1.0,71.0,428.0,,,16.5501,,6.0,24.0,16.0,54.0,118.0,,21.0,0.0,145.0,175.0,76.0,16.0,,280.0,15.0,125.0,8.0,0.0,,542.0,158.0,32.0,,,190.0,28.0,793.0,8.0,184.0,,2.0,21.0,33.0,1.0,12.0,,,16.0,18.0,20.0,9.0,16.0,3.0,3.0,,7.0,3.0,3.0,7.0,2.0,8.0,25.0,4.0,,18.0,1.0,14.0,2.0,17.0,14.0,1.0,6.0,1.0,3.0,3.0,79.0,,2.0,0.3413,1.0,0.0236,8.0,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,5.0,6.0,15.0,,,,,
438464,Cheick Doucouré,Midfielder,Crystal Palace U21,18257,Mali,2023-24,42.0,0.7519,0.0,,34.0,,46.0,11.0,11.0,54.0,421.0,,,14.0,3.0,,921.0,50.0,,45.0,359.0,,2.0,7.514,,1.0,9.0,12.0,33.0,109.0,,1.0,0.0,92.0,132.0,74.0,11.0,,185.0,12.0,78.0,5.0,0.0,,417.0,82.0,17.0,,,114.0,8.0,570.0,5.0,182.0,,2.0,8.0,19.0,,9.0,,,17.0,10.0,20.0,3.0,10.0,,2.0,,4.0,5.0,,1.0,1.0,,18.0,7.0,,10.0,1.0,11.0,3.0,1.0,11.0,1.0,2.0,,10.0,2.0,66.0,,1.0,0.2797,2.0,0.5039,4.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
466117,Naouirou Ahamada,Midfielder,Crystal Palace U21,18257,France,2023-24,37.0,0.1292,1.0,,13.0,,26.0,20.0,,31.0,179.0,,,7.0,,,334.0,29.0,2.0,25.0,140.0,,1.0,9.4227,,2.0,4.0,14.0,34.0,52.0,,6.0,0.0,66.0,52.0,30.0,20.0,,84.0,12.0,59.0,4.0,0.0,,177.0,61.0,9.0,,,40.0,8.0,265.0,4.0,64.0,,2.0,5.0,10.0,20.0,3.0,,,4.0,9.0,2.0,,9.0,,4.0,,5.0,,,6.0,3.0,,11.0,8.0,,1.0,1.0,3.0,5.0,6.0,16.0,1.0,3.0,2.0,7.0,,35.0,2.0,3.0,0.4908,2.0,0.0246,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0
530318,Kaden Rodney,Midfielder,Crystal Palace U21,18257,England,2023-24,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,Sheffield United,49,Netherlands,2023-24,11.0,0.0694,0.0,,9.0,,16.0,9.0,2.0,21.0,108.0,,,5.0,,,229.0,15.0,,12.0,83.0,,,4.6874,,,2.0,3.0,9.0,38.0,,2.0,0.0,26.0,36.0,14.0,9.0,,49.0,3.0,21.0,3.0,0.0,,104.0,35.0,3.0,,,16.0,4.0,144.0,2.0,38.0,,0.0,5.0,7.0,7.0,2.0,,,6.0,3.0,2.0,2.0,1.0,,,1.0,1.0,,,,,,3.0,6.0,,,,,2.0,3.0,4.0,,1.0,,1.0,,18.0,,,0.0204,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,
