season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025053,1,8,Chelsea,Home,794939,179268,Marc Cucurella,marc-cucurella,D,False,,,2.0,18.0,20.0,38.0,3.0,3.0,,4.0,1.0,,,1.0,,,5.0,7.0,,,0.104277,0.1131,,1.0,0.0,,,,,1.0,1.0,,0.74,5.54,1.44,0.25,2.93,90.0,1.0,1.0,,,,,,5.0,,,7.2,,,1.0,,,,,,,3.0,,21.0,21.0,42.0,,,2,2.0,60.0,,2.0,,1.0
2025-26,14025053,1,8,Chelsea,Home,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,,,4.0,44.0,48.0,92.0,2.0,2.0,,3.0,,1.0,,,,,4.0,4.0,,,0.0327359,0.0898,,2.0,0.0,,,,,1.0,,,0.35,4.87,1.27,0.13,3.09,90.0,,1.0,,,,,,11.0,,,7.4,,,1.0,,,7.0,1.0,1.0,,8.0,,49.0,52.0,101.0,,,1,,117.0,1.0,1.0,1.0,
2025-26,14025053,1,8,Chelsea,Home,885908,225796,Reece James,reece-james,D,False,2.0,,5.0,32.0,32.0,64.0,,1.0,,6.0,,,,,,1.0,3.0,3.0,,,0.187774,,,2.0,0.0,,,,,4.0,3.0,,0.42,3.25,0.81,0.3,2.89,79.0,,,,,,,,12.0,,,7.8,,,,,,2.0,,6.0,,9.0,,37.0,33.0,70.0,,,0,1.0,95.0,1.0,1.0,,1.0
2025-26,14025053,1,8,Chelsea,Home,923894,444463,Wesley Fofana,wesley-fofana,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,8,Chelsea,Home,996958,482609,Malo Gusto,gusto-malo,D,True,,,1.0,10.0,6.0,16.0,1.0,,,,,,,,,,1.0,,,,0.00353154,0.0215,,,0.0,,,,,,,,0.07,1.16,0.31,0.04,0.51,11.0,,,,,,,,,,,6.7,,,1.0,,,,,,,1.0,,10.0,6.0,16.0,,,1,,18.0,,,,
2025-26,14025053,1,8,Chelsea,Home,1153079,551210,Jorrel Hato,jorrel-hato,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,8,Chelsea,Home,1403050,577016,Josh Acheampong,josh-acheampong,D,False,,,,21.0,66.0,87.0,2.0,5.0,,4.0,,,1.0,1.0,,,3.0,11.0,,1.0,0.00768198,0.0919,,,0.0,,,,,1.0,,,0.26,4.92,0.96,0.1,3.17,90.0,,,,,,,,6.0,,,7.5,,,,,,5.0,2.0,,,4.0,,24.0,69.0,93.0,,,1,2.0,107.0,,2.0,2.0,2.0
2025-26,14025088,2,8,Chelsea,Away,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,False,,,1.0,28.0,62.0,90.0,1.0,2.0,,3.0,,,,1.0,,,2.0,5.0,,,0.0291676,,,,0.0,,,,,,,,,,,,,90.0,,,,,,,,8.0,,,7.4,,,,,,6.0,,,,3.0,,33.0,63.0,96.0,,,0,3.0,108.0,1.0,,,2.0
2025-26,14025088,2,8,Chelsea,Away,794939,179268,Marc Cucurella,marc-cucurella,D,False,,,2.0,28.0,33.0,61.0,,1.0,,7.0,1.0,,,1.0,,,1.0,2.0,,,0.322116,,,,1.0,,,,,1.0,1.0,,,,,,,69.0,,1.0,,,,,,9.0,,,7.0,,,,,,2.0,,,,5.0,,33.0,35.0,68.0,,,0,1.0,82.0,,,,1.0
2025-26,14025088,2,8,Chelsea,Away,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,,,,14.0,28.0,42.0,1.0,2.0,,4.0,,,,,,,1.0,5.0,,,0.00906514,0.3134,0.7464,,0.0,1.0,,,,,,,,,,,,69.0,1.0,,,,,,,7.0,,,7.6,,,,,,3.0,1.0,1.0,,1.0,,18.0,30.0,48.0,,,1,2.0,56.0,,,1.0,2.0
2025-26,14025088,2,8,Chelsea,Away,885908,225796,Reece James,reece-james,D,True,,,2.0,11.0,14.0,25.0,,1.0,,2.0,1.0,,,,,,1.0,2.0,,,0.126073,,,1.0,0.0,,,,,,1.0,,,,,,,21.0,,,,,,,,2.0,,,7.0,,,,,,,,,,3.0,,13.0,14.0,27.0,,,0,,29.0,,1.0,,
2025-26,14025088,2,8,Chelsea,Away,923894,444463,Wesley Fofana,wesley-fofana,D,True,,,,5.0,6.0,11.0,2.0,,,,,,,1.0,,,4.0,2.0,,,0.00182123,,,1.0,0.0,,,,,1.0,,,,,,,,21.0,,,,,,,,,,,6.4,,,,,,,,,,,,5.0,6.0,11.0,,,0,1.0,14.0,,1.0,,1.0
2025-26,14025088,2,8,Chelsea,Away,996958,482609,Malo Gusto,gusto-malo,D,False,,,,13.0,12.0,25.0,1.0,1.0,,1.0,,,,,,1.0,2.0,4.0,,,0.0113241,,,,0.0,,,,,1.0,,,,,,,,69.0,,,,,,,,6.0,,,6.4,,,,,,2.0,,1.0,,2.0,,16.0,12.0,28.0,,,0,2.0,44.0,1.0,1.0,,
2025-26,14025088,2,8,Chelsea,Away,1153079,551210,Jorrel Hato,jorrel-hato,D,True,,,1.0,8.0,5.0,13.0,1.0,,,1.0,,,,1.0,,1.0,4.0,,,,0.00348492,,,1.0,0.0,,,,,,,,,,,,,21.0,,,,,,,,1.0,,,6.5,,,,,,1.0,,,,1.0,,8.0,5.0,13.0,,,0,,15.0,,,,
2025-26,14025088,2,8,Chelsea,Away,1403050,577016,Josh Acheampong,josh-acheampong,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025097,3,8,Chelsea,Home,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,False,,,4.0,14.0,60.0,74.0,4.0,9.0,,3.0,,,,,,,6.0,11.0,,,0.0104534,,,2.0,0.0,,,,,3.0,,,,,,,,90.0,,,,,,,,7.0,,,7.7,,,,,,6.0,,,,9.0,,18.0,63.0,81.0,,,0,2.0,95.0,,,,
2025-26,14025097,3,8,Chelsea,Home,794939,179268,Marc Cucurella,marc-cucurella,D,False,,,5.0,33.0,30.0,63.0,,1.0,,3.0,,,,1.0,,,4.0,6.0,,,0.0302773,,,3.0,0.0,,,,,1.0,2.0,,,,,,,90.0,,,,,,,,6.0,,,7.6,,,,,,5.0,,,,8.0,,37.0,31.0,68.0,,,0,3.0,90.0,1.0,2.0,,1.0
2025-26,14025097,3,8,Chelsea,Home,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,1.0,,2.0,21.0,31.0,52.0,2.0,3.0,,2.0,,,2.0,,,1.0,3.0,12.0,,,0.207278,0.1178,,,0.0,,,,,4.0,,,,,,,,90.0,,1.0,,,,,,7.0,,,8.1,,,1.0,,,1.0,1.0,1.0,,5.0,,25.0,33.0,58.0,,,3,5.0,81.0,,3.0,1.0,3.0
2025-26,14025097,3,8,Chelsea,Home,885908,225796,Reece James,reece-james,D,True,,,1.0,3.0,3.0,6.0,,,,,,,,,,1.0,1.0,,,,0.00141738,0.0357,0.0364,,0.0,,,,,,,,,,,,,9.0,1.0,,,,,,,1.0,,,6.7,,,,,,,,,,1.0,,3.0,3.0,6.0,,,1,,10.0,,,,
2025-26,14025097,3,8,Chelsea,Home,923894,444463,Wesley Fofana,wesley-fofana,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
