season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025053,1,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,,8.0,3.0,11.0,3.0,2.0,,1.0,,,1.0,,,1.0,6.0,3.0,,,0.0249104,0.2812,,,0.0,,,,,,,,0.44,3.35,0.87,0.27,2.56,73.0,,,,,,,,7.0,,,5.9,,,1.0,,,,2.0,,,1.0,,10.0,3.0,13.0,,,2,,23.0,2.0,1.0,,
2025-26,14025053,1,8,Chelsea,Home,997087,463034,Liam Delap,liam-delap,F,True,,,,2.0,1.0,3.0,2.0,,,1.0,,,,,,1.0,3.0,,,,0.00546828,0.05,0.0211,,0.0,,,,,,,,0.13,1.2,0.3,0.04,0.78,17.0,1.0,,,,,,,4.0,,,6.3,,,,,,1.0,,1.0,,,,3.0,1.0,4.0,,,1,,10.0,1.0,,,
2025-26,14025053,1,8,Chelsea,Home,1403061,550615,Tyrique George,tyrique-george,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025088,2,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,1.0,,,14.0,8.0,22.0,2.0,6.0,,1.0,2.0,,,,,1.0,6.0,9.0,,,0.113299,0.4108,0.953,2.0,2.0,1.0,,,,,2.0,,,,,,,90.0,1.0,1.0,,,,,,6.0,,,9.7,,,2.0,,,2.0,2.0,1.0,,,,18.0,8.0,26.0,,,3,1.0,39.0,,1.0,1.0,1.0
2025-26,14025088,2,8,Chelsea,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,5.0,1.0,6.0,1.0,2.0,,2.0,,,,,,1.0,2.0,3.0,,,0.0178373,0.085,0.2647,,0.0,,,,,,,,,,,,,62.0,1.0,,,,,,,4.0,,,6.8,,,,,,,,,,,1.0,7.0,1.0,8.0,,,1,,15.0,1.0,1.0,,
2025-26,14025097,3,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,1.0,13.0,10.0,23.0,2.0,2.0,,6.0,,,1.0,,1.0,4.0,10.0,7.0,,,0.0249851,0.6611,1.026,,0.0,1.0,,,,,1.0,,,,,,,90.0,2.0,1.0,,,,,,16.0,,,8.0,,,,,,2.0,4.0,1.0,,1.0,2.0,15.0,11.0,26.0,,,3,1.0,53.0,3.0,4.0,,1.0
2025-26,14025097,3,8,Chelsea,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,,,,1.0,,,,,,1.0,,,,2.0,,,1.0,,0.0908,,1.0,0.0,,,,,,,,,,,,,14.0,,,,,,,,2.0,,,6.2,,,,,,,,,,,,1.0,1.0,2.0,,,1,,3.0,,,,
2025-26,14025097,3,8,Chelsea,Home,1403061,550615,Tyrique George,tyrique-george,F,True,,,,5.0,1.0,6.0,,,,1.0,,1.0,,,,2.0,3.0,2.0,,,0.00708283,0.2098,0.6572,,0.0,,,,,,,,,,,,,67.0,1.0,,,,,,,5.0,,,6.7,,,,,,,2.0,,,,,5.0,1.0,6.0,,,1,,17.0,2.0,1.0,1.0,
2025-26,14025127,4,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,,,1.0,19.0,6.0,25.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,0.0247682,0.1472,,,1.0,,,,,2.0,1.0,,,,,,,79.0,,,,,,,,12.0,,,6.2,,,,,,1.0,,1.0,,2.0,,23.0,8.0,31.0,,,1,,45.0,5.0,1.0,,
2025-26,14025127,4,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,True,,,,2.0,,2.0,,1.0,,1.0,,,,,,,,1.0,,,0.0450874,,,,0.0,,,,,,1.0,,,,,,,11.0,,,,,,,,4.0,,,6.6,,,,,,,,1.0,,,,4.0,,4.0,,,0,,6.0,1.0,,,
