playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,substituteOn,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,rightFootGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,attemptsFromSetPieces,totalFoulsConceded,clearancesOffTheLine,backwardPasses,substituteOff,hitWoodwork,handballsConceded,foulWonPenalty,cornersTakenInclShortCorners,penaltiesConceded,ownGoalScored,setPiecesGoals,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,penaltiesTaken,penaltyGoals
41135,Branislav Ivanovic,Defender,West Bromwich Albion,35,Serbia,2010-11,137.0,,0.0,,,151.0,34.0,4.0,32.0,197.0,1305.0,,,108.0,11.0,,2829.0,186.0,6.0,120.0,987.0,,,,18.0,8.0,146.0,27.0,95.0,150.0,,35.0,4.0,323.0,,518.0,191.0,34.0,,,426.0,21.0,215.0,66.0,0.0,,1283.0,10.0,314.0,9.0,,,513.0,67.0,121.0,1943.0,90.0,30.0,692.0,,12.0,46.0,63.0,10.0,3.0,11.0,2.0,76.0,35.0,4.0,10.0,33.0,4.0,2.0,2.0,2.0,10.0,1.0,42.0,66.0,31.0,2.0,2.0,13.0,3.0,9.0,2.0,33.0,27.0,24.0,63.0,8.0,1.0,61.0,1.0,124.0,4.0,3.0,2.0,,,,,,,,,,
3785,Ashley Cole,Defender,Derby County,24,England,2010-11,157.0,,0.0,,,165.0,38.0,3.0,38.0,189.0,1656.0,,,48.0,15.0,,3387.0,182.0,6.0,162.0,1401.0,,,1.0,41.0,3.0,46.0,32.0,129.0,802.0,,45.0,0.0,339.0,,470.0,222.0,38.0,,,851.0,26.0,291.0,20.0,0.0,,1616.0,23.0,402.0,17.0,,,63.0,50.0,66.0,2613.0,363.0,22.0,636.0,,4.0,24.0,60.0,20.0,5.0,6.0,2.0,100.0,22.0,2.0,14.0,81.0,,10.0,,,20.0,2.0,28.0,69.0,29.0,,,33.0,,17.0,,81.0,62.0,16.0,67.0,12.0,1.0,29.0,2.0,321.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
41270,David Luiz,Defender,Pafos,11097,Brazil,2010-11,49.0,,0.0,,,50.0,12.0,,11.0,76.0,471.0,,,23.0,4.0,,953.0,51.0,2.0,36.0,349.0,,,1.0,6.0,7.0,51.0,8.0,41.0,63.0,,12.0,2.0,100.0,,211.0,91.0,12.0,,,137.0,6.0,77.0,15.0,0.0,,461.0,5.0,109.0,7.0,,,167.0,36.0,46.0,662.0,4.0,23.0,259.0,,3.0,26.0,25.0,1.0,1.0,3.0,1.0,17.0,9.0,6.0,,8.0,2.0,,0.0,1.0,1.0,,8.0,14.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,8.0,13.0,6.0,14.0,8.0,,18.0,,30.0,2.0,1.0,,,,2.0,,,,,,,
11278,José Bosingwa,Defender,Trabzonspor,383,Portugal,2010-11,59.0,,0.0,,,94.0,20.0,,13.0,120.0,700.0,,,15.0,2.0,,1261.0,75.0,2.0,67.0,552.0,,,,17.0,12.0,28.0,11.0,52.0,17.0,,15.0,0.0,134.0,,281.0,99.0,20.0,,,355.0,9.0,119.0,8.0,0.0,,686.0,18.0,252.0,19.0,,,322.0,37.0,28.0,1162.0,130.0,23.0,241.0,,1.0,26.0,35.0,16.0,4.0,4.0,6.0,33.0,12.0,,,65.0,,1.0,,7.0,16.0,,7.0,22.0,12.0,,,11.0,1.0,14.0,,65.0,31.0,8.0,22.0,3.0,,8.0,,80.0,7.0,,,,,,1.0,,,,,,
16734,Paulo Ferreira,Defender,Chelsea,8,Portugal,2010-11,46.0,,0.0,,,56.0,21.0,2.0,12.0,68.0,458.0,,,29.0,2.0,,1038.0,53.0,1.0,43.0,370.0,,,2.0,5.0,5.0,31.0,14.0,27.0,15.0,,3.0,0.0,99.0,,175.0,59.0,21.0,,,206.0,13.0,70.0,10.0,0.0,,452.0,5.0,113.0,1.0,,,212.0,27.0,20.0,725.0,89.0,6.0,191.0,,2.0,12.0,26.0,7.0,,,1.0,39.0,,,3.0,14.0,,1.0,,9.0,7.0,,19.0,5.0,16.0,,,12.0,1.0,3.0,,14.0,10.0,,27.0,7.0,,8.0,,56.0,6.0,,,,,,,,,,,,
1718,John Terry,Defender,Aston Villa,7,England,2010-11,86.0,,0.0,,,177.0,33.0,1.0,33.0,239.0,1927.0,,,133.0,13.0,,2962.0,198.0,5.0,103.0,1586.0,,,2.0,11.0,18.0,169.0,27.0,48.0,616.0,,26.0,2.0,284.0,,976.0,208.0,33.0,,,624.0,22.0,151.0,95.0,0.0,,1895.0,3.0,272.0,6.0,,,210.0,53.0,102.0,2379.0,9.0,37.0,1064.0,,6.0,62.0,78.0,,7.0,9.0,1.0,71.0,20.0,5.0,12.0,3.0,3.0,2.0,2.0,,,,38.0,36.0,,1.0,2.0,19.0,6.0,5.0,1.0,3.0,8.0,11.0,52.0,28.0,,29.0,,125.0,1.0,2.0,1.0,,,,,,,,,,
18658,Alex,Defender,Chelsea,8,Brazil,2010-11,37.0,,0.0,,,46.0,15.0,,12.0,57.0,575.0,,,54.0,3.0,,1109.0,78.0,2.0,46.0,471.0,,,,4.0,6.0,73.0,9.0,15.0,86.0,,3.0,0.0,115.0,,233.0,43.0,15.0,,,108.0,7.0,61.0,32.0,0.0,,565.0,1.0,63.0,3.0,,,227.0,30.0,47.0,771.0,2.0,12.0,410.0,,3.0,11.0,24.0,,1.0,4.0,,40.0,10.0,,3.0,,2.0,,0.0,3.0,,,22.0,15.0,,2.0,1.0,16.0,5.0,,1.0,,2.0,6.0,24.0,13.0,1.0,9.0,1.0,29.0,2.0,,,,,,,1.0,,,,,
40146,Ryan Bertrand,Defender,Leicester City U21,12940,England,2010-11,1.0,,0.0,,,2.0,1.0,1.0,,2.0,21.0,,,,,,33.0,2.0,,2.0,19.0,,,1.0,,,,1.0,1.0,9.0,,1.0,0.0,3.0,,5.0,1.0,1.0,,,10.0,1.0,3.0,,0.0,,20.0,1.0,5.0,,,,,,,28.0,1.0,,10.0,,0.0,,,1.0,,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,7.0,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,Galatasaray,208,Netherlands,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28565,Michael Mancienne,Defender,Burton Albion,587,Seychelles,2010-11,38.0,,0.0,,,69.0,16.0,,13.0,94.0,413.0,,,29.0,,,1116.0,64.0,4.0,48.0,289.0,,,3.0,3.0,3.0,47.0,25.0,25.0,125.0,,8.0,0.0,102.0,,140.0,64.0,16.0,,,121.0,21.0,73.0,16.0,0.0,,410.0,3.0,120.0,6.0,,,94.0,29.0,30.0,612.0,23.0,18.0,199.0,,1.0,25.0,13.0,1.0,2.0,,,34.0,1.0,,9.0,7.0,,,,3.0,1.0,,13.0,2.0,2.0,,,15.0,,2.0,,7.0,9.0,1.0,19.0,12.0,,9.0,,54.0,5.0,,1.0,,,,,,,,,,
