playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,unsuccessfulDribbles,timesTackled,blockedShots,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,lastPlayerTackle,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,awayGoals,iboxTarget,shotsOnTargetInBox,homeGoals,leftFootGoals,cornersWon,handballsConceded,oboxBlocked,clearancesOffTheLine,hitWoodwork,shotsBlockedOutsideBox,successfulCrossesOpenPlay,successfulCrossesAndCorners,ownGoalScored,successfulLayoffs,foulWonPenalty,offsides,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,shotsOnTargetOutsideBox,oboxTarget,overruns,redCards2ndYellow,penaltiesConceded,headedGoals,unsuccessfulLayoffs,setPiecesGoals,penaltiesTaken,penaltyGoals
460028,Levi Colwill,Defender,Chelsea U21,12943,England,2022-23,35.0,0.3274,22.0,0.0,,8.0,,97.0,17.0,13.0,13.0,131.0,1148.0,26.0,,63.0,3.0,,1220.0,18.0,64.0,1.0,8.0,19.0,973.0,,3.0,19.4991,2.0,37.0,21.0,17.0,448.0,,10.0,0.0,99.0,,480.0,74.0,17.0,,,355.0,20.0,36.0,45.0,0.0,25.0,1095.0,149.0,7.0,1.0,1.0,,147.0,15.0,44.0,1284.0,2.0,8.0,662.0,,1.0,34.0,63.0,4.0,,4.0,1.0,7.0,2.0,2.0,1.0,12.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,8.0,73.0,10.0,2.0,1.4213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242880,Benoît Badiashile,Defender,Chelsea,8,France,2022-23,32.0,0.1958,17.0,0.0,,14.0,,60.0,11.0,9.0,10.0,88.0,855.0,,,49.0,4.0,,904.0,14.0,56.0,2.0,7.0,21.0,728.0,,,9.0057,7.0,33.0,9.0,18.0,337.0,,6.0,1.0,88.0,,311.0,75.0,11.0,,,239.0,7.0,39.0,35.0,0.0,,838.0,98.0,8.0,1.0,,,162.0,16.0,39.0,963.0,,10.0,528.0,,2.0,28.0,43.0,1.0,2.0,5.0,2.0,4.0,1.0,,2.0,11.0,,3.0,2.0,3.0,6.0,,2.0,2.0,2.0,2.0,9.0,45.0,2.0,7.0,1.1813,2.0,0.5039,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51090,Thiago Silva,Defender,FC Porto,201,Brazil,2022-23,44.0,1.0436,44.0,0.0,,40.0,,86.0,27.0,25.0,26.0,177.0,2031.0,3.0,,85.0,6.0,,2352.0,23.0,117.0,2.0,17.0,55.0,1738.0,,,32.906,5.0,109.0,32.0,21.0,590.0,,13.0,0.0,161.0,,716.0,148.0,27.0,,,626.0,30.0,76.0,62.0,0.0,3.0,1974.0,193.0,27.0,3.0,,,662.0,34.0,116.0,2330.0,1.0,29.0,1228.0,,2.0,91.0,64.0,1.0,,1.0,5.0,10.0,1.0,2.0,2.0,25.0,,3.0,4.0,9.0,13.0,,2.0,4.0,8.0,29.0,10.0,63.0,2.0,4.0,1.4944,2.0,0.0972,,,2.0,2.0,,,3.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
180736,Trevoh Chalobah,Defender,Chelsea,8,England,2022-23,60.0,0.336,34.0,0.0,,31.0,,95.0,25.0,20.0,18.0,131.0,1142.0,,,63.0,4.0,,1603.0,32.0,78.0,1.0,21.0,47.0,974.0,,1.0,28.3114,6.0,55.0,24.0,28.0,211.0,,8.0,0.0,138.0,,368.0,86.0,25.0,,,388.0,23.0,75.0,31.0,0.0,,1119.0,161.0,20.0,8.0,,,428.0,24.0,37.0,1400.0,3.0,21.0,625.0,,4.0,36.0,66.0,7.0,1.0,6.0,3.0,6.0,,,11.0,23.0,5.0,4.0,3.0,10.0,11.0,,11.0,3.0,4.0,7.0,11.0,135.0,38.0,9.0,0.83,2.0,0.1356,,,2.0,2.0,,,2.0,,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,8,England,2022-23,74.0,2.3531,21.0,0.0,,21.0,,91.0,23.0,12.0,15.0,127.0,759.0,,,46.0,2.0,,1408.0,20.0,77.0,6.0,37.0,51.0,615.0,,,17.6195,3.0,23.0,19.0,54.0,280.0,,23.0,0.0,151.0,,240.0,68.0,23.0,,,382.0,13.0,105.0,26.0,0.0,,734.0,270.0,17.0,8.0,,,35.0,18.0,17.0,1193.0,5.0,15.0,274.0,,3.0,36.0,46.0,8.0,12.0,30.0,2.0,14.0,2.0,2.0,30.0,39.0,15.0,19.0,1.0,19.0,4.0,,68.0,1.0,10.0,2.0,13.0,204.0,106.0,4.0,1.4464,4.0,0.9652,2.0,1.0,2.0,2.0,1.0,2.0,14.0,1.0,1.0,,1.0,1.0,10.0,24.0,,3.0,1.0,3.0,52.0,14.0,31.0,,,,,,,,,,,,,,
225796,Reece James,Defender,Chelsea,8,England,2022-23,53.0,2.9116,29.0,0.0,,31.0,,65.0,16.0,11.0,14.0,79.0,852.0,,,39.0,2.0,,1244.0,16.0,94.0,5.0,31.0,71.0,734.0,,,14.3542,,20.0,17.0,37.0,48.0,,18.0,0.0,147.0,,238.0,89.0,16.0,,,479.0,12.0,108.0,23.0,0.0,,838.0,197.0,20.0,22.0,,,406.0,12.0,39.0,1245.0,2.0,4.0,312.0,,4.0,14.0,28.0,2.0,10.0,24.0,6.0,10.0,,1.0,46.0,26.0,4.0,20.0,2.0,15.0,11.0,,73.0,2.0,6.0,2.0,9.0,160.0,100.0,5.0,1.0239,4.0,0.3335,1.0,0.0,1.0,1.0,1.0,,22.0,,4.0,,1.0,4.0,12.0,18.0,,1.0,1.0,4.0,21.0,3.0,16.0,1.0,2.0,2.0,0.0776,2.0,2.0,,,,,,,,
86129,Kalidou Koulibaly,Defender,Chelsea,8,Senegal,2022-23,69.0,0.4391,29.0,1.0,,44.0,,104.0,23.0,23.0,20.0,187.0,1450.0,,,61.0,5.0,,1800.0,28.0,90.0,7.0,29.0,57.0,1197.0,,,21.1112,7.0,72.0,22.0,41.0,470.0,,9.0,0.0,159.0,,564.0,126.0,23.0,,,441.0,15.0,98.0,33.0,0.0,,1417.0,211.0,31.0,4.0,,,358.0,29.0,66.0,1715.0,2.0,27.0,823.0,,5.0,83.0,82.0,3.0,2.0,4.0,1.0,10.0,,1.0,3.0,19.0,1.0,6.0,1.0,17.0,13.0,3.0,3.0,1.0,6.0,13.0,22.0,58.0,11.0,9.0,0.9381,4.0,0.1826,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,
41328,César Azpilicueta,Defender,Atlético de Madrid,175,Spain,2022-23,70.0,1.2759,29.0,0.0,,43.0,,109.0,25.0,17.0,16.0,146.0,897.0,,,48.0,3.0,,1522.0,19.0,86.0,2.0,35.0,57.0,739.0,,1.0,23.7179,3.0,46.0,21.0,51.0,54.0,,7.0,0.0,156.0,,335.0,59.0,25.0,,,375.0,19.0,108.0,29.0,0.0,,867.0,215.0,25.0,7.0,,,352.0,19.0,12.0,1278.0,4.0,18.0,383.0,,3.0,37.0,70.0,9.0,5.0,10.0,5.0,4.0,,,19.0,25.0,25.0,13.0,3.0,21.0,18.0,1.0,19.0,3.0,3.0,5.0,27.0,156.0,114.0,20.0,0.4018,1.0,0.2021,,,,,,,7.0,1.0,2.0,,,2.0,7.0,7.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,
179268,Marc Cucurella,Defender,Chelsea,8,Spain,2022-23,72.0,0.9483,35.0,0.0,,66.0,,106.0,24.0,16.0,21.0,148.0,1090.0,,,29.0,4.0,,1676.0,13.0,108.0,5.0,46.0,92.0,911.0,,,22.89,5.0,37.0,20.0,59.0,443.0,,21.0,0.0,180.0,,349.0,120.0,24.0,,,468.0,15.0,151.0,16.0,0.0,,1063.0,229.0,33.0,5.0,,,94.0,16.0,31.0,1535.0,11.0,17.0,486.0,,4.0,42.0,69.0,3.0,6.0,12.0,4.0,3.0,,2.0,22.0,12.0,15.0,9.0,3.0,20.0,33.0,1.0,32.0,3.0,3.0,8.0,16.0,204.0,136.0,10.0,0.3893,,,,,,,,,9.0,,1.0,1.0,,1.0,8.0,12.0,,2.0,,1.0,13.0,3.0,8.0,,,,,,,,,,,,,,
444463,Wesley Fofana,Defender,Chelsea,8,France,2022-23,58.0,0.2848,32.0,0.0,,34.0,,72.0,17.0,23.0,14.0,110.0,1001.0,,,58.0,2.0,,1367.0,23.0,104.0,4.0,14.0,69.0,875.0,,1.0,18.9637,2.0,37.0,24.0,35.0,120.0,,25.0,1.0,162.0,,318.0,77.0,17.0,,,337.0,20.0,104.0,35.0,0.0,,977.0,136.0,20.0,10.0,,,482.0,29.0,16.0,1221.0,5.0,15.0,555.0,,4.0,38.0,56.0,3.0,1.0,7.0,,8.0,,,2.0,13.0,2.0,2.0,,7.0,14.0,1.0,2.0,,5.0,11.0,13.0,81.0,4.0,8.0,0.7049,3.0,0.1525,1.0,0.0,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,
