playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,totalTackles,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,goalsConcededOutsideBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,rightFootGoals,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,handballsConceded,expectedGoals,setPiecesGoals,oboxBlocked,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,hitWoodwork,secondGoalAssists,successfulCrossesOpenPlay,expectedGoalsFreekick,foulWonPenalty,cleanSheets,successfulCrossesAndCorners,throwInsToOppositionPlayer,penaltiesTaken,penaltyGoals,shotsBlockedOutsideBox,catches,savesMadeFromOutsideBox,penaltiesFaced,penaltiesConceded,savesMade,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,lastPlayerTackle,clearancesOffTheLine,redCards2ndYellow,penaltiesSaved,savesFromPenalty,punches,goalkeeperSmother
622758,Aaron Anselmino,Defender,Chelsea,8,Argentina,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242880,Benoît Badiashile,Defender,Chelsea,8,France,2024-25,0.0,0.0,0.0,10.0,0.0782,9.0,21.0,5.0,1.0,3.0,30.0,303.0,10.0,2.0,10.0,333.0,2.0,19.0,11.0,260.0,1.0,3.5991,1.0,12.0,5.0,8.0,118.0,2.0,0.0,29.0,104.0,18.0,5.0,3.0,1.0,115.0,5.0,1.0,19.0,8.0,10.0,288.0,33.0,6.0,2.0,59.0,6.0,6.0,13.0,22.0,342.0,1.0,1.0,158.0,2.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591382,Genesis Antwi,Defender,Chelsea,8,Sweden,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536238,Ishé Samuels-Smith,Defender,Chelsea,8,England,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577016,Josh Acheampong,Defender,Chelsea,8,England,2024-25,0.0,0.0,1.0,6.0,0.0152,2.0,10.0,4.0,,2.0,20.0,123.0,,2.0,7.0,169.0,6.0,5.0,4.0,99.0,1.0,2.1464,,1.0,3.0,,26.0,1.0,0.0,11.0,45.0,7.0,4.0,1.0,,37.0,3.0,,4.0,1.0,,121.0,22.0,1.0,,41.0,,1.0,4.0,11.0,139.0,1.0,5.0,66.0,,10.0,6.0,,,,,2.0,,,,,,,,,,,,,3.0,3.0,,,1.0,,,,,,,2.0,1.0,1.0,,0.2215,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460028,Levi Colwill,Defender,Chelsea,8,England,2024-25,0.0,0.0,9.0,120.0,1.2138,47.0,152.0,35.0,1.0,35.0,267.0,2595.0,99.0,,139.0,3149.0,56.0,156.0,73.0,2241.0,5.0,41.6079,10.0,116.0,41.0,64.0,1052.0,21.0,1.0,276.0,844.0,121.0,35.0,13.0,5.0,761.0,35.0,13.0,137.0,83.0,99.0,2405.0,309.0,34.0,25.0,588.0,45.0,33.0,87.0,111.0,2965.0,1.0,57.0,1570.0,19.0,115.0,107.0,3.0,4.0,1.0,2.3256,14.0,3.0,1.0,10.0,2.0,5.0,1.0,,,2.0,2.0,,6.0,33.0,36.0,14.0,2.0,12.0,1.0,,1.0,1.0,10.0,2.0,10.0,5.0,6.0,,1.8855,,1.0,,,,,,7.0,,,3.0,,,10.0,3.0,,,,1.0,,,,1.0,,,,,,,2.0,1.0,,,,,
482609,Malo Gusto,Defender,Chelsea,8,France,2024-25,0.0,0.0,4.0,86.0,1.9356,45.0,100.0,32.0,32.0,19.0,133.0,1214.0,,13.0,24.0,1858.0,15.0,78.0,69.0,1042.0,1.0,26.8547,3.0,40.0,26.0,71.0,185.0,20.0,0.0,164.0,327.0,119.0,32.0,16.0,11.0,603.0,21.0,28.0,140.0,9.0,,1177.0,234.0,29.0,8.0,437.0,20.0,24.0,39.0,265.0,1656.0,6.0,16.0,488.0,13.0,33.0,38.0,6.0,5.0,,0.3225,16.0,2.0,1.0,43.0,,2.0,,,4.0,1.0,1.0,1.0,5.0,47.0,44.0,21.0,1.0,21.0,,4.0,,,43.0,1.0,11.0,17.0,4.0,,1.704,,5.0,,,,,,107.0,,,10.0,,,4.0,10.0,9.0,,,5.0,,,,,,,,,,,,,,,,,
179268,Marc Cucurella,Defender,Chelsea,8,Spain,2024-25,0.0,1.0,8.0,138.0,2.3939,67.0,119.0,36.0,17.0,33.0,184.0,1633.0,,3.0,89.0,2989.0,57.0,141.0,109.0,1406.0,4.0,39.7782,11.0,80.0,38.0,81.0,612.0,38.0,3.0,279.0,520.0,130.0,36.0,22.0,9.0,743.0,33.0,16.0,190.0,32.0,,1603.0,282.0,45.0,16.0,182.0,37.0,28.0,43.0,319.0,2321.0,5.0,40.0,711.0,12.0,65.0,59.0,5.0,12.0,1.0,4.2153,19.0,2.0,1.0,26.0,5.0,3.0,0.0,2.0,1.0,6.0,6.0,,5.0,56.0,76.0,18.0,2.0,33.0,5.0,1.0,1.0,2.0,26.0,2.0,7.0,9.0,4.0,1.0,2.8019,,3.0,,2.0,,,,226.0,,,5.0,,,9.0,5.0,19.0,,,3.0,,,,,,,,,,,,,1.0,,,,
225796,Reece James,Defender,Chelsea,8,England,2024-25,0.0,0.0,1.0,38.0,1.159,10.0,52.0,19.0,6.0,12.0,86.0,743.0,,7.0,33.0,1064.0,9.0,51.0,27.0,621.0,2.0,12.7174,2.0,21.0,14.0,29.0,168.0,11.0,0.0,89.0,274.0,66.0,19.0,1.0,6.0,360.0,12.0,15.0,56.0,24.0,,713.0,159.0,9.0,6.0,214.0,8.0,13.0,36.0,87.0,985.0,7.0,13.0,305.0,4.0,34.0,30.0,3.0,3.0,,1.0689,8.0,4.0,1.0,17.0,1.0,,0.0,19.0,1.0,1.0,1.0,,2.0,18.0,7.0,10.0,1.0,8.0,1.0,1.0,1.0,,35.0,1.0,5.0,6.0,7.0,,0.436,1.0,2.0,4.0,,3.0,3.0,13.0,52.0,1.0,,1.0,0.1332,,2.0,8.0,12.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,
109646,Tosin Adarabioyo,Defender,Chelsea,8,England,2024-25,0.0,0.0,4.0,41.0,0.2221,17.0,54.0,22.0,,15.0,102.0,1177.0,12.0,7.0,70.0,1404.0,28.0,72.0,30.0,1033.0,2.0,19.1549,6.0,79.0,14.0,13.0,355.0,9.0,0.0,113.0,353.0,41.0,22.0,4.0,1.0,347.0,13.0,1.0,43.0,42.0,12.0,1142.0,110.0,13.0,7.0,432.0,8.0,11.0,42.0,37.0,1348.0,2.0,24.0,728.0,4.0,48.0,33.0,4.0,2.0,,0.9895,9.0,2.0,1.0,,1.0,1.0,0.0,,,1.0,1.0,,1.0,5.0,14.0,1.0,4.0,2.0,1.0,,1.0,,,4.0,7.0,1.0,4.0,,0.9317,,,,,,,,4.0,2.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
