playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,foulWonPenalty,goals,penaltiesTaken,rightFootGoals,penaltyGoals,handballsConceded,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throughBalls,oboxBlocked,cornersTakenInclShortCorners,unsuccessfulLayoffs,leftFootGoals,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,expectedGoalsFreekick,headedGoals,freekickTotal,attemptsFromSetPieces,setPiecesGoals,successfulCornersIntoBox,hitWoodwork,ownGoalScored,redCards2ndYellow,penaltiesConceded,penaltiesSaved,savesFromPenalty,drops
45215,Alexandre Pato,Forward,Chelsea,8,Brazil,2015-16,13.0,,0.0426,0.0,,2.0,1.2855,3.0,4.0,3.0,2.0,,1.0,3.0,,27.0,2.0,1.0,3.0,,1.0,,,131.0,,3.0,6.0,,1.0,6.0,23.0,,2.0615,,,1.0,1.0,,10.0,7.0,3.0,19.0,,7.0,5.0,2.0,1.0,2.0,3.0,18.0,1.0,,,16.0,,0.0,27.0,2.0,,14.0,1.0,,,2.0,2.0,,,1.0,11.0,50.0,,1.0,,6.0,1.0,1.6813,0.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110504,Bertrand Traoré,Forward,Chelsea,8,Burkina Faso,2015-16,24.0,,0.7422,0.0,7.0,6.0,2.2945,9.0,10.0,22.0,10.0,1.0,4.0,23.0,2.0,136.0,5.0,6.0,13.0,,2.0,,2.0,373.0,2.0,9.0,26.0,1.0,7.0,22.0,112.0,,4.2627,4.0,,3.0,2.0,5.0,15.0,24.0,4.0,50.0,4.0,28.0,7.0,10.0,2.0,2.0,2.0,86.0,1.0,3.0,5.0,37.0,4.0,0.0,131.0,4.0,1.0,49.0,7.0,9.0,1.0,42.0,3.0,2.0,1.0,1.0,42.0,215.0,1.0,4.0,1.0,27.0,3.0,1.4059,0.0,1.0,7.0,23.0,,2.0,,,,,,,,,,,,,,,,,3.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
18507,Diego Costa,Forward,Chelsea,8,Spain,2015-16,281.0,,2.5176,0.0,15.0,28.0,13.6747,21.0,53.0,177.0,28.0,6.0,27.0,183.0,12.0,824.0,33.0,1.0,134.0,4.0,3.0,,13.0,2379.0,13.0,92.0,151.0,7.0,44.0,109.0,623.0,2.0,34.6565,24.0,1.0,25.0,40.0,11.0,189.0,219.0,49.0,432.0,15.0,159.0,62.0,28.0,3.0,6.0,67.0,516.0,33.0,12.0,11.0,298.0,42.0,0.0,774.0,25.0,37.0,432.0,15.0,41.0,4.0,189.0,43.0,6.0,,18.0,257.0,1329.0,1.0,6.0,1.0,125.0,21.0,12.555,8.0,6.0,16.0,92.0,,12.0,,9.0,,2.0,,,,,,,,,,,,,2.0,4.0,1.0,18.0,3.0,,4.0,,,,,,,1.0,,,,,,
42786,Eden Hazard,Forward,Chelsea,8,Belgium,2015-16,155.0,9.0,5.5665,0.0,11.0,14.0,4.0691,21.0,25.0,183.0,31.0,3.0,25.0,197.0,30.0,1415.0,10.0,6.0,34.0,3.0,6.0,9.0,4.0,2190.0,4.0,23.0,191.0,7.0,54.0,180.0,1143.0,,29.4648,63.0,,4.0,32.0,7.0,132.0,519.0,70.0,346.0,14.0,365.0,122.0,31.0,6.0,3.0,55.0,1021.0,25.0,35.0,7.0,312.0,11.0,0.0,1394.0,11.0,19.0,403.0,18.0,89.0,1.0,239.0,15.0,13.0,,75.0,292.0,1926.0,20.0,6.0,2.0,206.0,12.0,2.5323,2.0,14.0,24.0,58.0,1.0,4.0,,4.0,,,,,,,,,,,,,,,7.0,4.0,7.0,5.0,,3.0,4.0,0.1157,,1.0,1.0,,,,,,,,,
38419,Loïc Rémy,Forward,Chelsea,8,France,2015-16,26.0,,0.1628,0.0,3.0,5.0,1.5098,,10.0,16.0,13.0,,3.0,16.0,4.0,101.0,5.0,10.0,20.0,,1.0,,3.0,285.0,3.0,14.0,19.0,1.0,3.0,13.0,82.0,,4.8752,4.0,,4.0,6.0,2.0,12.0,25.0,6.0,45.0,,14.0,10.0,13.0,1.0,,5.0,68.0,5.0,4.0,2.0,25.0,6.0,0.0,98.0,5.0,2.0,41.0,,7.0,,31.0,1.0,1.0,,3.0,31.0,159.0,,3.0,,17.0,,2.1758,0.0,,,11.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
106617,Patrick Bamford,Forward,Chelsea,8,England,2015-16,37.0,,,0.0,2.0,4.0,,5.0,8.0,28.0,13.0,,2.0,29.0,4.0,90.0,3.0,11.0,23.0,,,,,355.0,,15.0,18.0,1.0,3.0,10.0,60.0,,,4.0,,3.0,3.0,,22.0,17.0,3.0,55.0,2.0,20.0,13.0,13.0,,,1.0,44.0,2.0,4.0,,32.0,8.0,0.0,88.0,4.0,2.0,63.0,5.0,3.0,,28.0,8.0,2.0,,1.0,25.0,153.0,1.0,2.0,,17.0,2.0,,0.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
49579,Pedro,Forward,Chelsea,8,Spain,2015-16,147.0,15.0,4.6433,0.0,20.0,16.0,6.7936,37.0,37.0,133.0,29.0,2.0,24.0,158.0,53.0,971.0,5.0,5.0,26.0,2.0,3.0,18.0,6.0,2040.0,6.0,18.0,142.0,4.0,61.0,134.0,771.0,,28.7093,40.0,1.0,5.0,28.0,12.0,129.0,268.0,46.0,289.0,30.0,238.0,153.0,29.0,3.0,3.0,38.0,563.0,24.0,65.0,12.0,263.0,8.0,0.0,961.0,21.0,24.0,358.0,34.0,52.0,,215.0,23.0,23.0,,42.0,250.0,1478.0,10.0,15.0,7.0,268.0,14.0,5.7763,3.0,25.0,40.0,46.0,,7.0,,2.0,,3.0,,,,,,,,,,,,,4.0,8.0,16.0,3.0,5.0,11.0,8.0,,,,,,3.0,1.0,,,,,,
48847,Radamel Falcao,Forward,Chelsea,8,Colombia,2015-16,29.0,,0.0502,0.0,2.0,5.0,1.0223,2.0,9.0,21.0,10.0,,1.0,21.0,,84.0,2.0,9.0,24.0,,,,4.0,228.0,4.0,14.0,19.0,2.0,2.0,9.0,61.0,,5.3135,2.0,,1.0,8.0,,15.0,20.0,5.0,48.0,1.0,14.0,4.0,10.0,,,3.0,47.0,6.0,,,24.0,10.0,0.0,80.0,4.0,1.0,35.0,2.0,2.0,,19.0,7.0,3.0,,2.0,31.0,127.0,,,,16.0,3.0,0.7576,1.0,,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,0.1171,1.0,1.0,1.0,,,,,,,,,
173879,Tammy Abraham,Forward,Chelsea,8,England,2015-16,6.0,,0.002,0.0,1.0,,,,1.0,3.0,2.0,,,3.0,2.0,10.0,3.0,2.0,1.0,,,,,53.0,,,2.0,1.0,,1.0,7.0,,1.4409,,,,2.0,1.0,6.0,5.0,,8.0,,3.0,,2.0,,,1.0,6.0,1.0,2.0,1.0,7.0,1.0,0.0,8.0,1.0,,10.0,,1.0,,1.0,2.0,,,,1.0,21.0,,,,1.0,,0.1506,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47431,Willian,Forward,Chelsea,8,Brazil,2015-16,171.0,4.0,7.8109,0.0,19.0,20.0,7.7025,42.0,41.0,214.0,35.0,6.0,32.0,264.0,69.0,1500.0,3.0,3.0,29.0,3.0,8.0,52.0,7.0,2749.0,7.0,26.0,196.0,8.0,52.0,193.0,1135.0,,36.9833,75.0,4.0,5.0,40.0,10.0,145.0,239.0,67.0,367.0,18.0,413.0,177.0,35.0,8.0,13.0,42.0,952.0,32.0,181.0,10.0,338.0,3.0,0.0,1454.0,21.0,46.0,605.0,29.0,84.0,1.0,508.0,27.0,20.0,,101.0,340.0,2229.0,23.0,14.0,3.0,336.0,17.0,4.3799,5.0,50.0,45.0,74.0,1.0,5.0,,4.0,,,,,,,,,,,,,,,9.0,9.0,137.0,5.0,1.0,83.0,9.0,1.1664,,17.0,17.0,2.0,40.0,,,,,,,
