playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,throwInsToOppositionPlayer,lastPlayerTackle,headedGoals,penaltiesConceded,ownGoalScored,clearancesOffTheLine,penaltiesTaken,penaltyGoals,foulWonPenalty,redCards2ndYellow,setPiecesGoals,punches,catches,savesMade,drops,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,goalkeeperSmother,crossesNotClaimed,expectedAssists,expectedGoalsOnTarget,oboxBlocked,iboxTarget,shotsOnTargetInBox,expectedGoalsOnTargetConceded,shotsBlockedOutsideBox,expectedGoals
66842,André Schürrle,Midfielder,Chelsea,8,Germany,2013-14,111.0,7.0,0.0,17.0,18.0,6.0,39.0,40.0,2.0,80.0,30.0,2.0,31.0,15.0,90.0,19.0,516.0,8.0,16.0,6.0,15.0,27.0,43.0,2.0,17.0,1326.0,1.0,23.0,91.0,1.0,27.0,71.0,414.0,8.0,66.0,1.0,27.0,1.0,13.0,10.0,88.0,166.0,13.0,1.0,202.0,15.0,2.0,110.0,58.0,30.0,3.0,10.0,5.0,31.0,313.0,9.0,39.0,49.0,159.0,20.0,0.0,506.0,22.0,17.0,223.0,29.0,19.0,1.0,1.0,83.0,21.0,17.0,16.0,12.0,157.0,863.0,4.0,12.0,2.0,2.0,130.0,7.0,1.0,1.0,10.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,Frank Lampard,Midfielder,Chelsea,8,England,2013-14,63.0,1.0,0.0,12.0,24.0,1.0,44.0,45.0,6.0,146.0,26.0,3.0,38.0,20.0,185.0,9.0,1047.0,6.0,2.0,3.0,6.0,60.0,22.0,7.0,33.0,1702.0,,10.0,70.0,1.0,23.0,58.0,799.0,23.0,37.0,,31.0,1.0,34.0,13.0,53.0,311.0,7.0,2.0,133.0,12.0,3.0,348.0,98.0,26.0,5.0,11.0,,5.0,500.0,12.0,58.0,13.0,111.0,12.0,0.0,1014.0,21.0,15.0,278.0,33.0,7.0,3.0,16.0,236.0,18.0,15.0,35.0,63.0,152.0,1373.0,3.0,8.0,1.0,9.0,395.0,12.0,,4.0,39.0,27.0,2.0,,,1.0,,,,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
28495,John Obi Mikel,Midfielder,Chelsea,8,Nigeria,2013-14,69.0,1.0,0.0,2.0,2.0,,30.0,7.0,1.0,56.0,24.0,1.0,15.0,11.0,72.0,,685.0,1.0,,0.0,13.0,,45.0,6.0,1.0,1064.0,,27.0,66.0,1.0,21.0,48.0,554.0,,4.0,,8.0,1.0,33.0,8.0,42.0,189.0,9.0,0.0,135.0,18.0,1.0,212.0,80.0,24.0,1.0,3.0,,2.0,322.0,7.0,,7.0,90.0,18.0,0.0,676.0,5.0,,87.0,27.0,9.0,6.0,,192.0,19.0,25.0,,59.0,92.0,846.0,,4.0,,8.0,292.0,2.0,1.0,3.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126189,John Swift,Midfielder,Chelsea,8,England,2013-14,,1.0,0.0,,,,,,,1.0,1.0,,,,1.0,,3.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,0.0,,,,1.0,,1.0,,,,,3.0,,,,,,0.0,3.0,,,1.0,,,,,1.0,,,,1.0,,4.0,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126186,Lewis Baker,Midfielder,Chelsea,8,Jamaica,2013-14,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82660,Marco van Ginkel,Midfielder,Chelsea,8,Netherlands,2013-14,3.0,,0.0,,,,,,,4.0,2.0,,,,4.0,,8.0,,,,2.0,,1.0,,,11.0,,1.0,,,,,3.0,,1.0,,,,2.0,,2.0,1.0,,0.0,3.0,,,5.0,,2.0,,,,1.0,2.0,,,1.0,2.0,,0.0,8.0,,,5.0,,,,,2.0,,1.0,,1.0,,12.0,,,,,2.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62398,Nemanja Matic,Midfielder,Chelsea,8,Serbia,2013-14,118.0,1.0,0.0,7.0,2.0,,56.0,6.0,3.0,114.0,17.0,4.0,5.0,15.0,145.0,8.0,952.0,,1.0,,2.0,,89.0,8.0,1.0,1364.0,,41.0,139.0,,38.0,91.0,731.0,,18.0,1.0,19.0,2.0,62.0,7.0,77.0,252.0,12.0,0.0,257.0,20.0,,337.0,130.0,17.0,,17.0,,9.0,458.0,7.0,8.0,27.0,168.0,48.0,0.0,939.0,4.0,5.0,199.0,39.0,24.0,5.0,,274.0,28.0,31.0,,76.0,89.0,1250.0,3.0,1.0,1.0,11.0,350.0,14.0,2.0,3.0,31.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61262,Oscar,Midfielder,Chelsea,8,Brazil,2013-14,188.0,12.0,0.0,18.0,24.0,7.0,66.0,53.0,2.0,188.0,33.0,2.0,42.0,24.0,208.0,70.0,1258.0,8.0,4.0,3.0,9.0,27.0,78.0,3.0,19.0,2143.0,3.0,54.0,141.0,,70.0,117.0,977.0,3.0,111.0,,47.0,1.0,18.0,14.0,134.0,350.0,26.0,2.0,329.0,42.0,5.0,379.0,123.0,33.0,6.0,16.0,2.0,38.0,753.0,14.0,94.0,78.0,251.0,24.0,0.0,1227.0,29.0,25.0,440.0,50.0,26.0,,6.0,314.0,33.0,7.0,18.0,73.0,215.0,1812.0,12.0,16.0,2.0,9.0,316.0,8.0,2.0,4.0,20.0,25.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
53392,Ramires,Midfielder,Chelsea,8,Brazil,2013-14,225.0,8.0,1.0,17.0,12.0,4.0,85.0,34.0,9.0,190.0,30.0,2.0,33.0,29.0,226.0,30.0,1392.0,1.0,7.0,0.0,1.0,,83.0,10.0,8.0,2607.0,1.0,41.0,216.0,2.0,35.0,174.0,1080.0,,58.0,1.0,32.0,2.0,36.0,24.0,184.0,375.0,58.0,1.0,441.0,28.0,1.0,449.0,195.0,30.0,1.0,19.0,,48.0,721.0,22.0,30.0,75.0,358.0,42.0,1.0,1381.0,22.0,23.0,386.0,66.0,33.0,6.0,,397.0,54.0,25.0,,86.0,171.0,1917.0,6.0,3.0,,6.0,453.0,23.0,1.0,8.0,36.0,45.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
49013,Victor Moses,Midfielder,Chelsea,8,Nigeria,2013-14,71.0,2.0,0.0,1.0,4.0,2.0,9.0,10.0,4.0,36.0,19.0,,19.0,6.0,39.0,4.0,292.0,1.0,1.0,1.0,13.0,2.0,12.0,,2.0,644.0,,10.0,39.0,2.0,11.0,37.0,241.0,,31.0,,10.0,,2.0,12.0,61.0,81.0,13.0,0.0,110.0,7.0,0.0,67.0,50.0,19.0,1.0,1.0,,29.0,176.0,10.0,4.0,49.0,98.0,2.0,0.0,284.0,6.0,5.0,106.0,8.0,15.0,1.0,,59.0,12.0,7.0,,12.0,85.0,439.0,2.0,4.0,1.0,,79.0,4.0,,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4027,1.5961,1.0,3.0,3.0,10.9455,1.0,2.4292
