playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulPassesOwnHalf,throughBalls,penaltyGoalsConceded,successfulLaunches,blocks,unsuccessfulLaunches,unsuccessfulLongPasses,goalKicks,lastPlayerTackle,gkSuccessfulDistribution,handballsConceded,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,penaltiesTaken,oboxTarget,penaltyGoals,setPiecesGoals,rightFootGoals,headedGoals,foulWonPenalty,catches,savesMadeFromOutsideBox,punches,savesMade,goalkeeperSmother,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throwInsToOppositionPlayer,clearancesOffTheLine,ownGoalScored,redCards2ndYellow,penaltiesConceded,savesMadeCaught,penaltiesFaced,drops
532605,Andrey Santos,Midfielder,Chelsea,8,Brazil,2025-26,46.0,,0.8815,0.0,2.0,2.0,1.0,1.4489,37.0,9.0,65.0,27.0,,25.0,13.0,79.0,2.0,797.0,1.0,1.0,0.0,,14.0,31.0,1.0,,1.0,1255.0,1.0,17.0,75.0,2.0,24.0,61.0,704.0,20.0,18.1396,8.0,18.0,18.0,2.0,29.0,259.0,22.0,1.0,121.0,16.0,1.0,201.0,48.0,27.0,18.0,1.0,3.0,354.0,16.0,2.0,5.0,2.0,90.0,14.0,0.0,775.0,7.0,1.0,101.0,19.0,2.0,248.0,13.0,20.0,14.0,89.0,987.0,,9.0,1.0,,364.0,7.0,2.0018,4.0,37.0,3.0,1.0,3.0,6.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616252,Charlie Holland,Midfielder,Chelsea,8,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244851,Cole Palmer,Midfielder,Chelsea,8,England,2025-26,106.0,5.0,2.4723,0.0,21.0,25.0,2.0,10.0579,25.0,43.0,99.0,26.0,1.0,24.0,24.0,117.0,29.0,820.0,10.0,2.0,6.0,13.0,2.0,4.0,2.0,5.0,4.0,1965.0,4.0,4.0,84.0,2.0,34.0,84.0,668.0,93.0,33.2372,23.0,12.0,33.0,8.0,102.0,159.0,37.0,2.0,190.0,11.0,4.0,205.0,83.0,26.0,13.0,10.0,45.0,470.0,31.0,31.0,80.0,8.0,186.0,,0.0,765.0,18.0,19.0,283.0,12.0,22.0,255.0,13.0,15.0,35.0,201.0,1222.0,12.0,12.0,,13.0,238.0,7.0,10.562,5.0,25.0,7.0,2.0,,,4.0,18.0,,,,1.0,1.0,6.0,6.0,2.0,1.0,0.3797,4.0,11.0,1.0,6.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,
491007,Dário Essugo,Midfielder,Chelsea,8,Portugal,2025-26,7.0,,0.0088,0.0,,,,,6.0,,4.0,3.0,,1.0,,4.0,,25.0,,,,,3.0,1.0,,,,26.0,,,10.0,,,9.0,21.0,1.0,1.0129,,1.0,1.0,,7.0,8.0,1.0,0.0,17.0,,,7.0,1.0,3.0,3.0,,,12.0,1.0,,2.0,,16.0,1.0,0.0,25.0,,,7.0,3.0,2.0,7.0,3.0,,,3.0,39.0,,,,,9.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448047,Enzo Fernández,Midfielder,Chelsea,8,Argentina,2025-26,173.0,6.0,7.2524,0.0,20.0,31.0,1.0,12.3965,53.0,52.0,222.0,36.0,4.0,80.0,35.0,285.0,39.0,2040.0,10.0,1.0,5.0,12.0,1.0,52.0,5.0,16.0,13.0,3121.0,13.0,26.0,137.0,4.0,72.0,111.0,1660.0,102.0,45.4688,64.0,28.0,46.0,8.0,147.0,696.0,45.0,1.0,310.0,36.0,5.0,561.0,140.0,36.0,31.0,,35.0,1073.0,42.0,73.0,76.0,8.0,258.0,26.0,0.0,1951.0,21.0,23.0,497.0,22.0,13.0,397.0,36.0,21.0,95.0,386.0,2608.0,9.0,7.0,5.0,12.0,698.0,25.0,11.2851,10.0,64.0,25.0,2.0,6.0,2.0,20.0,63.0,,,,1.0,9.0,8.0,8.0,31.0,1.0,0.5063,55.0,8.0,3.0,2.0,8.0,2.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,
611912,Landon Emenalo,Midfielder,Chelsea,8,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486672,Moisés Caicedo,Midfielder,Chelsea,8,Ecuador,2025-26,137.0,2.0,2.3798,1.0,13.0,7.0,1.0,1.5427,87.0,14.0,134.0,33.0,1.0,57.0,32.0,170.0,5.0,2053.0,3.0,,2.0,10.0,1.0,44.0,5.0,2.0,2.0,2802.0,2.0,29.0,172.0,3.0,32.0,157.0,1818.0,16.0,42.9966,17.0,28.0,46.0,3.0,108.0,621.0,55.0,0.0,309.0,18.0,1.0,460.0,177.0,33.0,41.0,,13.0,970.0,43.0,5.0,32.0,3.0,265.0,15.0,1.0,2012.0,7.0,9.0,239.0,46.0,15.0,660.0,54.0,59.0,65.0,312.0,2496.0,6.0,5.0,,10.0,915.0,37.0,1.4359,11.0,49.0,12.0,2.0,2.0,15.0,12.0,36.0,,1.0,,1.0,,,,,1.0,,,2.0,1.0,,2.0,,,3.0,,,,,,,,,,,,,,,1.0,,,
465920,Mykhailo Mudryk,Midfielder,Chelsea,8,Ukraine,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597983,Ollie Harrison,Midfielder,Chelsea,8,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611921,Reggie Walsh,Midfielder,Chelsea,8,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514356,Roméo Lavia,Midfielder,Chelsea,8,Belgium,2025-26,16.0,,0.5366,0.0,1.0,,,,8.0,2.0,19.0,12.0,,12.0,4.0,21.0,1.0,284.0,,,,1.0,8.0,4.0,,,,377.0,,1.0,22.0,,8.0,19.0,251.0,3.0,10.0366,1.0,4.0,10.0,,15.0,92.0,8.0,0.0,38.0,5.0,,66.0,20.0,12.0,1.0,,2.0,142.0,10.0,1.0,8.0,,34.0,3.0,0.0,277.0,2.0,1.0,39.0,7.0,3.0,81.0,8.0,5.0,12.0,45.0,347.0,,4.0,,1.0,121.0,2.0,0.2049,0.0,8.0,2.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
