matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694906,1,2013-08-17 15:00:00,11,Everton,Away,209.0,9.0,4.0,10.0,6.0,2.0,1.0,299.0,,2.0,9.0,7.0,35.0,38.0,498.0,1.0,1.0,21.0,11.0,26.0,11.0,3.0,,,,,,,1.0,,,13.0,,,,,2.0,6.0,4.0,4.0,,,90.0,57.0,1.0,2.0,1.0,2.0,14.0,5.0,17.0,,,8.0,13.0,2.0,1.0,13.0,,58.0,69.0,2.0,27.0,22.0,,,56.0,10.0,13.0,,5.0,3.0,1.0,166.0,1.0,,,1.0,,,,2.0,1.0,,22.0,,13.0,13.0,2.0,9.0,149.0,71.0,48.0,6.0,1.0,6.0,9.0,7.0,552.0,4.0,1.0,,88.0,68.0,21.0,,,,,,122.0,122.0,2.0,25.0,21.0,67.0,,,,14.0,0.0,159.0,,,,1.0,,8.0,,,3.0,151.0,488.0,10.0,15.0,221.0,24.0,27.0,22.0,8.0,26.0,18.0,2.0,186.0,5.0,369.0,1.0,2.0,22.0,39.0,56.0,3.0,564.0,3.0,0.0,20.0,20.0,1.0,22.0,0.0,786.0,,13.0,13.0,8.0,18.0,0.0
694913,2,2013-08-24 15:00:00,11,Everton,Home,157.0,5.0,2.0,5.0,3.0,1.0,,243.0,7.0,1.0,7.0,6.0,14.0,34.0,395.0,,1.0,29.0,19.0,19.0,13.0,2.0,,1.0,,,,,1.0,,1.0,13.0,,,,1.0,1.0,6.0,2.0,5.0,,,68.0,53.0,1.0,1.0,,,6.0,8.0,2.0,,,11.0,13.0,4.0,,11.0,2.0,56.0,65.0,,36.0,22.0,,,78.0,15.0,15.0,,2.0,1.0,1.0,170.0,,,,,,,10.0,,3.0,1.0,22.0,2.0,12.0,12.0,2.0,7.0,127.0,66.0,36.0,1.0,,3.0,12.0,8.0,460.0,,1.0,,108.0,56.0,16.0,,,,,,140.0,140.0,2.0,21.0,21.0,62.3,1.0,,1.0,6.0,0.0,113.0,1.0,1.0,2.0,1.0,1.0,6.0,4.0,,2.0,141.0,381.0,3.0,15.0,179.0,17.0,36.0,27.0,10.0,28.0,18.0,2.0,186.0,3.0,327.0,3.0,1.0,27.0,14.0,57.0,5.0,478.0,,0.0,22.0,20.0,2.0,30.0,1.0,720.0,,1.0,15.0,11.0,12.0,0.0
694921,3,2013-08-31 15:00:00,11,Everton,Away,190.0,13.0,,8.0,8.0,1.0,2.0,262.0,2.0,,9.0,2.0,21.0,43.0,444.0,,,24.0,11.0,17.0,9.0,1.0,,,,,,,1.0,,,11.0,,,,,1.0,1.0,,4.0,,,87.0,48.0,1.0,1.0,,1.0,8.0,5.0,12.0,,1.0,5.0,25.0,1.0,,13.0,,52.0,55.0,1.0,26.0,19.0,,,66.0,7.0,11.0,,6.0,3.0,1.0,163.0,,,,,,,5.0,,1.0,,19.0,,8.0,8.0,1.0,9.0,130.0,75.0,47.0,4.0,,5.0,5.0,3.0,502.0,,5.0,,104.0,56.0,19.0,,,,,,139.0,139.0,2.0,17.0,20.0,63.0,,,1.0,8.0,0.0,134.0,,1.0,1.0,,,5.0,,,2.0,155.0,434.0,4.0,10.0,201.0,26.0,26.0,22.0,4.0,33.0,29.0,,197.0,3.0,346.0,1.0,,15.0,23.0,62.0,4.0,514.0,,0.0,13.0,15.0,,25.0,1.0,724.0,,8.0,12.0,5.0,12.0,0.0
694932,4,2013-09-14 17:30:00,11,Everton,Home,152.0,7.0,1.0,6.0,5.0,2.0,,140.0,8.0,,9.0,7.0,13.0,27.0,286.0,,1.0,11.0,18.0,17.0,6.0,1.0,,,,,1.0,1.0,2.0,,,8.0,,1.0,,,,4.0,16.0,6.0,,,58.0,64.0,1.0,,1.0,7.0,14.0,1.0,9.0,1.0,1.0,5.0,11.0,1.0,,11.0,2.0,56.0,68.0,7.0,35.0,16.0,,2.0,52.0,10.0,12.0,1.0,4.0,1.0,2.0,136.0,1.0,,1.0,1.0,,,16.0,1.0,3.0,,16.0,1.0,17.0,17.0,3.0,9.0,96.0,68.0,37.0,7.0,,4.0,4.0,5.0,358.0,2.0,,,36.0,73.0,11.0,,,,,,135.0,135.0,4.0,39.0,9.0,43.5,1.0,,,14.0,0.0,83.0,5.0,1.0,5.0,,,5.0,,,3.0,70.0,276.0,4.0,8.0,175.0,14.0,35.0,26.0,4.0,17.0,13.0,1.0,112.0,11.0,215.0,3.0,,20.0,15.0,48.0,2.0,373.0,,0.0,11.0,23.0,1.0,12.0,0.0,603.0,,7.0,18.0,5.0,20.0,0.0
694949,5,2013-09-21 15:00:00,11,Everton,Away,204.0,14.0,1.0,4.0,3.0,2.0,,249.0,5.0,1.0,11.0,4.0,29.0,37.0,449.0,,,12.0,22.0,20.0,5.0,,,1.0,2.0,,,,2.0,,,7.0,,,,,,7.0,4.0,6.0,,,87.0,49.0,,,,2.0,12.0,2.0,8.0,,,5.0,13.0,4.0,2.0,14.0,,67.0,62.0,2.0,41.0,32.0,,,74.0,12.0,16.0,1.0,2.0,3.0,2.0,182.0,1.0,,1.0,1.0,,,9.0,1.0,1.0,,32.0,,8.0,8.0,1.0,11.0,128.0,80.0,47.0,5.0,,3.0,3.0,4.0,509.0,3.0,3.0,,75.0,67.0,20.0,1.0,1.0,1.0,,,141.0,141.0,,20.0,17.0,62.3,,,,12.0,0.0,129.0,,,,,1.0,4.0,,,3.0,104.0,434.0,6.0,6.0,220.0,29.0,41.0,21.0,3.0,23.0,20.0,4.0,146.0,6.0,329.0,1.0,1.0,23.0,32.0,60.0,2.0,526.0,,0.0,10.0,17.0,2.0,15.0,1.0,748.0,,7.0,9.0,5.0,17.0,0.0
694952,6,2013-09-30 20:00:00,11,Everton,Home,198.0,19.0,,2.0,2.0,,,236.0,3.0,1.0,7.0,6.0,27.0,31.0,432.0,,1.0,15.0,16.0,15.0,10.0,,,,,1.0,,,1.0,,,16.0,,,,,1.0,3.0,4.0,11.0,,,76.0,58.0,2.0,1.0,2.0,,12.0,3.0,9.0,,,1.0,7.0,1.0,,15.0,1.0,50.0,72.0,,25.0,13.0,,,73.0,7.0,15.0,2.0,3.0,1.0,1.0,169.0,3.0,,2.0,3.0,,,7.0,3.0,4.0,2.0,13.0,,11.0,11.0,,7.0,143.0,94.0,55.0,1.0,1.0,5.0,8.0,8.0,489.0,3.0,,,80.0,65.0,10.0,,,,,,127.0,127.0,1.0,25.0,21.0,49.9,,,,12.0,0.0,124.0,,4.0,4.0,1.0,,8.0,,,3.0,112.0,414.0,3.0,13.0,207.0,31.0,25.0,28.0,1.0,10.0,9.0,1.0,149.0,4.0,315.0,4.0,1.0,22.0,28.0,56.0,3.0,512.0,,0.0,19.0,20.0,1.0,17.0,3.0,718.0,,9.0,22.0,1.0,18.0,0.0
694965,7,2013-10-05 12:45:00,11,Everton,Away,168.0,10.0,,2.0,2.0,1.0,,176.0,7.0,,8.0,4.0,16.0,27.0,342.0,,2.0,16.0,12.0,10.0,3.0,,,,,,,,,1.0,1.0,5.0,,,,,1.0,2.0,9.0,4.0,,,67.0,34.0,2.0,1.0,1.0,5.0,10.0,1.0,9.0,,1.0,1.0,4.0,5.0,,10.0,3.0,50.0,63.0,5.0,31.0,15.0,,,67.0,10.0,15.0,1.0,1.0,1.0,,159.0,1.0,,,1.0,,,11.0,1.0,2.0,,15.0,,13.0,13.0,2.0,8.0,87.0,65.0,38.0,8.0,,,4.0,4.0,397.0,1.0,2.0,1.0,50.0,62.0,13.0,,1.0,1.0,1.0,,127.0,127.0,1.0,14.0,12.0,46.1,,,,10.0,0.0,104.0,3.0,1.0,4.0,1.0,,1.0,,,3.0,80.0,326.0,4.0,5.0,186.0,15.0,31.0,26.0,1.0,11.0,10.0,1.0,119.0,6.0,242.0,2.0,,18.0,17.0,43.0,4.0,417.0,,0.0,6.0,22.0,2.0,20.0,4.0,630.0,,9.0,16.0,1.0,20.0,0.0
694974,8,2013-10-19 15:00:00,11,Everton,Home,251.0,14.0,3.0,6.0,3.0,6.0,,283.0,3.0,1.0,10.0,6.0,22.0,37.0,528.0,,,27.0,21.0,16.0,9.0,3.0,,1.0,,,,,,,,9.0,,,,1.0,,3.0,7.0,2.0,,,124.0,65.0,1.0,1.0,,2.0,20.0,3.0,7.0,,,5.0,8.0,3.0,,14.0,,57.0,63.0,2.0,28.0,21.0,,,97.0,7.0,16.0,,6.0,3.0,,209.0,2.0,,1.0,1.0,1.0,,7.0,1.0,3.0,,21.0,1.0,8.0,8.0,2.0,10.0,151.0,105.0,68.0,7.0,2.0,5.0,9.0,6.0,616.0,2.0,2.0,,88.0,69.0,16.0,,,,,,154.0,154.0,3.0,19.0,29.0,66.9,1.0,,1.0,20.0,0.0,149.0,,,,1.0,1.0,5.0,,,3.0,127.0,511.0,9.0,14.0,265.0,23.0,28.0,23.0,4.0,18.0,14.0,1.0,194.0,8.0,386.0,3.0,1.0,26.0,23.0,63.0,1.0,633.0,,0.0,14.0,19.0,,28.0,3.0,848.0,,5.0,13.0,5.0,13.0,0.0
694981,9,2013-10-26 15:00:00,11,Everton,Away,160.0,15.0,4.0,4.0,1.0,4.0,,207.0,3.0,2.0,7.0,4.0,25.0,32.0,363.0,,1.0,17.0,15.0,18.0,6.0,2.0,,,,,,,,,,11.0,,1.0,,,1.0,3.0,5.0,9.0,,,68.0,58.0,,,,4.0,18.0,6.0,9.0,,,6.0,7.0,1.0,,8.0,2.0,46.0,63.0,4.0,39.0,28.0,,,78.0,8.0,14.0,1.0,3.0,2.0,,166.0,2.0,,2.0,1.0,1.0,,9.0,1.0,2.0,,28.0,1.0,14.0,14.0,3.0,7.0,114.0,85.0,48.0,8.0,1.0,3.0,7.0,4.0,428.0,5.0,1.0,,59.0,57.0,15.0,,1.0,1.0,1.0,,135.0,135.0,2.0,25.0,22.0,53.1,1.0,,,18.0,0.0,99.0,3.0,,3.0,,,5.0,,,3.0,91.0,349.0,9.0,10.0,182.0,31.0,39.0,13.0,4.0,13.0,10.0,,136.0,7.0,278.0,2.0,2.0,24.0,27.0,63.0,3.0,447.0,,0.0,15.0,26.0,2.0,22.0,2.0,675.0,,12.0,6.0,6.0,17.0,0.0
694992,10,2013-11-03 13:30:00,11,Everton,Home,159.0,15.0,1.0,3.0,2.0,6.0,1.0,163.0,7.0,1.0,4.0,7.0,13.0,26.0,319.0,,,26.0,14.0,19.0,5.0,,,,,,,,1.0,,,7.0,,,,,,4.0,7.0,9.0,,,60.0,61.0,,,,3.0,20.0,3.0,11.0,,1.0,7.0,14.0,3.0,,1.0,3.0,53.0,55.0,3.0,27.0,19.0,,1.0,61.0,11.0,8.0,,2.0,1.0,1.0,160.0,,,,,,,10.0,,,,19.0,,13.0,13.0,,4.0,102.0,68.0,38.0,4.0,,4.0,1.0,1.0,397.0,6.0,2.0,,73.0,46.0,13.0,,,,,,145.0,145.0,4.0,28.0,23.0,52.2,,,1.0,20.0,0.0,86.0,1.0,5.0,6.0,2.0,,4.0,,,3.0,85.0,309.0,13.0,5.0,178.0,25.0,27.0,26.0,6.0,24.0,18.0,2.0,131.0,19.0,254.0,,1.0,18.0,18.0,44.0,2.0,408.0,,0.0,8.0,18.0,2.0,28.0,4.0,634.0,,9.0,10.0,7.0,13.0,0.0
