matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059705,1,2019-08-10 15:00:00,11,Everton,Away,230.0,27.0,,3.0,3.0,2.0,,174.0,3.0,,2.0,5.0,7.0,33.0,401.0,,,32.0,30.0,18.0,6.0,1.0,1.0,,,,,,,,,,9.0,,,,,,5.0,6.0,,7.0,3.0,65.0,62.0,,2.0,,1.0,22.0,4.0,8.0,,,2.0,12.0,4.0,,12.0,2.0,71.0,53.0,1.0,18.0,8.0,,,55.0,14.0,16.0,,,,,,174.0,,,,,,,5.0,,,2.0,8.0,,14.0,14.0,3.0,2.0,142.0,87.0,53.0,6.0,,1.0,6.0,3.0,472.0,4.0,2.0,,65.0,85.0,30.0,,,,,169.0,169.0,3.0,25.0,30.0,64.6,,,,,22.0,0.0,119.0,2.0,,2.0,1.0,1.0,,3.0,1.0,3.0,77.0,377.0,7.0,7.0,264.0,41.0,18.0,14.0,1.0,17.0,16.0,,117.0,6.0,253.0,,,26.0,7.0,64.0,,500.0,,1.0,10.0,14.0,1.0,39.0,1.0,722.0,17.0,26.0,5.0,2.0,7.0,0.0
1059716,2,2019-08-17 15:00:00,11,Everton,Home,108.0,13.0,2.0,3.0,1.0,,1.0,99.0,5.0,,9.0,10.0,1.0,20.0,204.0,,,19.0,27.0,28.0,5.0,3.0,2.0,1.0,,,,1.0,,,,,7.0,,,,,2.0,8.0,5.0,3.0,7.0,5.0,37.0,63.0,1.0,1.0,,,17.0,4.0,8.0,,1.0,4.0,5.0,1.0,,24.0,2.0,79.0,76.0,,35.0,22.0,,,37.0,11.0,10.0,,,4.0,1.0,1.0,141.0,1.0,,,1.0,,,10.0,1.0,,,22.0,,6.0,6.0,1.0,9.0,65.0,65.0,30.0,7.0,1.0,5.0,4.0,2.0,281.0,2.0,2.0,,53.0,48.0,14.0,,,,,171.0,171.0,4.0,24.0,24.0,44.1,,,,,17.0,0.0,60.0,1.0,1.0,2.0,,,1.0,6.0,,3.0,42.0,191.0,5.0,9.0,144.0,26.0,35.0,29.0,4.0,11.0,7.0,1.0,79.0,5.0,170.0,,,26.0,3.0,55.0,3.0,303.0,2.0,0.0,12.0,20.0,1.0,28.0,2.0,536.0,16.0,16.0,19.0,4.0,16.0,0.0
1059723,3,2019-08-23 20:00:00,11,Everton,Away,172.0,25.0,3.0,3.0,1.0,1.0,,266.0,3.0,,8.0,5.0,2.0,28.0,435.0,,,26.0,16.0,28.0,7.0,3.0,4.0,,,,,,,1.0,,,8.0,,,,1.0,,7.0,3.0,4.0,7.0,5.0,70.0,58.0,2.0,2.0,,1.0,16.0,4.0,11.0,,,6.0,12.0,7.0,,10.0,1.0,56.0,66.0,1.0,7.0,3.0,,1.0,62.0,18.0,10.0,,,,,,185.0,,,,,,,3.0,,,1.0,3.0,1.0,5.0,5.0,,8.0,140.0,71.0,49.0,,,5.0,5.0,1.0,513.0,2.0,3.0,,96.0,105.0,37.0,,,,,160.0,160.0,8.0,15.0,26.0,64.8,1.0,,,,16.0,0.0,144.0,,1.0,1.0,,1.0,,7.0,1.0,3.0,136.0,411.0,4.0,10.0,199.0,38.0,7.0,15.0,6.0,24.0,19.0,,183.0,8.0,364.0,,,16.0,2.0,49.0,1.0,539.0,1.0,0.0,12.0,16.0,,30.0,3.0,727.0,28.0,15.0,13.0,6.0,11.0,0.0
1059736,4,2019-09-01 14:00:00,11,Everton,Home,161.0,22.0,4.0,9.0,5.0,2.0,1.0,212.0,2.0,,5.0,9.0,1.0,45.0,364.0,,,12.0,26.0,26.0,5.0,4.0,4.0,,,,,,,,,,9.0,,,,,2.0,8.0,6.0,2.0,11.0,4.0,54.0,70.0,2.0,,2.0,1.0,10.0,6.0,13.0,,,7.0,8.0,8.0,,12.0,1.0,70.0,71.0,1.0,37.0,23.0,1.0,,62.0,12.0,12.0,,1.0,5.0,3.0,,159.0,3.0,,2.0,3.0,,,2.0,3.0,2.0,,23.0,,7.0,7.0,,5.0,113.0,74.0,41.0,7.0,3.0,3.0,9.0,6.0,431.0,2.0,5.0,,71.0,92.0,34.0,,,,,154.0,154.0,7.0,19.0,32.0,58.7,,,,,10.0,0.0,125.0,3.0,,3.0,,1.0,,3.0,,2.0,105.0,347.0,4.0,12.0,175.0,37.0,37.0,16.0,6.0,25.0,19.0,,155.0,3.0,301.0,2.0,,25.0,1.0,71.0,1.0,451.0,,0.0,15.0,24.0,1.0,16.0,1.0,687.0,35.0,21.0,9.0,7.0,17.0,0.0
1059742,5,2019-09-15 14:00:00,11,Everton,Away,184.0,14.0,,4.0,4.0,3.0,,193.0,3.0,1.0,3.0,6.0,4.0,31.0,373.0,1.0,1.0,23.0,23.0,24.0,8.0,,2.0,,,,,,,,,,12.0,,1.0,,,,9.0,8.0,5.0,9.0,5.0,65.0,70.0,2.0,1.0,1.0,1.0,18.0,4.0,6.0,,,7.0,11.0,4.0,,12.0,,61.0,56.0,1.0,10.0,7.0,,,62.0,14.0,4.0,1.0,,1.0,,,212.0,1.0,,1.0,1.0,,,3.0,1.0,,,7.0,1.0,13.0,13.0,1.0,3.0,110.0,92.0,53.0,7.0,,4.0,5.0,5.0,470.0,2.0,1.0,,65.0,84.0,38.0,,,,,174.0,174.0,7.0,25.0,32.0,59.5,1.0,,,,18.0,0.0,101.0,1.0,2.0,3.0,,,,5.0,1.0,3.0,84.0,359.0,9.0,9.0,213.0,38.0,10.0,16.0,7.0,22.0,15.0,,137.0,7.0,297.0,,1.0,29.0,5.0,72.0,,488.0,1.0,0.0,14.0,18.0,2.0,28.0,4.0,684.0,27.0,17.0,10.0,7.0,9.0,0.0
1059756,6,2019-09-21 15:00:00,11,Everton,Home,196.0,24.0,1.0,7.0,6.0,2.0,,244.0,3.0,,3.0,4.0,4.0,45.0,433.0,,,34.0,24.0,19.0,11.0,,3.0,,,,,1.0,1.0,,,,11.0,,,,,1.0,3.0,3.0,,9.0,7.0,53.0,60.0,2.0,2.0,,2.0,15.0,7.0,5.0,,,12.0,21.0,9.0,,5.0,,52.0,52.0,2.0,11.0,6.0,,,73.0,9.0,8.0,,,2.0,1.0,1.0,164.0,,,,,,,5.0,,,1.0,6.0,,4.0,4.0,,3.0,151.0,65.0,38.0,3.0,,4.0,7.0,3.0,501.0,,4.0,1.0,78.0,100.0,53.0,,,,,169.0,169.0,4.0,24.0,26.0,69.8,,,,,15.0,0.0,152.0,,,,,1.0,,6.0,,3.0,150.0,417.0,8.0,11.0,211.0,44.0,11.0,25.0,11.0,42.0,31.0,,199.0,5.0,351.0,,,15.0,4.0,72.0,1.0,520.0,,0.0,16.0,10.0,1.0,37.0,1.0,741.0,43.0,24.0,15.0,12.0,5.0,0.0
1059766,7,2019-09-28 17:30:00,11,Everton,Home,155.0,14.0,2.0,5.0,3.0,6.0,2.0,144.0,8.0,1.0,2.0,9.0,10.0,32.0,294.0,,2.0,12.0,11.0,16.0,4.0,5.0,3.0,,1.0,,,1.0,,,,,5.0,,,,,3.0,3.0,13.0,6.0,10.0,2.0,57.0,55.0,3.0,3.0,1.0,1.0,15.0,1.0,10.0,,,5.0,9.0,2.0,,9.0,1.0,40.0,57.0,1.0,8.0,3.0,,,46.0,4.0,8.0,1.0,,4.0,3.0,1.0,138.0,1.0,,,1.0,,,11.0,1.0,,,3.0,,11.0,11.0,1.0,2.0,76.0,59.0,36.0,2.0,,1.0,9.0,8.0,333.0,4.0,1.0,,40.0,69.0,29.0,,,,,116.0,116.0,2.0,22.0,20.0,37.2,,,,,15.0,0.0,87.0,2.0,3.0,5.0,,1.0,,3.0,,3.0,71.0,276.0,4.0,10.0,177.0,28.0,8.0,20.0,5.0,19.0,14.0,,99.0,9.0,200.0,,1.0,20.0,12.0,62.0,2.0,358.0,,0.0,12.0,19.0,2.0,15.0,2.0,540.0,25.0,17.0,14.0,5.0,11.0,0.0
1059774,8,2019-10-05 15:00:00,11,Everton,Away,197.0,18.0,3.0,3.0,1.0,1.0,,168.0,4.0,1.0,10.0,6.0,7.0,31.0,362.0,,,17.0,29.0,33.0,7.0,2.0,3.0,,,,1.0,1.0,,,,,7.0,,,,,,7.0,6.0,3.0,9.0,2.0,71.0,66.0,2.0,2.0,,3.0,11.0,5.0,5.0,,,9.0,11.0,8.0,,8.0,1.0,60.0,51.0,3.0,15.0,8.0,,1.0,46.0,12.0,5.0,,,1.0,,1.0,172.0,,,,,,,8.0,,2.0,,8.0,,7.0,7.0,2.0,10.0,111.0,81.0,46.0,7.0,,3.0,6.0,2.0,447.0,2.0,,,46.0,100.0,27.0,,,,,161.0,161.0,3.0,29.0,19.0,59.2,,,,2.0,11.0,0.0,117.0,2.0,,2.0,1.0,,,4.0,,3.0,75.0,349.0,6.0,9.0,229.0,34.0,15.0,12.0,7.0,25.0,19.0,,119.0,6.0,267.0,2.0,1.0,30.0,9.0,69.0,1.0,471.0,,1.0,11.0,9.0,,22.0,1.0,636.0,20.0,9.0,5.0,9.0,8.0,0.0
1059786,9,2019-10-19 12:30:00,11,Everton,Home,122.0,16.0,2.0,5.0,3.0,2.0,,173.0,6.0,,3.0,6.0,6.0,34.0,290.0,,2.0,17.0,22.0,25.0,7.0,3.0,5.0,,1.0,,,1.0,,,,1.0,10.0,,1.0,,1.0,2.0,10.0,5.0,3.0,12.0,7.0,40.0,75.0,2.0,2.0,1.0,,18.0,4.0,12.0,,,11.0,10.0,3.0,,3.0,2.0,62.0,71.0,,9.0,4.0,,,59.0,15.0,14.0,,,2.0,,1.0,172.0,2.0,,1.0,2.0,,,7.0,2.0,,,4.0,2.0,12.0,12.0,,3.0,92.0,72.0,45.0,2.0,1.0,1.0,11.0,10.0,364.0,1.0,2.0,,57.0,64.0,47.0,,,,,158.0,158.0,5.0,24.0,41.0,51.3,2.0,,,,18.0,0.0,86.0,3.0,1.0,4.0,,2.0,,5.0,1.0,3.0,90.0,268.0,11.0,12.0,143.0,32.0,9.0,19.0,11.0,24.0,13.0,,138.0,8.0,271.0,,,22.0,6.0,63.0,9.0,390.0,1.0,0.0,19.0,24.0,3.0,19.0,2.0,596.0,35.0,13.0,9.0,11.0,18.0,0.0
1059793,10,2019-10-26 15:00:00,11,Everton,Away,182.0,12.0,2.0,2.0,,3.0,,163.0,3.0,,7.0,3.0,6.0,22.0,343.0,,1.0,17.0,8.0,11.0,4.0,2.0,4.0,,,,,,1.0,,,,6.0,,,,,,6.0,6.0,3.0,7.0,3.0,70.0,65.0,2.0,1.0,1.0,,15.0,2.0,10.0,,1.0,5.0,5.0,1.0,,7.0,,48.0,46.0,,14.0,6.0,,,58.0,12.0,12.0,,,1.0,2.0,,148.0,1.0,,1.0,1.0,,,5.0,1.0,,,6.0,,17.0,17.0,,7.0,102.0,68.0,37.0,,,2.0,5.0,6.0,397.0,1.0,,1.0,64.0,66.0,26.0,1.0,1.0,1.0,,137.0,137.0,4.0,26.0,23.0,44.5,,3.0,,1.0,15.0,0.0,105.0,,2.0,2.0,,2.0,,2.0,,3.0,80.0,323.0,5.0,7.0,202.0,28.0,14.0,17.0,4.0,12.0,8.0,,122.0,3.0,235.0,,,18.0,6.0,53.0,2.0,425.0,1.0,0.0,10.0,17.0,2.0,25.0,1.0,613.0,17.0,17.0,6.0,5.0,7.0,0.0
