season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437079,1,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,5.0,,6.0,33.0,14.0,42.0,,1.0,5.0,,,,1.0,,4.0,9.0,5.0,,,2.0,,1.0,,,,1.0,90.0,1.0,,,,,,,19.0,,7.8,,,,3.0,2.0,8.0,,12.0,,42.0,15.0,49.0,1,1.0,75.0,3.0,3.0,,
2017-18,7437079,1,11,Everton,Home,1941,10318,Maarten Stekelenburg,maarten-stekelenburg,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437079,1,11,Everton,Home,3593,26901,Kevin Mirallas,kevin-mirallas,M,True,,,,3.0,1.0,4.0,,,1.0,,,,,,,,1.0,,,,,,,,,,13.0,,,,,,,,5.0,,6.7,,,,2.0,,3.0,,,,7.0,1.0,5.0,0,1.0,12.0,1.0,,,
2017-18,7437079,1,11,Everton,Home,9766,12745,Leighton Baines,leighton-baines,D,False,,,1.0,11.0,7.0,18.0,1.0,1.0,2.0,,,,1.0,,1.0,4.0,1.0,,,,,,,,1.0,1.0,90.0,,,,,,,,13.0,,6.5,,,,2.0,1.0,,,2.0,,18.0,10.0,28.0,0,,41.0,,,,
2017-18,7437079,1,11,Everton,Home,10507,7645,Phil Jagielka,phil-jagielka,D,False,,,6.0,15.0,33.0,48.0,3.0,2.0,3.0,,,,1.0,,,4.0,3.0,,,,,,,,3.0,,90.0,,,,,,,,17.0,,6.9,,,,9.0,,,,13.0,,29.0,36.0,65.0,0,,82.0,,1.0,,
2017-18,7437079,1,11,Everton,Home,20204,19159,Ashley Williams,ashley-williams,D,False,,,1.0,9.0,27.0,36.0,2.0,3.0,1.0,,,,1.0,,,3.0,3.0,,,2.0,,,,,3.0,,45.0,,1.0,,,,,,2.0,,6.9,,,,4.0,,,,1.0,,9.0,27.0,36.0,0,,46.0,1.0,,,
2017-18,7437079,1,11,Everton,Home,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,False,,,1.0,23.0,25.0,48.0,3.0,2.0,8.0,,,,3.0,,,8.0,8.0,,,2.0,,,,,6.0,,90.0,,,,,,,,9.0,,7.2,,,,1.0,,,,2.0,,28.0,27.0,55.0,0,5.0,71.0,2.0,1.0,,
2017-18,7437079,1,11,Everton,Home,73763,56192,Cuco Martina,cuco-martina,D,True,2.0,,,10.0,6.0,14.0,2.0,,2.0,,,,1.0,,2.0,6.0,3.0,,,1.0,,,,,1.0,1.0,45.0,,,,,,,,14.0,,6.5,,,,3.0,,3.0,,1.0,,15.0,9.0,21.0,0,1.0,44.0,1.0,2.0,,
2017-18,7437079,1,11,Everton,Home,97410,109065,Davy Klaassen,davy-klaassen,M,False,,,,7.0,11.0,18.0,1.0,,3.0,,,,,,,3.0,1.0,,,2.0,,,,,,1.0,60.0,1.0,,,,,,,4.0,,6.8,,,,,,,,,1.0,9.0,12.0,21.0,1,1.0,27.0,1.0,,,
2017-18,7437079,1,11,Everton,Home,106337,80801,Idrissa Gana Gueye,idrissa-gana-gueye,M,False,,,2.0,29.0,28.0,57.0,1.0,,4.0,,,,,,1.0,3.0,9.0,,,1.0,,,,,3.0,,90.0,1.0,,,,,,,15.0,,7.6,,,1.0,3.0,1.0,1.0,,5.0,,37.0,30.0,66.0,2,5.0,93.0,2.0,3.0,1.0,
