season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089876,1,11,Everton,Home,12790,26921,Arouna Koné,arouna-kone,F,True,,,,9.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,1.0,,22.0,,,,,,,,,3.0,,6.6,,,,,,,,,,,10.0,1.0,11.0,0,,13.0,2.0,,,
2016-17,7089876,1,11,Everton,Home,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,False,,,,6.0,6.0,12.0,1.0,,1.0,,1.0,,2.0,,1.0,6.0,3.0,,,,,,,,,1.0,,68.0,2.0,,,,,,,,10.0,,6.5,,,1.0,,,4.0,,,1.0,4.0,11.0,6.0,17.0,3,1.0,29.0,1.0,,2.0,1.0
2016-17,7090016,2,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,True,1.0,,3.0,10.0,3.0,12.0,,,2.0,2.0,,,2.0,,1.0,6.0,4.0,,,,,,,,,2.0,,29.0,,,,,,,,,6.0,,7.2,,,1.0,,,5.0,2.0,,3.0,,12.0,3.0,13.0,1,1.0,24.0,,1.0,2.0,1.0
2016-17,7090016,2,11,Everton,Away,78893,66749,Romelu Lukaku,romelu-lukaku,F,True,,,,12.0,3.0,15.0,4.0,,1.0,,1.0,,1.0,,4.0,11.0,3.0,,,3.0,,,,,,2.0,,52.0,2.0,,,,,,,,10.0,,6.6,,,,,3.0,3.0,1.0,,,,15.0,4.0,18.0,2,,33.0,2.0,,3.0,
2016-17,7090016,2,11,Everton,Away,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,False,2.0,,,17.0,3.0,18.0,1.0,,2.0,,,,2.0,,2.0,6.0,5.0,,,,,,,,,2.0,,61.0,,,,,,,,,14.0,,6.9,,,,,,4.0,2.0,,,,23.0,3.0,24.0,0,1.0,40.0,5.0,1.0,3.0,
2016-17,7090029,3,11,Everton,Home,12790,26921,Arouna Koné,arouna-kone,F,True,,,,9.0,3.0,12.0,1.0,,2.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,20.0,1.0,,,,,,,,1.0,,6.9,,,1.0,,,1.0,,,,,9.0,3.0,12.0,2,,16.0,,,1.0,
2016-17,7090029,3,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,2.0,,,18.0,3.0,19.0,1.0,,7.0,,,,1.0,,,6.0,8.0,,,4.0,,,,,,1.0,,88.0,,,,,,,,,12.0,,7.3,,,2.0,,,6.0,4.0,,1.0,,24.0,4.0,24.0,2,2.0,44.0,3.0,1.0,5.0,1.0
2016-17,7090029,3,11,Everton,Home,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,,16.0,2.0,18.0,4.0,2.0,2.0,,1.0,2.0,,,6.0,14.0,9.0,,,1.0,,,,,,3.0,,90.0,1.0,,,,,,,,16.0,,6.7,,,1.0,,,10.0,,,,1.0,22.0,2.0,24.0,4,,45.0,1.0,,7.0,
2016-17,7090029,3,11,Everton,Home,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090033,4,11,Everton,Away,12790,26921,Arouna Koné,arouna-kone,F,True,,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1,,3.0,1.0,,,
