season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437079,1,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,5.0,,6.0,33.0,14.0,42.0,,1.0,5.0,,,,1.0,,4.0,9.0,5.0,,,2.0,,1.0,,,,1.0,90.0,1.0,,,,,,,19.0,,7.8,,,,,3.0,2.0,8.0,,12.0,,42.0,15.0,49.0,1,1.0,75.0,3.0,3.0,,
2017-18,7437079,1,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,1.0,,,11.0,5.0,15.0,8.0,3.0,4.0,1.0,,1.0,1.0,,2.0,12.0,3.0,,,1.0,1.0,,,,,2.0,90.0,1.0,,,,,,,11.0,,7.1,,,1.0,,2.0,,1.0,,,1.0,14.0,7.0,20.0,3,,36.0,3.0,,,
2017-18,7437079,1,11,Everton,Home,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437728,2,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,2.0,,3.0,14.0,9.0,21.0,3.0,2.0,3.0,,,,1.0,,2.0,9.0,3.0,,,2.0,,1.0,,,2.0,2.0,89.0,2.0,,,,,,,16.0,,7.6,,,1.0,,,1.0,3.0,,4.0,1.0,23.0,11.0,31.0,3,1.0,49.0,2.0,,,
2017-18,7437728,2,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,,,,8.0,2.0,10.0,8.0,2.0,3.0,1.0,,,1.0,,2.0,13.0,6.0,,,,1.0,,,,,3.0,90.0,,,,,,,,17.0,,7.2,,,2.0,,1.0,4.0,2.0,,,2.0,17.0,2.0,17.0,2,,37.0,4.0,2.0,2.0,
2017-18,7437728,2,11,Everton,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437762,3,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,,,2.0,24.0,10.0,34.0,3.0,1.0,3.0,,,,,,5.0,9.0,2.0,,,2.0,,,,,,2.0,90.0,,,,,,,,13.0,,6.7,,,1.0,,1.0,1.0,2.0,,4.0,,29.0,12.0,39.0,1,,53.0,1.0,,1.0,
2017-18,7437762,3,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,6.0,1.0,7.0,4.0,3.0,1.0,,,,,,,7.0,5.0,,,2.0,,,,,,,28.0,,,,,,,,5.0,,6.8,,,,,,2.0,1.0,,,,8.0,1.0,8.0,0,,16.0,2.0,1.0,1.0,
2017-18,7437762,3,11,Everton,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437756,4,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,,,3.0,17.0,11.0,28.0,1.0,2.0,5.0,,1.0,1.0,,,3.0,6.0,5.0,,,2.0,,,,,,2.0,90.0,,,,,,,,16.0,,6.3,,,1.0,,1.0,,1.0,,7.0,1.0,25.0,13.0,37.0,2,1.0,54.0,2.0,2.0,,
2017-18,7437756,4,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,3.0,2.0,5.0,3.0,3.0,1.0,,,1.0,1.0,,2.0,6.0,5.0,,,,,,,,,,45.0,1.0,,,,,,,6.0,,6.5,,,,,,,,,,,7.0,2.0,9.0,2,1.0,17.0,,1.0,,
2017-18,7437751,5,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,,,3.0,21.0,18.0,39.0,2.0,2.0,6.0,,1.0,,1.0,,3.0,9.0,6.0,,,2.0,,,,,,,82.0,1.0,,,,,,,26.0,,6.5,,,1.0,,1.0,3.0,,,5.0,1.0,39.0,19.0,58.0,2,1.0,73.0,2.0,1.0,2.0,
2017-18,7437751,5,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,2.0,4.0,6.0,2.0,,,,,1.0,,,,3.0,1.0,,,1.0,,,,,,1.0,14.0,,,,,,,,3.0,,6.5,,,,,,,,,,1.0,4.0,4.0,8.0,1,,11.0,1.0,1.0,,
2017-18,7437758,6,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,,,,13.0,8.0,21.0,2.0,,3.0,,,,,,,3.0,1.0,,,,,,,,,,55.0,,,,,,,,7.0,,6.4,,,,,,1.0,1.0,,1.0,,17.0,8.0,24.0,0,,31.0,2.0,1.0,,
2017-18,7437758,6,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,4.0,,4.0,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,,,1.0,,2.0,,,1.0,,35.0,2.0,,,,,,,3.0,,8.1,,,,,,,,,,2.0,5.0,,5.0,2,,11.0,1.0,,,
2017-18,7437758,6,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,1.0,,,9.0,3.0,11.0,6.0,3.0,2.0,1.0,1.0,1.0,,,2.0,13.0,5.0,,,3.0,,,,,1.0,2.0,90.0,,,,,,,,18.0,,6.5,,,3.0,,,2.0,1.0,,,1.0,16.0,5.0,20.0,4,,40.0,5.0,2.0,,
2017-18,7437758,6,11,Everton,Home,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437754,7,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,True,,,5.0,12.0,5.0,17.0,,3.0,3.0,,,1.0,,,1.0,2.0,3.0,,,1.0,,,,,,,27.0,,,,,,,,8.0,,7.1,,,2.0,,,,4.0,,5.0,,18.0,6.0,20.0,3,,28.0,,,,
2017-18,7437754,7,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,False,,,1.0,10.0,2.0,12.0,5.0,2.0,2.0,,1.0,1.0,,,4.0,12.0,4.0,,,3.0,,,,,,1.0,82.0,1.0,,,,,,,21.0,,6.1,,,2.0,,,2.0,2.0,,1.0,,19.0,3.0,20.0,4,1.0,40.0,4.0,,1.0,
2017-18,7437754,7,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,,,,16.0,5.0,21.0,13.0,3.0,6.0,,,,,,1.0,19.0,4.0,,,4.0,,,,,,2.0,90.0,2.0,,,,,,,7.0,,6.9,,,1.0,,1.0,3.0,,,,1.0,19.0,6.0,25.0,3,,35.0,,,1.0,
