season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352253,1,11,Everton,Home,268903,115382,Neal Maupay,neal-maupay,F,False,,,,3.0,5.0,8.0,1.0,,4.0,,2.0,,1.0,,2.0,5.0,,,,0.00085052,1.348,1.9159,1.0,,,,,,,1.0,,72.0,3.0,,,,,,,6.0,,6.2,,,1.0,,1.0,,,,,2.0,4.0,5.0,9.0,4,,21.0,3.0,,,
2023-24,11352253,1,11,Everton,Home,827064,220307,Arnaut Danjuma,arnaut-danjuma,F,True,,,1.0,2.0,1.0,3.0,,1.0,,,,,,,,1.0,1.0,,,0.0056648,0.0,0.0,,,,,,,1.0,1.0,,18.0,,,,,,,,3.0,,6.6,,,,,,1.0,1.0,,1.0,1.0,4.0,1.0,4.0,0,,8.0,,,,
2023-24,11352253,1,11,Everton,Home,998832,461421,Lewis Dobbin,lewis-dobbin,F,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,0.00089831,0.0,0.0,,,,,,,1.0,,,14.0,,,,,,,,1.0,,6.6,,,,,,,1.0,,,,2.0,1.0,2.0,0,,6.0,,1.0,,
2023-24,11352253,1,11,Everton,Home,1005766,461416,Thomas Cannon,cannon-thomas,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352337,2,11,Everton,Away,268903,115382,Neal Maupay,neal-maupay,F,True,,,1.0,6.0,8.0,14.0,1.0,,,,,,,,1.0,2.0,,,,0.0157477,0.097,0.1173,,,,,,,,,,40.0,1.0,,,,,,,7.0,,6.6,,,,,,,,,1.0,,8.0,9.0,17.0,1,,23.0,3.0,,,
2023-24,11352337,2,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,,,,3.0,,3.0,4.0,1.0,2.0,,,,,,,5.0,1.0,,,0.00093107,0.0,0.0,2.0,,,,,,,,,38.0,,,,,,,,2.0,,6.5,,,,,,,,,,,4.0,,4.0,0,,5.0,1.0,,,
2023-24,11352337,2,11,Everton,Away,827064,220307,Arnaut Danjuma,arnaut-danjuma,F,True,,,,8.0,8.0,16.0,,,2.0,,,3.0,,,2.0,2.0,4.0,,,0.119219,0.1829,0.0839,,,,,,,,,,52.0,1.0,,,,,,,8.0,,6.8,,,,,,2.0,1.0,,,,9.0,9.0,17.0,4,,33.0,4.0,2.0,2.0,
2023-24,11352337,2,11,Everton,Away,998832,461421,Lewis Dobbin,lewis-dobbin,F,True,,,,4.0,4.0,8.0,,,2.0,,,,2.0,,1.0,5.0,5.0,,,0.00442324,0.0,0.0,,,,,,,,1.0,,45.0,,,,,,,,11.0,,6.6,,,,,,5.0,2.0,,,,7.0,6.0,11.0,0,1.0,29.0,3.0,1.0,3.0,1.0
2023-24,11352337,2,11,Everton,Away,1005766,461416,Thomas Cannon,cannon-thomas,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352495,3,11,Everton,Home,268903,115382,Neal Maupay,neal-maupay,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352495,3,11,Everton,Home,827064,220307,Arnaut Danjuma,arnaut-danjuma,F,False,,,,9.0,3.0,12.0,,1.0,3.0,,2.0,,1.0,,2.0,4.0,2.0,,,0.00600124,0.5109,0.9315,1.0,,,,,1.0,,,,89.0,3.0,,,,,,,7.0,,6.4,,,2.0,,,,1.0,,,,13.0,4.0,16.0,5,,25.0,,1.0,,
2023-24,11352495,3,11,Everton,Home,998832,461421,Lewis Dobbin,lewis-dobbin,F,False,,,,8.0,1.0,9.0,,1.0,3.0,,1.0,,1.0,,1.0,6.0,6.0,,,0.00499037,0.0652,0.2241,1.0,,,,,,,,,66.0,1.0,,,,,,,13.0,,6.6,,,,,,5.0,3.0,,,,13.0,1.0,11.0,1,1.0,31.0,3.0,2.0,2.0,1.0
2023-24,11352495,3,11,Everton,Home,1005766,461416,Thomas Cannon,cannon-thomas,F,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352495,3,11,Everton,Home,1145627,491012,Youssef Chermiti,youssef-chermiti,F,True,,,,2.0,2.0,4.0,1.0,1.0,,,,1.0,,,,3.0,2.0,,,0.0250939,0.0549,0.0,1.0,,,,,,,,,24.0,,,,,,,,5.0,,6.4,,,,,,1.0,,,,,3.0,2.0,5.0,1,,11.0,3.0,1.0,,
2023-24,11352597,4,11,Everton,Away,827064,220307,Arnaut Danjuma,arnaut-danjuma,F,False,,,,15.0,4.0,19.0,2.0,1.0,8.0,,1.0,2.0,,,,3.0,5.0,,,0.0218546,1.1,1.6659,1.0,,1.0,,,,,1.0,,90.0,2.0,,,,,,,8.0,,7.5,,,1.0,,,1.0,1.0,,1.0,1.0,20.0,7.0,26.0,5,1.0,37.0,,2.0,1.0,
2023-24,11352597,4,11,Everton,Away,987489,486385,Beto,beto,F,False,,,,9.0,1.0,10.0,5.0,2.0,,1.0,,2.0,1.0,,2.0,11.0,11.0,,,0.0477012,0.2615,0.0,,,,,,,,1.0,,90.0,,,,,,,,17.0,,7.5,,,2.0,,3.0,9.0,3.0,,,,18.0,1.0,16.0,4,3.0,47.0,3.0,,6.0,1.0
2023-24,11352597,4,11,Everton,Away,1145627,491012,Youssef Chermiti,youssef-chermiti,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352605,5,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,1.0,,1.0,2.0,2.0,,,,,,,,2.0,3.0,,,0.0238301,0.098,0.0,,,,,,,,1.0,,24.0,,,,,,,,6.0,,6.8,,,1.0,,,1.0,,,,,5.0,1.0,6.0,1,,11.0,1.0,,1.0,
